Itinerary: ['earth', 'venus', 'earth', 'jupiter', 'pluto']
case #: launch date, tof of each leg
2160  : 2023-01-01, [0.09966040665136557, 0.22540752327163785, 0.9727191107177398, 8.702212959359256]
2161  : 2023-01-01, [0.1021749971019154, 0.23428939850928793, 0.9899960008981067, 8.92353960349069]
2162  : 2023-01-01, [0.10304344470207562, 0.24281664505542064, 1.004217139491923, 9.14992277075058]
2163  : 2023-01-01, [0.10380480025263014, 0.25252744920775055, 1.0173347421773364, 9.376333008362282]
2164  : 2023-01-01, [0.10451686850177938, 0.2624881901423064, 1.0270259482353796, 9.605968993120536]
2165  : 2023-01-01, [0.10698226429518536, 0.2721764553849953, 1.034104604442606, 9.836736675877214]
2166  : 2023-01-01, [0.10750825689745562, 0.2822896206446581, 1.049162627435022, 10.061039495022863]
2167  : 2023-01-01, [0.10801416100533413, 0.2915094808580221, 1.0561854608543098, 10.294290897282334]
2168  : 2023-01-01, [0.10842948052726527, 0.30204759903830714, 1.062652111327438, 10.52687080910699]
2169  : 2023-01-01, [0.10876851178721117, 0.3127633639521409, 1.0679983044958399, 10.760469819764808]
2170  : 2023-01-01, [0.10901712651648088, 0.32488529799281163, 1.0720715720540204, 10.994026003436689]
2171  : 2023-01-01, [0.10917344155603967, 0.3358716028039367, 1.0757652973097933, 11.229189658330231]
2172  : 2023-01-01, [0.10926760528077173, 0.3470581383008866, 1.078934242027487, 11.464740014390854]
2173  : 2023-01-01, [0.10933079916948113, 0.35987879567236924, 1.077791394958934, 11.702999010199214]
2174  : 2023-01-01, [0.10926325921144442, 0.37139079049430956, 1.0733084921624318, 11.946037458131812]
2175  : 2023-01-01, [0.10691852748292668, 0.38367508567857767, 1.0699231999237329, 12.189483186914762]
2176  : 2023-01-01, [0.10668360156009002, 0.3970213051489454, 1.060554424128289, 12.435740669162675]
2177  : 2023-01-01, [0.10407603263107487, 0.4097360577917811, 1.050565738191746, 12.685622171385397]
2178  : 2023-01-01, [0.10127671751351523, 0.4225219490353292, 1.038189775188999, 12.938011558262156]
2179  : 2023-01-01, [0.09828028312970445, 0.4353753922797674, 1.024892588904645, 13.191451735685883]
2180  : 2023-01-01, [0.09516907609962458, 0.4515653573619227, 1.0056928124425843, 13.447572754095866]
2181  : 2023-01-01, [0.09180643921326255, 0.46467430800074044, 0.9890792011740963, 13.7044400516119]
2182  : 2023-01-01, [0.44844189980600413, 0.23548220202657227, 0.9752986332792862, 13.840777264888137]
2183  : 2023-01-01, [0.4564062675545855, 0.24090894705908275, 0.9833493978467779, 14.069335387539555]
2184  : 2023-01-01, [0.46281957455381556, 0.24730594797521138, 0.9858400696379553, 14.304034407833019]
2185  : 2023-01-01, [0.46860982298602966, 0.2534454383401552, 0.989922387752595, 14.538022350921219]
2186  : 2023-01-01, [0.4792538787666443, 0.26169882950478957, 0.9930577490096723, 14.765989542718895]
2187  : 2023-01-01, [0.48501807330324054, 0.26795637178166626, 0.9965597240496284, 15.000465830865465]
2188  : 2023-01-01, [0.06834265391028083, 0.5352989429350661, 1.1674666142969157, 15.228891788857737]
2189  : 2023-01-01, [0.0751880167412137, 0.5535996563194031, 1.1653798413580552, 15.455832485581329]
2190  : 2023-01-01, [0.07627041880222309, 0.46121754627165445, 1.6179494000211592, 15.344562634904964]
2191  : 2023-01-01, [0.08320234158080356, 0.4761770631483031, 1.6198232054656752, 15.57079738980522]
2192  : 2023-01-01, [0.09622125682221495, 0.4929809269093736, 1.6211312910419298, 15.789666525226485]
2193  : 2023-01-01, [0.10641720736686154, 0.5108234616265868, 1.6165591065312852, 16.016200224475266]
2194  : 2023-01-01, [0.11068280149402691, 0.5287656077713213, 1.6017770928309185, 16.258774497903737]
2195  : 2023-01-01, [0.12420514212001342, 0.5479141296076714, 1.5926433790645544, 16.48523734920776]
2196  : 2023-01-01, [0.13784791626091164, 0.568869157645789, 1.5891947174228038, 16.704088208670495]
2197  : 2023-01-01, [0.14864098408788026, 0.5912134617912943, 1.5665297884935714, 16.943615765627257]
2198  : 2023-01-01, [0.6517070638676704, 0.24012652582273608, 1.6686647040478724, 16.93950170626172]
2199  : 2023-01-01, [0.6558012753360544, 0.2543584097323793, 1.626474393423867, 17.2133659215077]
2200  : 2023-01-01, [0.6618717476226993, 0.26773019645491924, 1.6052769407525072, 17.465121115169875]
2201  : 2023-01-01, [0.663010602850155, 0.27928437551938, 1.5656674216289865, 17.742037600001478]
2202  : 2023-01-01, [0.6780591561057866, 0.29648579233691513, 1.5427818762536984, 17.9826731753036]
2203  : 2023-01-01, [0.6828585582074482, 0.313414226932056, 1.4795646466721364, 18.27416256818836]
2204  : 2023-01-01, [0.055325536837067084, 0.3915197487500544, 2.562323658807372, 17.990831055605508]
2205  : 2023-01-01, [0.07496796072491542, 0.49439239029857623, 1.9754201002544063, 18.705219548722102]
2206  : 2023-01-01, [0.8502666964084462, 0.5550621087668742, 2.1684743253180305, 17.926196869506647]
2207  : 2023-01-01, [0.8749246381849867, 0.5825777700766346, 2.15378219308489, 18.13871539865349]
2208  : 2023-01-01, [0.8907103772271262, 0.6048175079893143, 2.126452583206064, 18.378019531577497]
2209  : 2023-01-01, [0.900318024662224, 0.6294367795702315, 2.075308029339293, 18.644937166428253]
2210  : 2023-01-01, [0.06230490954662561, 0.6848649803946102, 2.162974874423117, 19.58985523563565]
2211  : 2023-01-01, [0.05893701567980752, 0.7068430892034246, 2.1157514400602846, 19.868468455056483]
2212  : 2023-01-01, [0.09170414157484712, 0.7486340400006507, 2.0646077122155595, 20.095054106208945]
2213  : 2023-01-01, [0.08046177704868644, 0.7748078431031318, 1.979862339482532, 20.41486804036565]
2214  : 2023-01-01, [0.10171437914744916, 0.8067305794963741, 1.9326748851082043, 20.65888015624797]
2215  : 2023-01-01, [0.11615896313201333, 0.8386720567998582, 1.629411078972893, 21.165757901095237]
2216  : 2023-01-01, [0.1292655371297599, 0.8636893418362733, 1.6027896202571421, 21.404255500776827]
2217  : 2023-01-01, [0.1502095824577578, 0.8913828355198485, 1.5756817469643412, 21.632725835058054]
2218  : 2023-01-01, [0.17124875687873725, 0.9192731686688536, 1.5375620403544004, 21.871916034098007]
2219  : 2023-01-01, [0.21205905334552191, 0.9469074838765028, 1.5538311683404051, 22.03720229443757]
2220  : 2023-01-10, [0.0962770810707655, 0.21803152326215475, 0.9579992497018256, 8.727692145965253]
2221  : 2023-01-10, [0.09708183336532936, 0.2272231253504112, 0.9721815260593565, 8.953513515224904]
2222  : 2023-01-10, [0.09945114345013986, 0.236026249465011, 0.9881441039479211, 9.17637850313693]
2223  : 2023-01-10, [0.10012624793875087, 0.24444534557866485, 1.0012141103285008, 9.404214296154084]
2224  : 2023-01-10, [0.1007811276698661, 0.2542715806449266, 1.0091467317045146, 9.635800559980693]
2225  : 2023-01-10, [0.10127178168704253, 0.2628945058011939, 1.0207431438393135, 9.865090568672452]
2226  : 2023-01-10, [0.103530460575013, 0.273480725119148, 1.0310998363925996, 10.09188897791324]
2227  : 2023-01-10, [0.10390838293825959, 0.2823914162063515, 1.041211923828427, 10.322488277026963]
2228  : 2023-01-10, [0.10425022913474828, 0.2927701321453792, 1.047529468189738, 10.555450170530134]
2229  : 2023-01-10, [0.1064333831090969, 0.30389706891198526, 1.056133940888021, 10.783535607090895]
2230  : 2023-01-10, [0.10466820549883481, 0.3139569642446503, 1.0578451006578367, 11.023529729598678]
2231  : 2023-01-10, [0.10673564687449477, 0.3253088253969041, 1.0634270773856138, 11.254528450342985]
2232  : 2023-01-10, [0.10675622852901805, 0.3362035735802709, 1.065671305603738, 11.491368892286973]
2233  : 2023-01-10, [0.10460381903278274, 0.3465987878793481, 1.063899137289918, 11.734898255797951]
2234  : 2023-01-10, [0.10451603765226783, 0.35945763249993296, 1.0576932685743674, 11.978333061273432]
2235  : 2023-01-10, [0.10203774785160555, 0.3714009759547953, 1.0527013791266455, 12.223859897066953]
2236  : 2023-01-10, [0.10165781451855083, 0.38294804329522775, 1.046859528255219, 12.468534613931002]
2237  : 2023-01-10, [0.10120830446836543, 0.39607949594807806, 1.0401989330002297, 12.712513266583327]
2238  : 2023-01-10, [0.09600826345232412, 0.4078130879012144, 1.0293030957097278, 12.966875552936735]
2239  : 2023-01-10, [0.09300220131924838, 0.4208637062209165, 1.0133209791517628, 13.222813113308073]
2240  : 2023-01-10, [0.09208547214583009, 0.4356023821783234, 0.9944422814159919, 13.477869864259855]
2241  : 2023-01-10, [0.08624462655303615, 0.4479294058153044, 0.9751906663042209, 13.740635301327437]
2242  : 2023-01-10, [0.4456591381606695, 0.21943184359914927, 0.9692310215311497, 13.865677996709032]
2243  : 2023-01-10, [0.4515827268648205, 0.22384066316754436, 0.9740592560746262, 14.100517353893007]
2244  : 2023-01-10, [0.45729795044227667, 0.22818382721263136, 0.9847291970966481, 14.329789025248445]
2245  : 2023-01-10, [0.4678555032419725, 0.2361411360733772, 0.9876008212515361, 14.558402539433116]
2246  : 2023-01-10, [0.47402281044227235, 0.24234542313125226, 0.9884318762908274, 14.795199890135649]
2247  : 2023-01-10, [0.05801767430940373, 0.49726288990520806, 1.1701348116388925, 15.024584624146497]
2248  : 2023-01-10, [0.06467408999321993, 0.5134868349897703, 1.1701514837621128, 15.251687591254896]
2249  : 2023-01-10, [0.0685102194886266, 0.5285384914772836, 1.1688413404512308, 15.484109948582857]
2250  : 2023-01-10, [0.07835219471261261, 0.5474894533538669, 1.1700969431333565, 15.704061408800165]
2251  : 2023-01-10, [0.08226245590710814, 0.45164183801097535, 1.6363583024727981, 15.57973740360912]
2252  : 2023-01-10, [0.08932738682766639, 0.46660563628365953, 1.6382919169201953, 15.805775059968479]
2253  : 2023-01-10, [0.09942556526405996, 0.4839376215983091, 1.6314513067003802, 16.03518550643725]
2254  : 2023-01-10, [0.11289331804743448, 0.505065134541544, 1.620775608741627, 16.261265938669393]
2255  : 2023-01-10, [0.12334575858355364, 0.5229046423030981, 1.6208048922114853, 16.482944706901865]
2256  : 2023-01-10, [0.13706489969228364, 0.5420611420372096, 1.611428353425497, 16.70944560484501]
2257  : 2023-01-10, [0.6439510475477538, 0.204098231624587, 1.720206488143597, 16.68174423268406]
2258  : 2023-01-10, [0.6501313412581127, 0.21330384245070233, 1.7039855898847092, 16.932579226406475]
2259  : 2023-01-10, [0.6520813291783536, 0.22453666731797206, 1.6721220812784778, 17.201259922225198]
2260  : 2023-01-10, [0.6648317776174794, 0.23671891948048618, 1.6623394002037069, 17.436109902698327]
2261  : 2023-01-10, [0.6664784510501437, 0.25003055398091256, 1.6183293711219773, 17.715161623846964]
2262  : 2023-01-10, [0.6722237002033283, 0.26333301365475187, 1.5760969338368556, 17.988346352305065]
2263  : 2023-01-10, [0.6868427314814963, 0.2803904166452656, 1.5508262879809958, 18.231940563892245]
2264  : 2023-01-10, [0.6881476953392525, 0.2940192189378489, 1.5037340635270027, 18.514099022195897]
2265  : 2023-01-10, [0.05853572694938558, 0.3723059054122475, 2.6089527120583065, 18.21020565558006]
2266  : 2023-01-10, [0.0876584171608398, 0.39363045268323266, 2.6146221812769364, 18.404088948878993]
2267  : 2023-01-10, [0.08597891062668302, 0.49204897616276483, 2.0136907645157653, 19.158281348694786]
2268  : 2023-01-10, [0.06008543997470357, 0.5888173324793816, 2.3725488577607283, 18.978548369785187]
2269  : 2023-01-10, [0.05041897733815276, 0.6084170165103596, 2.315299524655862, 19.275864481495624]
2270  : 2023-01-10, [0.06525651501366321, 0.6381990612399245, 2.289821269768428, 19.506723153977987]
2271  : 2023-01-10, [0.08183666217103477, 0.6634895995501079, 2.2728222191192335, 19.731851519159626]
2272  : 2023-01-10, [0.09878781451088474, 0.6941300290515668, 2.2289442953522927, 19.978137861085255]
2273  : 2023-01-10, [0.13172303971954535, 0.7255832417650712, 2.221908522074109, 20.170785196441273]
2274  : 2023-01-10, [0.16087897987874342, 0.7568186715733953, 2.1954713097863703, 20.386831038761493]
2275  : 2023-01-10, [0.17028507991915762, 0.7873483590711672, 2.132293429131054, 20.660073131878622]
2276  : 2023-01-10, [0.20323336018072072, 0.8229059569758271, 2.0978637304653738, 20.875996952378078]
2277  : 2023-01-10, [0.19678885116552, 0.8557770466374104, 1.9674333990238149, 21.230000703173253]
2278  : 2023-01-10, [0.24905425277102666, 0.8945818717259085, 1.9380224592863988, 21.418341416216663]
2279  : 2023-01-10, [0.25008092833272366, 0.8901169289071936, 1.7959461427610133, 21.81385599999907]
2280  : 2023-01-20, [0.09393821857405624, 0.2106636879674817, 0.9428386110247398, 8.752559482433721]
2281  : 2023-01-20, [0.09465671463618326, 0.21946999497547806, 0.9563025533620436, 8.979570737026293]
2282  : 2023-01-20, [0.09696149811446092, 0.22695394219157783, 0.973511852391806, 9.202572707302155]
2283  : 2023-01-20, [0.09588050583880106, 0.23569311651557914, 0.9804339986863201, 9.437992378959299]
2284  : 2023-01-20, [0.09638382026648255, 0.24403378014455868, 0.9929842969376658, 9.666598102651292]
2285  : 2023-01-20, [0.09858872024736254, 0.25307663904457445, 1.0038996629223, 9.894434977785764]
2286  : 2023-01-20, [0.09891165126421372, 0.2626982157578394, 1.0130236143891487, 10.125366518588798]
2287  : 2023-01-20, [0.099194143784161, 0.2713944137816298, 1.0232840239094227, 10.356127418524785]
2288  : 2023-01-20, [0.09940351114041751, 0.2814561876537702, 1.0285195417161763, 10.590620759489635]
2289  : 2023-01-20, [0.10150457103263119, 0.2923854141692207, 1.0373308889683333, 10.818779125829815]
2290  : 2023-01-20, [0.10158106935326765, 0.3014758442539247, 1.0411087276305462, 11.055834358762262]
2291  : 2023-01-20, [0.10160855877236505, 0.31205449855611955, 1.0445140461564562, 11.291822896515061]
2292  : 2023-01-20, [0.10149190251252813, 0.3225896752385918, 1.0460930486323499, 11.52982537361653]
2293  : 2023-01-20, [0.1013409611505376, 0.3347527185928385, 1.042822104941258, 11.771084215315366]
2294  : 2023-01-20, [0.10109916370978966, 0.34574651851943483, 1.0437118755380503, 12.009442442232725]
2295  : 2023-01-20, [0.09854907743606953, 0.3560771350773594, 1.0390223298914136, 12.256351457595159]
2296  : 2023-01-20, [0.09581266602651789, 0.36782516631027673, 1.0332221183255177, 12.503140049337688]
2297  : 2023-01-20, [0.09527521680929381, 0.379386173708319, 1.0265811624660148, 12.748757447016374]
2298  : 2023-01-20, [0.08992368610534887, 0.390773914381174, 1.015820621721926, 13.003481777791551]
2299  : 2023-01-20, [0.09147447259487486, 0.4047052694909561, 1.0043153124060098, 13.249504945508159]
2300  : 2023-01-20, [0.08575667716988555, 0.4165363734506631, 0.9867613968307867, 13.510945552548664]
2301  : 2023-01-20, [0.4337674598049521, 0.19416321662067965, 0.9552139826002345, 13.666855340974132]
2302  : 2023-01-20, [0.4422009086737883, 0.2008394099045145, 0.9625560653289996, 13.894403616092697]
2303  : 2023-01-20, [0.4481005532501577, 0.20501558731266362, 0.9743056139065205, 14.122578245530661]
2304  : 2023-01-20, [0.45426675989414617, 0.2093532502246751, 0.9752467274497948, 14.361133262431384]
2305  : 2023-01-20, [0.4620668577726993, 0.21592463515433502, 0.9825744499354375, 14.58943405713753]
2306  : 2023-01-20, [0.5094881873349485, 0.23447393587344353, 1.040893423320942, 14.715144453470666]
2307  : 2023-01-20, [0.050589111147275004, 0.4715787284514502, 1.1739192400564475, 15.053912920344825]
2308  : 2023-01-20, [0.05994622209371132, 0.488203488594911, 1.1770570670947351, 15.274793222216644]
2309  : 2023-01-20, [0.06663722603398392, 0.5056341270800057, 1.180879109176822, 15.496849537709188]
2310  : 2023-01-20, [0.07350619976896643, 0.5216989460559533, 1.178047249493187, 15.726747604681895]
2311  : 2023-01-20, [0.08645568688608386, 0.5395339812976024, 1.1894996836641814, 15.934510648152132]
2312  : 2023-01-20, [0.09041938250351664, 0.44012967794180485, 1.6568986669366683, 15.812552272618014]
2313  : 2023-01-20, [0.0975980543044518, 0.456705407557879, 1.6499577660005238, 16.045738772137145]
2314  : 2023-01-20, [0.10790086280514964, 0.47420695377524563, 1.651612672125047, 16.266279511294556]
2315  : 2023-01-20, [0.12449549391682334, 0.4938481880124754, 1.6549118853609186, 16.47674443270978]
2316  : 2023-01-20, [0.13523147859890614, 0.5120733949534031, 1.6446892701209903, 16.7080058563267]
2317  : 2023-01-20, [0.14588739550707308, 0.5277212795393345, 1.6475976551632883, 16.928793669790302]
2318  : 2023-01-20, [0.6477387490184463, 0.6153653384114549, 2.5736797280138384, 15.663216184556259]
2319  : 2023-01-20, [0.652737379690791, 0.6361039343415371, 2.549662130348681, 15.911496555618989]
2320  : 2023-01-20, [0.6635855770468724, 0.2031376469889907, 1.7065231239288812, 17.426753652035256]
2321  : 2023-01-20, [0.669103503109976, 0.2159490703766529, 1.6789913339703657, 17.685956092543005]
2322  : 2023-01-20, [0.6842242939738217, 0.2292326238765226, 1.6580509991980374, 17.92849208295162]
2323  : 2023-01-20, [0.6856845536405192, 0.2443037289374989, 1.6104054698315329, 18.209606247590447]
2324  : 2023-01-20, [0.7010392479577242, 0.26043757822127434, 1.6017904164968353, 18.436732757324165]
2325  : 2023-01-20, [0.08818527323625154, 0.33364141504967915, 2.7272125582212214, 18.100960753492846]
2326  : 2023-01-20, [0.08193699862776262, 0.3509892250820505, 2.694926422537493, 18.372147353752695]
2327  : 2023-01-20, [0.10426283526193013, 0.3701299390060765, 2.694260098762736, 18.58134712696926]
2328  : 2023-01-20, [0.1196171280377878, 0.3918986922386816, 2.6787190453293004, 18.80976513439423]
2329  : 2023-01-20, [0.12065106434578761, 0.4858554319443412, 2.0816959133272546, 19.561797590382614]
2330  : 2023-01-20, [0.09423124578074471, 0.5875400305150866, 2.458766154825983, 19.359462568878183]
2331  : 2023-01-20, [0.11503520250401847, 0.614018342522785, 2.4444796079115747, 19.57646684706162]
2332  : 2023-01-20, [0.12810318605350998, 0.638109537652131, 2.4283868866762712, 19.80540038961809]
2333  : 2023-01-20, [0.16104029815585602, 0.6702443230021671, 2.414006972349674, 20.004708406492302]
2334  : 2023-01-20, [0.19758737782484764, 0.7023227317668278, 2.4094904524251652, 20.19059943798316]
2335  : 2023-01-20, [0.2032553910146806, 0.7314329370923944, 2.343801874926783, 20.471509796966142]
2336  : 2023-01-20, [0.24013845958400243, 0.7618905405005094, 2.3350363685121787, 20.662934631403306]
