Itinerary: ['earth', 'venus', 'earth', 'jupiter', 'pluto']
case #: launch date, tof of each leg
8640  : 2026-01-01, [0.1409489651429439, 0.4408572565458327, 1.470023934406543, 7.94816984390468]
8641  : 2026-01-01, [0.14078298420375224, 0.46236067161836386, 1.4691761026222536, 8.17768024155563]
8642  : 2026-01-01, [0.14043539513477393, 0.4844958118346502, 1.4672218580410563, 8.40784693498952]
8643  : 2026-01-01, [0.13764120575406077, 0.5078797745810444, 1.452649896182686, 8.651829123482209]
8644  : 2026-01-01, [0.1345226237485505, 0.5320069143769528, 1.432958074809591, 8.900512387064905]
8645  : 2026-01-01, [0.13328087150982354, 0.557047943717203, 1.4139293737838927, 9.14574181098908]
8646  : 2026-01-01, [0.10570677432585901, 0.24372449478526817, 2.1925810185295247, 8.957987712359346]
8647  : 2026-01-01, [0.46836101893537635, 0.35763023742875244, 1.3080861591337798, 9.615922584502092]
8648  : 2026-01-01, [0.4759126878716089, 0.37033732102832906, 1.3006959191931564, 9.853054071906904]
8649  : 2026-01-01, [0.4811219566512567, 0.38565659536477737, 1.2865628339821455, 10.096658614001822]
8650  : 2026-01-01, [0.48845931671334397, 0.4022061023712971, 1.2685140005503492, 10.340820580365008]
8651  : 2026-01-01, [0.4972629504332809, 0.417647095834903, 1.254843568383884, 10.580246385347932]
8652  : 2026-01-01, [0.5024138608169159, 0.4345180660948587, 1.2229283475736974, 10.840139725514527]
8653  : 2026-01-01, [0.5106918959847024, 0.4537664652884174, 1.1955392055617373, 11.090002433165143]
8654  : 2026-01-01, [0.51743864546238, 0.47363630085815517, 1.1602533168803182, 11.348671736799147]
8655  : 2026-01-01, [0.5262441317211818, 0.49442609178341523, 1.1176778369589813, 11.611651939536422]
8656  : 2026-01-01, [0.5322972124831257, 0.5167141953302148, 1.0657483924671878, 11.88524019971947]
8657  : 2026-01-01, [0.5429968599866716, 0.54250517630849, 1.013227753706583, 12.151270209998255]
8658  : 2026-01-01, [0.5486311136794013, 0.5677826310706237, 0.945198414185196, 12.438387841064781]
8659  : 2026-01-01, [0.5590689508951581, 0.5965462691997448, 0.8855934717419952, 12.708791308163102]
8660  : 2026-01-01, [0.5673964270369886, 0.6281198112122858, 0.7936013316947509, 13.010882430055974]
8661  : 2026-01-01, [0.7628083845345769, 0.7069542146116429, 1.926688075217804, 11.853549325635976]
8662  : 2026-01-01, [0.778444903629408, 0.7449012946402179, 1.8521282151282752, 12.124525586602099]
8663  : 2026-01-01, [0.2111267667889645, 0.08593367686730552, 2.3499528714379685, 13.102986684905762]
8664  : 2026-01-01, [0.2331773088372401, 0.12465415258720235, 2.2864849446224653, 13.355683593953092]
8665  : 2026-01-01, [0.2516109848085397, 0.16523236411504247, 2.202010958370721, 13.631145692705696]
8666  : 2026-01-01, [0.28130211434846136, 0.2101557980687594, 2.1280369050959576, 13.880505182486822]
8667  : 2026-01-01, [0.3074825239368339, 0.25947355806228234, 2.026314481053, 14.156729436947883]
8668  : 2026-01-01, [0.3325708790586748, 0.30812538918938703, 1.894151102477754, 14.465152629274185]
8669  : 2026-01-01, [0.35450429816292117, 0.3618074966705757, 1.7609838714355088, 14.772704333730994]
8670  : 2026-01-01, [0.28100707719208345, 0.4558413439365174, 1.8310954850958903, 14.93205609377551]
8671  : 2026-01-01, [0.2869798556982069, 0.5957195004985065, 3.7855333842214884, 13.081767259581797]
8672  : 2026-01-01, [0.3182849611021614, 0.6469519341195812, 3.624730520525016, 13.410032584253242]
8673  : 2026-01-01, [0.4663428814594905, 0.3934115646002056, 2.4259510824191652, 14.964294471521137]
8674  : 2026-01-01, [0.46657678756042065, 0.4600001230978855, 2.129779440678001, 15.443643648663695]
8675  : 2026-01-01, [0.47920094699865395, 0.5336683181164462, 1.8226975556329381, 15.914433179251963]
8676  : 2026-01-01, [0.1374276327515227, 0.3786360646873492, 1.4560434983976733, 17.027892804163454]
8677  : 2026-01-01, [0.07164813557568206, 0.40341280809121055, 3.7761758585507774, 14.998763197782331]
8678  : 2026-01-01, [0.06409819087342704, 0.4453581288770108, 3.5942590116223045, 15.396284668627258]
8679  : 2026-01-01, [0.7434145407529265, 0.4937993715347702, 3.414394558022476, 15.09839152968983]
8680  : 2026-01-01, [0.7371415766489735, 0.5391854255993543, 3.1851208931266086, 15.538552104625063]
8681  : 2026-01-01, [0.9376183611228851, 0.8302922697233659, 1.8944787902389468, 16.587610578914802]
8682  : 2026-01-01, [0.9529919581241353, 0.8754084139881432, 1.7353003267239264, 16.936299301163796]
8683  : 2026-01-01, [0.24916656445911795, 1.0691505785153463, 3.853108747892565, 15.57857410913297]
8684  : 2026-01-01, [1.2258068455211182, 0.6233755607058323, 5.2298231209999395, 13.920994472773108]
8685  : 2026-01-01, [1.1884782524349882, 0.6576136055670934, 5.0325962758580065, 14.371311866139912]
8686  : 2026-01-01, [0.8243236484324645, 0.8840960981437005, 2.6235838717622944, 17.167996381661542]
8687  : 2026-01-01, [0.7837413501575885, 1.0146856987523503, 1.958473316133028, 17.993099634957034]
8688  : 2026-01-01, [1.0494366038950587, 1.1263196932284953, 1.7098939393885535, 18.11434976348789]
8689  : 2026-01-01, [0.4686726137557831, 0.35828550597357295, 4.467765471575016, 16.955276408695628]
8690  : 2026-01-01, [0.8471154160766863, 0.23794642176582134, 5.8122150812062685, 15.602723080951222]
8691  : 2026-01-01, [0.6078162170273993, 0.2999086908981046, 4.110849689969341, 17.731425402105156]
8692  : 2026-01-01, [0.3600528441628275, 1.1142982612475445, 3.9272380803662807, 17.598410814223346]
8693  : 2026-01-01, [0.11240254995660896, 1.2396540862927905, 2.7248459841099955, 19.173097379640605]
8694  : 2026-01-01, [1.175957970640965, 0.1537579434755186, 1.6103078788327554, 20.55997620705076]
8695  : 2026-01-01, [0.24194434850095162, 1.7259306410076378, 7.035777910812675, 14.746347099678738]
8696  : 2026-01-01, [0.2794876207113651, 0.6678961255352036, 1.0460138299974684, 22.00660242375596]
8697  : 2026-01-01, [0.6080694441068907, 0.72134937496334, 2.0820822084623, 20.83849897246747]
