Itinerary: ['earth', 'venus', 'earth', 'jupiter', 'pluto']
case #: launch date, tof of each leg
0     : 2022-01-01, [0.25148150786985884, 0.09477772764258928, 0.5449075058387929, 9.108833258648758]
1     : 2022-01-01, [0.256325967137788, 0.09943011822513181, 0.545086568622191, 9.34915734601489]
2     : 2022-01-01, [0.2608845570625767, 0.10410586760729389, 0.5462248563391385, 9.58878471899099]
3     : 2022-01-01, [0.266872563211181, 0.11052712189207382, 0.5496161116944471, 9.822984203202298]
4     : 2022-01-01, [0.2715011347134173, 0.11551778818808324, 0.5471702554996603, 10.06581082159884]
5     : 2022-01-01, [0.27583097658945793, 0.12156532767334798, 0.5468771524948642, 10.30572654324233]
6     : 2022-01-01, [0.2801173698330014, 0.12670259803426917, 0.5457227397661771, 10.547457292366552]
7     : 2022-01-01, [0.28599826552892627, 0.13373970729193851, 0.5433213411618907, 10.786940686017244]
8     : 2022-01-01, [0.29191681636367073, 0.1398563084245084, 0.5400158870276981, 11.028210988184123]
9     : 2022-01-01, [0.29595276479705307, 0.1464504850005782, 0.5369010204744685, 11.2706957297279]
10    : 2022-01-01, [0.30175843512933825, 0.15280031586298706, 0.5322505637853013, 11.513190685222373]
11    : 2022-01-01, [0.3092642905140101, 0.16114940119200144, 0.5303051285223683, 11.74928117977162]
12    : 2022-01-01, [0.3131313375188975, 0.16815993757062883, 0.524175941575786, 11.994532783334687]
13    : 2022-01-01, [0.3188419081251291, 0.1748874260153053, 0.517636868561516, 12.238633797298048]
14    : 2022-01-01, [0.32437167366094616, 0.18412865138621765, 0.5089320932585394, 12.482567581694298]
15    : 2022-01-01, [0.3299648075011727, 0.1910949323741846, 0.5046296927248003, 12.724310567399844]
16    : 2022-01-01, [0.3373993184240871, 0.20019182912121858, 0.49852735214117416, 12.963881500313521]
17    : 2022-01-01, [0.3448362415700442, 0.20813284913151459, 0.49186587815539995, 13.205165031143043]
18    : 2022-01-01, [0.35211721493443887, 0.21740419292376606, 0.48781720100889386, 13.442661391132901]
19    : 2022-01-01, [0.31929474821648474, 0.44454827677792175, 1.1171619362265581, 12.868995038779037]
20    : 2022-01-01, [0.3254736848860897, 0.45096107475548014, 1.1331170370964578, 13.090448203261973]
21    : 2022-01-01, [0.33165010956748114, 0.4587154587599471, 1.1485263848374268, 13.311108046835145]
22    : 2022-01-01, [0.3401099614664627, 0.46737649076481225, 1.1603649933351186, 13.532148554433606]
23    : 2022-01-01, [0.34644999079065275, 0.4752858044671855, 1.1714178044422463, 13.756846400299914]
24    : 2022-01-01, [0.35631657270019446, 0.4820402639890782, 1.190694838983274, 13.970948324327454]
25    : 2022-01-01, [0.362643876842268, 0.49128845542602223, 1.200827147935131, 14.19524051979658]
26    : 2022-01-01, [0.3726759101088736, 0.49804801142938565, 1.219282304000439, 14.409993774461302]
27    : 2022-01-01, [0.3829917313699767, 0.5095166679329072, 1.2249320203305436, 14.632559580366571]
28    : 2022-01-01, [0.45471208998699536, 0.5762269534729899, 1.7739455315404542, 14.19511542499956]
29    : 2022-01-01, [0.46733707625315146, 0.5866010802203537, 1.797225798214739, 14.398836045311755]
30    : 2022-01-01, [0.48180995433376017, 0.5965666402945197, 1.8316315672948633, 14.589991838076857]
31    : 2022-01-01, [0.5688395761184445, 0.039403433791613644, 2.0733375688607705, 15.068419421229171]
32    : 2022-01-01, [0.5890040726030307, 0.0466595863297846, 2.117196998995918, 15.247139342071266]
33    : 2022-01-01, [0.6070298721180293, 0.05517090423065792, 2.144862575703341, 15.442936647947972]
34    : 2022-01-01, [0.04221200694027534, 0.5040383868649058, 1.1575995353713553, 16.79615007082346]
35    : 2022-01-01, [0.04857848065558223, 0.5128445935032102, 1.1679923357466573, 17.02058459009455]
36    : 2022-01-01, [0.058178835130016496, 0.5243856851296539, 1.1751904891290368, 17.242244990611294]
37    : 2022-01-01, [0.6951937955853453, 0.5693423648606769, 0.8061904194622962, 17.179273420091683]
38    : 2022-01-01, [0.621485626158409, 0.04213283040897672, 2.2889334388377818, 16.54744810459483]
39    : 2022-01-01, [0.6381701198122425, 0.047991232376704517, 2.330937447335092, 16.732901200475965]
