Itinerary: ['earth', 'venus', 'earth', 'pluto']
case #: launch date, tof of each leg
8640  : 2026-01-01, [0.03163365874466355, 0.32687425488764027, 9.641492086367697]
8641  : 2026-01-01, [0.33692753794510594, 0.2829131243772836, 9.63015933767761]
8642  : 2026-01-01, [0.8037053748463051, 0.30928350859679393, 9.3870111165569]
8643  : 2026-01-01, [0.21959879141908556, 0.10965222809653431, 10.42074898048438]
8644  : 2026-01-01, [0.2910940150608744, 0.2097724996935366, 10.49913348524559]
8645  : 2026-01-01, [0.19662485432701046, 0.3569022293530978, 10.69647291631989]
8646  : 2026-01-01, [0.20163077485928113, 0.4009474211964159, 10.897421803944303]
8647  : 2026-01-01, [0.2124852842965507, 0.4730094883916443, 11.064505227311805]
8648  : 2026-01-01, [0.22988368446129975, 0.6071988913264776, 11.162917424212221]
8649  : 2026-01-01, [0.2649163045432121, 0.9082204914238564, 11.07686320403293]
8650  : 2026-01-01, [0.2293613901919012, 0.3768233071212952, 11.893815302686802]
8651  : 2026-01-01, [0.17318943212260163, 1.1079878101947531, 11.468822757682647]
8652  : 2026-01-01, [1.3200734472194466, 0.784814086178779, 10.895112466601773]
8653  : 2026-01-01, [0.3923014745634265, 0.2425606654110572, 12.615137860025515]
8654  : 2026-01-01, [0.3966873273285177, 0.24792663000692264, 12.85538604266456]
8655  : 2026-01-01, [0.4021120514098799, 0.254898999928869, 13.092988948661253]
8656  : 2026-01-01, [0.4072600016545419, 0.26213686060074176, 13.330603137744715]
8657  : 2026-01-01, [0.41274664594390975, 0.2715570245434624, 13.565696329512628]
8658  : 2026-01-01, [0.4196957865979498, 0.2818258141133862, 13.798478399288664]
8659  : 2026-01-01, [0.4276330586500439, 0.29316974520777006, 14.029197196142187]
8660  : 2026-01-01, [0.4344204817969725, 0.30734132453583024, 14.258238193667196]
8661  : 2026-01-01, [0.44323088440945657, 0.32371403813970345, 14.483055077450839]
8662  : 2026-01-01, [0.4522855168999198, 0.3425055451212846, 14.705208937978796]
8663  : 2026-01-01, [0.46165878027290685, 0.37306813784785336, 14.915273081879239]
8664  : 2026-01-01, [0.47813792396762284, 0.4091211071712334, 15.112740968861145]
8665  : 2026-01-01, [0.49741195937131605, 0.4693424003870257, 15.28324564024166]
