Itinerary: ['earth', 'venus', 'earth', 'pluto']
case #: launch date, tof of each leg
15202 : 2029-01-10, [1.2518777006235053, 0.5953998249497835, 13.65272247442671]
15203 : 2029-01-10, [0.4410098412553091, 1.027016351382634, 14.281973807362055]
15204 : 2029-01-10, [0.511816239191377, 0.8516966729124984, 14.636487087896125]
15205 : 2029-01-10, [0.07685535579873412, 0.35878301181650923, 15.814361632384758]
15206 : 2029-01-10, [0.130469318309853, 0.9998206144941397, 15.369710067196007]
15207 : 2029-01-10, [0.3919451534209376, 0.5512406773048361, 15.806814169274226]
15208 : 2029-01-10, [0.37095381769756436, 0.5774624447475389, 16.051583737554896]
15209 : 2029-01-10, [0.42878299263024083, 0.8359686201613036, 15.985248387208456]
15210 : 2029-01-10, [0.6938291492954038, 1.201268696001089, 15.604902154703506]
15211 : 2029-01-10, [1.3182319201350428, 0.5773512037093331, 15.854416876155627]
15212 : 2029-01-10, [0.13384298699827607, 1.3187519880493097, 16.547405024952415]
15213 : 2029-01-10, [0.13828420632373645, 1.4044151808686178, 16.707300612807646]
15214 : 2029-01-10, [1.043205113002727, 0.25007613737498746, 17.206718749622286]
15215 : 2029-01-10, [1.0069556523896135, 0.22363417497197977, 17.519410172638405]
15216 : 2029-01-10, [0.21234509486626335, 1.0299726259503605, 17.757682279183378]
15217 : 2029-01-10, [0.8110656481792268, 1.1182363534508393, 17.320697998369933]
15218 : 2029-01-10, [0.08763435687689067, 0.4945125367731397, 18.91785310634997]
15219 : 2029-01-10, [1.1780117436867856, 0.36923692464218605, 18.202751331671028]
15220 : 2029-01-10, [1.1265928087758967, 0.30194281671605805, 18.571464374508043]
15221 : 2029-01-10, [1.4211779421223523, 0.5881015905124446, 18.240720467365204]
15222 : 2029-01-10, [1.1908041768458875, 0.34825245920277953, 18.960943363951333]
15223 : 2029-01-10, [0.5627476300701946, 0.5817616087895591, 19.60549076114025]
15224 : 2029-01-10, [1.0779637063510719, 0.21658288643011764, 19.705453407218812]
15225 : 2029-01-10, [1.1122485619700178, 0.24398665350295487, 19.89376478452703]
15226 : 2029-01-10, [1.3428259733185446, 0.46124279974099225, 19.695931226940463]
15227 : 2029-01-10, [1.1079416722747575, 0.21852441418556248, 20.42353391353968]
15228 : 2029-01-10, [0.33449338265196044, 0.533029867988703, 21.132476749359334]
15229 : 2029-01-10, [0.21432802815409818, 0.40249505819298925, 21.633176913652914]
15230 : 2029-01-10, [0.751790517883214, 0.9255697612664275, 20.822639720850358]
15231 : 2029-01-10, [2.0727102408241307, 1.2390590362104563, 19.43823072296541]
15232 : 2029-01-10, [0.42871553710804744, 0.29194557943020416, 22.279338883461747]
15233 : 2029-01-10, [1.22937793533311, 0.29190785489084, 21.72871420977605]
15234 : 2029-01-10, [1.123633568809955, 0.14990065215323609, 22.226465779036808]
15235 : 2029-01-10, [1.1495078121232902, 0.19411584341288388, 22.406376344463826]
15236 : 2029-01-10, [0.3749114727608191, 1.2097703435829317, 22.41531818365625]
15237 : 2029-01-10, [0.22523384188624643, 0.4451519783524578, 23.579614179761293]
15238 : 2029-01-10, [1.188430917822857, 0.2048904713926311, 23.106678610784513]
15239 : 2029-01-10, [1.0620740269138726, 0.10308608121789138, 23.584839891868235]
15240 : 2029-01-20, [0.3939450955049572, 0.5707056227892953, 9.035349281705749]
15241 : 2029-01-20, [0.02401722410722976, 0.23558800941381589, 9.990394766478955]
15242 : 2029-01-20, [0.2639920690717843, 0.3601144649738629, 9.875893465954352]
