Itinerary: ['earth', 'venus', 'earth', 'pluto']
case #: launch date, tof of each leg
4320  : 2024-01-01, [0.05914215143535932, 0.24491247823811035, 9.69594537032653]
4321  : 2024-01-01, [0.9640997702068831, 0.4972874547557625, 8.788612775037354]
4322  : 2024-01-01, [0.2879621542463873, 0.24028961814693853, 9.971748227606675]
4323  : 2024-01-01, [0.36104424952438047, 0.6894350841292558, 9.699520666346363]
4324  : 2024-01-01, [0.31566203823917705, 0.1859104666351253, 10.498427495125698]
4325  : 2024-01-01, [0.361763824745242, 0.9541342601301527, 9.934101915124605]
4326  : 2024-01-01, [0.4989641171214835, 0.48625162174175895, 10.514784261136757]
4327  : 2024-01-01, [0.5930836314763447, 0.04129330308989086, 11.115623065433764]
4328  : 2024-01-01, [0.23008198469482452, 0.4843166585984161, 11.285601356706758]
4329  : 2024-01-01, [0.19579647069030764, 0.0910824841715687, 11.963121045138124]
4330  : 2024-01-01, [0.23129983142924893, 0.20918989552793918, 12.059510273042811]
4331  : 2024-01-01, [0.3013839982729598, 0.46046649731350514, 11.988149504413537]
4332  : 2024-01-01, [0.5076227972158468, 1.1546764631399131, 11.33770073964424]
4333  : 2024-01-01, [0.164941331768149, 0.06141156109583901, 13.023647107136012]
4334  : 2024-01-01, [0.13912185227475984, 0.6837773728317922, 12.67710077489345]
4335  : 2024-01-01, [0.26716757488739473, 0.402903006070334, 13.079929419042271]
4336  : 2024-01-01, [0.7681247579901979, 0.12973805344485628, 13.102137188564946]
4337  : 2024-01-01, [0.13922861438909342, 0.233239818899371, 13.877531566711536]
4338  : 2024-01-01, [0.5443376921677765, 0.7526418922882123, 13.20302041554401]
4339  : 2024-01-01, [0.28892065332206673, 0.12171721594738805, 14.339362130730546]
4340  : 2024-01-01, [1.0321128188829778, 0.37127139071434406, 13.596615790402678]
4341  : 2024-01-01, [0.3021095440130213, 0.17365591662636323, 14.774234539360615]
4342  : 2024-01-01, [0.410851609406614, 0.7529633588281734, 14.336185031765213]
4343  : 2024-01-01, [0.04853586359249192, 0.4738037863267745, 15.227660350080734]
4344  : 2024-01-01, [0.05805588142331171, 0.5682092831332254, 15.373734835443463]
4345  : 2024-01-01, [0.45939843410910647, 0.28719330091810275, 15.50340826497279]
4346  : 2024-01-01, [0.40065524927221147, 1.4134500872244171, 14.68589466350337]
4347  : 2024-01-01, [0.5631982426210006, 1.550967974679475, 14.635833782699525]
4348  : 2024-01-01, [0.9405272545833047, 0.18353569542857986, 15.875937049988115]
4349  : 2024-01-01, [0.03216104530870926, 0.49004649618638446, 16.727792458504908]
4350  : 2024-01-01, [0.08804345974641725, 0.5922389768756621, 16.81971756337792]
4351  : 2024-01-01, [0.7279020251194085, 0.7802299016760468, 16.241868073204547]
4352  : 2024-01-01, [0.7656477357823794, 0.993071913583572, 16.241280350634046]
4353  : 2024-01-01, [0.5223190358907485, 0.7605890484164557, 16.967091915692798]
4354  : 2024-01-01, [0.41151402935095965, 0.30048616685466684, 17.787999803794374]
4355  : 2024-01-01, [0.45702746613908224, 0.40781676316823445, 17.88515577069268]
4356  : 2024-01-01, [0.45154426199162756, 0.2802597555215634, 18.268195982486805]
4357  : 2024-01-01, [1.3373424978960846, 0.5263956850989028, 17.386261817005014]
4358  : 2024-01-01, [0.3620070264168156, 1.75071117703293, 17.387281796550255]
4359  : 2024-01-01, [1.4085476658432363, 0.5830636517814325, 17.75838868237533]
4360  : 2024-01-01, [0.12278147879860896, 0.3818915720006694, 19.495326949200717]
4361  : 2024-01-01, [0.6072053263766292, 1.7409745397887537, 17.901820133834615]
4362  : 2024-01-01, [1.0721074242839987, 0.18125749558236523, 19.246635080133636]
4363  : 2024-01-01, [0.47439928286375305, 0.28975881672807957, 19.985841900408165]
4364  : 2024-01-01, [0.18472456802210682, 0.7174426056224991, 20.097832826355393]
4365  : 2024-01-01, [0.14836226615406786, 0.056089994192439756, 21.04554773965349]
4366  : 2024-01-01, [0.36605423949151816, 0.2550682975032193, 20.878877463005264]
4367  : 2024-01-01, [0.48382987629692226, 0.2985852042620697, 20.96758491944101]
4368  : 2024-01-01, [0.38953846360689726, 0.568343606154983, 21.04211793023812]
4369  : 2024-01-01, [0.03994606899019054, 0.614447330107165, 21.595606600902645]
4370  : 2024-01-01, [0.16688250016500966, 0.07194091205941433, 22.261176587775577]
4371  : 2024-01-01, [1.8679702241401048, 0.9995873827256762, 19.882442393134216]
4372  : 2024-01-01, [0.44696875591773394, 0.32133400237046994, 22.231697241711796]
4373  : 2024-01-01, [0.6868906800378067, 1.1297667588206772, 21.433342561141515]
4374  : 2024-01-01, [0.26210521817234134, 0.3107816401044892, 22.927113141723172]
4375  : 2024-01-01, [0.7780594543281334, 0.6009802838840012, 22.370960261787868]
4376  : 2024-01-01, [0.49755146239365156, 0.5192224974797328, 22.983226040126617]
4377  : 2024-01-01, [0.6850518375365796, 1.2289371826744004, 22.33601097978902]
4378  : 2024-01-01, [0.38350960264228223, 0.20874507970988726, 23.90774531764783]
4379  : 2024-01-01, [1.5079417303604878, 0.5379312053230145, 22.704127064316495]
4380  : 2024-01-10, [0.7321733708149435, 0.25472879270295323, 9.013097836482105]
4381  : 2024-01-10, [0.3124843603415195, 0.18844012369580307, 9.749075515962678]
4382  : 2024-01-10, [0.3326715641076378, 0.5408631443957662, 9.626465291496595]
4383  : 2024-01-10, [0.4002633525549938, 1.0294469549743601, 9.320289692470645]
4384  : 2024-01-10, [0.3427196122228285, 0.8765821176497208, 9.78069827012745]
4385  : 2024-01-10, [0.47967890888443, 0.4450303564575755, 10.325290734657994]
4386  : 2024-01-10, [0.5193313585069059, 0.5436392144692406, 10.437029427023852]
