Itinerary: ['earth', 'mars', 'venus', 'jupiter', 'pluto']
case #: launch date, tof of each leg
4441  : 2024-01-20, [0.4078185503862309, 0.24579978223929874, 1.2806976928303186, 8.315683974544152]
4442  : 2024-01-20, [0.4282687997190208, 0.23743653049426847, 1.2674500607733044, 8.566844609013406]
4443  : 2024-01-20, [0.4473792522012902, 0.23654114160979506, 1.2602253478955205, 8.805854258293394]
4444  : 2024-01-20, [0.46798382514793374, 0.2386531734761973, 1.2508248947151324, 9.042538106660736]
4445  : 2024-01-20, [0.4886841756193389, 0.24037903695769997, 1.2429399551021325, 9.27799683232083]
4446  : 2024-01-20, [0.5105206305911772, 0.23970203462936326, 1.2293765107607528, 9.520400824018708]
4447  : 2024-01-20, [0.5348222563482758, 0.23802003541785213, 1.2091596269461453, 9.767998081287725]
4448  : 2024-01-20, [0.5589424410273782, 0.23769719159391028, 1.1868118550681277, 10.016548512310582]
4449  : 2024-01-20, [0.5846029955972752, 0.23801377556498135, 1.1541345909170302, 10.273248637920712]
4450  : 2024-01-20, [0.6125205051301474, 0.23647773316448298, 1.1195505757510256, 10.531451185954344]
4451  : 2024-01-20, [0.6391298336767582, 0.23942507950149391, 1.0907756535706041, 10.780669433251143]
4452  : 2024-01-20, [0.6697100083300367, 0.2388702391144241, 1.0533753925786928, 11.038044359976848]
4453  : 2024-01-20, [0.6987931743466822, 0.24235365049096622, 1.0125855308811575, 11.296267644281194]
4454  : 2024-01-20, [0.7296942061533815, 0.24057357709950317, 0.9689138118936432, 11.560818404853473]
4455  : 2024-01-20, [0.7883904577870412, 0.1657392457258626, 0.77632011445583, 12.019550182031265]
4456  : 2024-01-20, [0.8231702061057308, 0.15345742173488572, 0.6976110911573312, 12.325761281002054]
4457  : 2024-01-20, [0.8623629861149732, 0.12681779478546984, 0.5962382914300298, 12.664580927669528]
4458  : 2024-01-20, [0.8880392380007447, 0.13144137948612822, 0.552203618027179, 12.928315764485948]
4459  : 2024-01-20, [0.9610414236573032, 0.291416795416434, 1.5652707284619916, 11.932271052464271]
4460  : 2024-01-20, [0.9150010351764911, 0.6870114015545269, 2.033336711470164, 11.36465085179882]
4461  : 2024-01-20, [0.47284604939978253, 0.08877964038376684, 1.8273069167769331, 12.86106739343952]
4462  : 2024-01-20, [0.46562273556025485, 0.8407454454111613, 1.685587697367648, 12.508044121660935]
4463  : 2024-01-20, [0.4810115438054313, 0.8379315474987908, 1.6151975414650106, 12.815859367230768]
4464  : 2024-01-20, [0.7106032399484032, 0.3817449455600017, 2.0410509928542626, 12.866600821637332]
4465  : 2024-01-20, [0.7326616963063295, 0.37206926640016025, 2.0023179198717873, 13.142951117421724]
4466  : 2024-01-20, [0.7758509557407725, 0.9031256683797897, 1.329092978801186, 13.491930397078251]
4467  : 2024-01-20, [0.8081440511771478, 0.8674842226363126, 1.1812265797635064, 13.893145146423036]
4468  : 2024-01-20, [0.9911419467648048, 0.11692783450886425, 1.6370731683536879, 14.254857050372644]
4469  : 2024-01-20, [0.942646863596331, 0.7145622534033027, 2.7962960016332503, 12.796494881367115]
4470  : 2024-01-20, [0.9803851333146636, 0.6826925616220764, 2.7010706521742676, 13.135851652888991]
4471  : 2024-01-20, [1.2244093521938324, 0.8820120608872676, 3.1843430627469314, 12.459235524171968]
4472  : 2024-01-20, [1.286799715086431, 0.823689594973173, 3.036804952425847, 12.85270573751455]
4473  : 2024-01-20, [0.1701440455345722, 0.5242345157697621, 1.6528755207837231, 15.902745917911943]
4474  : 2024-01-20, [0.13665848240137843, 1.2955564483137774, 0.9308874066401873, 16.136897662644657]
4475  : 2024-01-20, [0.10277138726396659, 0.7237270432123152, 2.3034812100068285, 15.62002035951689]
4476  : 2024-01-20, [0.2700218814053959, 1.1618896314731695, 3.206741690481697, 14.361346796639735]
4477  : 2024-01-20, [0.5626601384600145, 0.29738225566951415, 2.5879170185864164, 15.802040587284056]
4478  : 2024-01-20, [0.5991370762930769, 0.22407663811511117, 2.401342332467123, 16.27544395312469]
4479  : 2024-01-20, [0.607737913297977, 0.2238377188057851, 2.3509837175712076, 16.567440650325032]
4480  : 2024-01-20, [0.6410225337588448, 0.14978058347362916, 2.1726062888516555, 17.036590593915868]
4481  : 2024-01-20, [0.6469584217239787, 1.0183202534380678, 1.860134598727576, 16.724586726110378]
4482  : 2024-01-20, [0.685708029848673, 0.9578225789846025, 1.624631262553778, 17.231838128612946]
4483  : 2024-01-20, [0.7403248807999863, 0.8421356775690194, 1.2315119429107695, 17.93602749872023]
4484  : 2024-01-20, [0.828193905063164, 0.20310966867218777, 3.1321235125074773, 16.836572913757166]
4485  : 2024-01-20, [0.8208776988471163, 0.9966911657329728, 1.839255435448577, 17.593175699971333]
4486  : 2024-01-20, [1.2185453420296528, 0.20538336422722606, 1.4232084055260694, 18.65286288821705]
4487  : 2024-01-20, [1.2036237568725894, 1.2391106054861507, 1.1568648798700543, 18.150400757771205]
4488  : 2024-01-20, [1.250676493515553, 1.2026006805682956, 0.9643902237612565, 18.582332602154896]
4489  : 2024-01-20, [1.290764768978231, 1.1767798030829084, 0.8279919862673601, 18.954463441671503]
4490  : 2024-01-20, [1.169893972632764, 0.9950482325711077, 3.3587969519584804, 16.97626084283765]
4491  : 2024-01-20, [1.2245293922799154, 0.8673850589423436, 3.1566866538263887, 17.501398894951354]
4492  : 2024-01-20, [1.2632892916200504, 0.804805786109908, 3.0180848327506835, 17.91382008951936]
4493  : 2024-01-20, [1.3071059570846686, 0.7479136416710284, 2.8653783336235046, 18.329602067620797]
4494  : 2024-01-20, [0.3607768200817222, 1.7651111022228576, 1.1823779217795154, 20.191734155915906]
4495  : 2024-01-20, [0.3448746045639308, 1.3705583151420893, 4.222619827204228, 17.811947253089752]
4496  : 2024-01-20, [0.4001375753283774, 1.1346250160647264, 3.6684056606818247, 18.79683174792507]
4497  : 2024-01-20, [0.5043245988358758, 1.4856462308863203, 4.962949729777492, 17.297079440500312]
4498  : 2024-01-20, [0.9412666941848721, 0.37541011585522116, 4.746327781751981, 18.436995408207927]
4499  : 2024-01-20, [1.0277087804960892, 0.5114131513701087, 4.497994826554008, 18.712883241579792]
4500  : 2024-02-01, [0.3836309778000432, 0.23887128583631, 1.2416553177732261, 8.13584241859042]
4501  : 2024-02-01, [0.4019012211383644, 0.23406058870328375, 1.226726793993045, 8.387311396165307]
4502  : 2024-02-01, [0.4205274124396499, 0.23345415167349298, 1.2217187260630855, 8.624299709823772]
4503  : 2024-02-01, [0.4404418474479103, 0.2333307091305938, 1.2188658305796676, 8.857361612841828]
4504  : 2024-02-01, [0.4598494035609926, 0.23437343172412464, 1.208733291507331, 9.097043873207552]
4505  : 2024-02-01, [0.4816789397372765, 0.23457562168971738, 1.199279366999294, 9.334466071573711]
4506  : 2024-02-01, [0.503343432325, 0.23366805615887434, 1.1849662307061926, 9.578022280809932]
4507  : 2024-02-01, [0.5260835465062664, 0.23577242954909758, 1.160280476275199, 9.827863547669438]
4508  : 2024-02-01, [0.5504990515120818, 0.23605514954786666, 1.1429221225276178, 10.070523676412433]
4509  : 2024-02-01, [0.5755366046514119, 0.23603912843593752, 1.1150764950811827, 10.32334777183147]
4510  : 2024-02-01, [0.6023880414721748, 0.23676520705914117, 1.0839368555754554, 10.576909895893229]
4511  : 2024-02-01, [0.6275000571444505, 0.24133415576973608, 1.0572180835881737, 10.82394770349764]
4512  : 2024-02-01, [0.6558617619005231, 0.24222090756559492, 1.0267158891828891, 11.075201441350993]
4513  : 2024-02-01, [0.6836865892322908, 0.24530399654827204, 0.9909186565936023, 11.330090757625836]
4514  : 2024-02-01, [0.7343828673452154, 0.19052231794165203, 0.832312124632963, 11.742782690080169]
4515  : 2024-02-01, [0.768251472841573, 0.17238390440537893, 0.7544849883686602, 12.054879634384388]
4516  : 2024-02-01, [0.7906141408807965, 0.18737521125475895, 0.734092317363336, 12.287918330501109]
4517  : 2024-02-01, [0.8284675935773974, 0.1587645329140695, 0.6358492162456406, 12.626918657262893]
4518  : 2024-02-01, [0.8942541684301208, 0.2482876956239368, 1.505886145126359, 11.851571990819581]
4519  : 2024-02-01, [0.9415858084478997, 0.20686840223286415, 1.3813162864827504, 12.220229502836483]
4520  : 2024-02-01, [0.8886471117307676, 0.7015393710957396, 2.0439637133982345, 11.365849803775259]
4521  : 2024-02-01, [0.925394589379225, 0.6949833129285952, 1.9666481858681961, 11.662973911823986]
4522  : 2024-02-01, [0.4579827178952901, 0.0971660137943043, 1.7986346138318718, 13.146216654478536]
4523  : 2024-02-01, [0.4732137057018351, 0.08607267890991076, 1.7488254280999282, 13.441888187288328]
4524  : 2024-02-01, [0.6919818391037486, 0.13045392905147335, 1.6042697083817594, 13.57329452346302]
4525  : 2024-02-01, [0.7161720917308125, 0.9572813848195653, 1.5006989466321503, 13.07584757681747]
4526  : 2024-02-01, [0.7429877728907036, 0.9237888507897336, 1.3726469063742428, 13.460576469945321]
4527  : 2024-02-01, [0.7746784435217128, 0.8854494305864012, 1.2174440496977461, 13.87242807619414]
4528  : 2024-02-01, [0.9476038602325376, 0.1490549782766215, 1.6923212658245237, 14.211019895666317]
4529  : 2024-02-01, [0.9360439050021097, 1.0158666905495592, 1.3540829915539319, 13.944006412894398]
4530  : 2024-02-01, [1.1783896548627517, 0.5556995339843825, 1.9937993424174747, 13.772111468735389]
4531  : 2024-02-01, [1.2180751903527869, 0.5604449067434797, 1.9367085079400266, 14.034771394963705]
4532  : 2024-02-01, [0.10087604559955564, 0.5646063912331928, 1.8601918546224967, 15.474325708544752]
4533  : 2024-02-01, [0.12594640814479122, 0.585692543000495, 1.78484588642953, 15.753515162425185]
4534  : 2024-02-01, [1.4990674309374188, 1.2448144048542564, 1.020579509685627, 14.735538654522697]
4535  : 2024-02-01, [1.5372670804905468, 1.270097985592667, 0.9524511914132378, 14.990183742503548]
4536  : 2024-02-01, [1.313575828835774, 0.4740244789585833, 1.7951510042613072, 15.417248687944335]
4537  : 2024-02-01, [1.2885016056451093, 0.43780874375431567, 1.5795184992806197, 15.944171151319955]
4538  : 2024-02-01, [0.5605848382310785, 0.4902832622760116, 2.511561906205023, 15.937569993287887]
4539  : 2024-02-01, [0.29738071440012426, 1.1811228762005601, 3.089856076242084, 15.181640333157231]
4540  : 2024-02-01, [0.8087804253324363, 0.7774681028054834, 1.228509013912379, 17.185242457949702]
4541  : 2024-02-01, [0.7375281658991663, 0.477476643363308, 3.9933026871898374, 15.041692503547688]
4542  : 2024-02-01, [0.7784474943874266, 0.4396376696093868, 3.845382502949891, 15.436532333053293]
4543  : 2024-02-01, [0.8313004000535008, 0.3528738267089957, 3.6244512538932123, 15.941374519344292]
4544  : 2024-02-01, [0.8882794205831167, 0.2736523944885655, 3.3718052115293164, 16.466262973399]
4545  : 2024-02-01, [0.9550000348582307, 0.16922700214258068, 3.0803093759380586, 17.04546358706113]
4546  : 2024-02-01, [0.9732749539616695, 1.2717827342142285, 2.5542101119842555, 16.700732199839848]
4547  : 2024-02-01, [0.714697951256236, 1.133432263698401, 2.179756825776778, 17.722112959268586]
4548  : 2024-02-01, [0.8373583898544498, 1.0707048562243395, 1.8209817777128519, 18.27095497620836]
4549  : 2024-02-01, [0.760914900162007, 1.0821360539590854, 1.9713062209621472, 18.435642824916762]
4550  : 2024-02-01, [1.5663908339488148, 0.4716342064824248, 2.6811013535176706, 17.780873606051088]
4551  : 2024-02-01, [1.5203631956608161, 1.4419262955306724, 1.414438287562896, 18.373272221245617]
4552  : 2024-02-01, [1.583065201292989, 1.372981584419605, 1.1144157746413055, 18.9295374396461]
4553  : 2024-02-01, [1.4883692247472133, 1.4718919686131464, 1.3506967677367916, 18.939042038902848]
4554  : 2024-02-01, [1.4892456140987407, 1.40054286518613, 1.1546135259365053, 19.455597994778625]
4555  : 2024-02-01, [1.357486875064381, 1.127753112262611, 3.899016066641123, 17.365743946031884]
4556  : 2024-02-01, [1.4292278375177865, 0.9887948756393864, 3.568806785692178, 18.01317050115065]
4557  : 2024-02-01, [1.75618297391321, 0.5844686982452973, 3.046304113045925, 18.86304421479557]
4558  : 2024-02-01, [1.527708287823599, 0.7524219359741166, 2.49137725180411, 19.72849252439817]
4559  : 2024-02-01, [0.14909771907214928, 0.7186298672103347, 2.348912766597003, 21.533359647120513]
4560  : 2024-02-10, [0.37991106908981864, 0.22965658305391054, 1.1946777665389283, 8.195754581317342]
4561  : 2024-02-10, [0.39801194372640464, 0.22923746642050782, 1.1904393275080152, 8.432311262345072]
4562  : 2024-02-10, [0.41592216724113806, 0.23041011872407208, 1.1938354782765839, 8.659832235758206]
4563  : 2024-02-10, [0.4348201712980656, 0.2316562051130318, 1.1852672903315287, 8.898256333257375]
4564  : 2024-02-10, [0.45503007960460057, 0.23109984875277473, 1.1782446998179894, 9.135625371824636]
4565  : 2024-02-10, [0.47453144660459473, 0.23165002376454016, 1.1636705563765244, 9.38014797325434]
4566  : 2024-02-10, [0.4973567740220656, 0.2317192812680456, 1.144313197046138, 9.62661074766375]
4567  : 2024-02-10, [0.5199801963627023, 0.23110957740813928, 1.129968002821359, 9.8689422234078]
4568  : 2024-02-10, [0.5426824335538571, 0.2326347161293192, 1.1100148613994651, 10.11466798891736]
4569  : 2024-02-10, [0.5677393232598221, 0.23252607396885433, 1.0827786428365673, 10.366955959934755]
4570  : 2024-02-10, [0.5935820897856379, 0.2355330164997197, 1.0560915592550801, 10.614793334459563]
4571  : 2024-02-10, [0.6189843721404953, 0.24078814460160822, 1.0325256318271574, 10.857701851430742]
4572  : 2024-02-10, [0.6440738924989705, 0.24852664970138064, 1.0052772738448443, 11.102122183954805]
4573  : 2024-02-10, [0.6902656981143933, 0.20788480845780208, 0.8899286498455993, 11.461920843582206]
4574  : 2024-02-10, [0.7113289702170029, 0.21143158520994318, 0.8479930339044373, 11.729246410668617]
4575  : 2024-02-10, [0.7690152839438059, 0.12678779143103047, 0.7786782077122077, 12.075518716912956]
4576  : 2024-02-10, [0.765549054651341, 0.833149773425775, 0.6245894208385471, 11.776711751084338]
4577  : 2024-02-10, [0.8040227479772076, 0.8174453400420669, 0.5071485739423995, 12.121383338038326]
4578  : 2024-02-10, [0.8800686014462457, 0.243301877967614, 1.4762233918865686, 11.90040612869957]
4579  : 2024-02-10, [0.9263788352797876, 0.20118521480273643, 1.3609521427965927, 12.261483807120882]
4580  : 2024-02-10, [0.8693036831341686, 0.7101777107543198, 2.0407103000574875, 11.379808306054024]
4581  : 2024-02-10, [0.9053124742652875, 0.7033102035865144, 1.9717151704833977, 11.669662151664799]
4582  : 2024-02-10, [1.1275438834665739, 0.23221650367422433, 1.0663845310210784, 13.073855081838122]
4583  : 2024-02-10, [1.1733769293477774, 0.1986486462499805, 0.9462125622411534, 13.431761862161087]
4584  : 2024-02-10, [0.4358237608023982, 0.3010817564341494, 1.9960215121889813, 13.267072970574471]
4585  : 2024-02-10, [0.6946148420038715, 0.09693675268200798, 1.5171560964562418, 13.941292308857879]
4586  : 2024-02-10, [0.7209563770607965, 0.9348685763580099, 1.3904206415889393, 13.453754404992253]
4587  : 2024-02-10, [0.7463765859207852, 0.8840722469134228, 1.2129604634979276, 13.906590703667867]
4588  : 2024-02-10, [0.9599964204818561, 0.9661834921806747, 0.743841564736297, 14.329978522601172]
