Itinerary: ['earth', 'mars', 'jupiter', 'pluto']
case #: launch date, tof of each leg
10800 : 2027-01-01, [0.22587675892765982, 0.39392141735658875, 9.380201823715751]
10801 : 2027-01-01, [0.23474790652369676, 0.4015984922527297, 9.613653601223573]
10802 : 2027-01-01, [0.1991888612349894, 2.2911924682541978, 8.009618670510815]
10803 : 2027-01-01, [0.2066295146990067, 2.345389507876179, 8.197980977424814]
10804 : 2027-01-01, [0.21510784078641082, 2.3973107590328353, 8.387581400180755]
10805 : 2027-01-01, [0.29190022500239526, 0.9132903254557813, 10.044809449541823]
10806 : 2027-01-01, [0.3051064826496271, 0.9372204807315051, 10.257673036618868]
10807 : 2027-01-01, [0.3171125655465141, 0.9640357927534116, 10.468851641700075]
10808 : 2027-01-01, [0.33093303821677333, 0.9890148285733659, 10.68005213320986]
10809 : 2027-01-01, [0.3451178313045296, 1.012955563907211, 10.891926604788258]
10810 : 2027-01-01, [0.3595246932501983, 1.0373930356509413, 11.10308227109886]
10811 : 2027-01-01, [0.3743785467576061, 1.0623183575063042, 11.313303095736089]
10812 : 2027-01-01, [0.38959959401821104, 1.0874827136865106, 11.522917692295279]
10813 : 2027-01-01, [0.4050640328908908, 1.1110726747225195, 11.733863292386587]
10814 : 2027-01-01, [0.42252102042556017, 1.131943186226348, 11.94553579334809]
10815 : 2027-01-01, [0.43886975734613015, 1.1568394115967893, 12.154290831057082]
10816 : 2027-01-01, [0.4571624006343616, 1.1770181351452678, 12.36581946422037]
10817 : 2027-01-01, [0.47571230510052825, 1.1966914809249494, 12.577596213974521]
10818 : 2027-01-01, [0.4948756780864792, 1.2167414361818978, 12.788382885731624]
10819 : 2027-01-01, [0.5146696822097988, 1.2371546722678795, 12.998175645522323]
10820 : 2027-01-01, [0.536247731381445, 1.2496065602185746, 13.21414570839998]
10821 : 2027-01-01, [0.5584925228267261, 1.2628659580346784, 13.428641519138594]
10822 : 2027-01-01, [0.5812738730627898, 1.2766241916233008, 13.64210193531391]
10823 : 2027-01-01, [0.6044216810973684, 1.2869302877260047, 13.858648031176626]
10824 : 2027-01-01, [0.6300701607179883, 1.292112715245835, 14.077817124036178]
10825 : 2027-01-01, [0.6558562859321204, 1.294597751902949, 14.299545962164931]
10826 : 2027-01-01, [0.6825306469012656, 1.2957841739368707, 14.521685179161866]
10827 : 2027-01-01, [0.7097926123124881, 1.2978442264820356, 14.742363161205478]
10828 : 2027-01-01, [0.738893762499879, 1.2852410269543721, 14.975865210545749]
