Itinerary: ['earth', 'mars', 'jupiter', 'pluto']
case #: launch date, tof of each leg
2198  : 2023-01-01, [0.10710772525401104, 3.0365344663940936, 16.3563578083519]
2199  : 2023-01-01, [0.11144898213533394, 3.077727596126355, 16.560823421738313]
2200  : 2023-01-01, [0.11588574331131696, 3.1195817342408008, 16.764532522447883]
2201  : 2023-01-01, [0.12037378900204294, 3.160927786199411, 16.968698424798546]
2202  : 2023-01-01, [0.1249332147607138, 3.2023488614300564, 17.172717923809227]
2203  : 2023-01-01, [0.1311455933669407, 3.2427673201662923, 17.376087086466768]
2204  : 2023-01-01, [0.13584509162914502, 3.282132547864313, 17.582022360506542]
2205  : 2023-01-01, [0.14063039842964298, 3.3237402485977423, 17.785629352972617]
2206  : 2023-01-01, [0.1470970365541018, 3.3620665619361594, 17.99083640150974]
2207  : 2023-01-01, [0.15363642579252015, 3.3998315787642386, 18.19653199544324]
2208  : 2023-01-01, [0.15865299940104763, 3.441501962573904, 18.39984503802505]
2209  : 2023-01-01, [0.1670015067333341, 3.4734956741759655, 18.6095028190907]
2210  : 2023-01-01, [0.1738555504407825, 3.5118582859478047, 18.814286163611413]
2211  : 2023-01-01, [0.1790634214897318, 3.549682027295458, 19.02125455121481]
2212  : 2023-01-01, [0.18771695522241177, 3.5822076096702826, 19.230075435107306]
2213  : 2023-01-01, [0.19481968508155717, 3.618002245152371, 19.43717806976607]
2214  : 2023-01-01, [0.2019712171874003, 3.65397416741956, 19.64405461539304]
2215  : 2023-01-01, [0.2092090756148748, 3.688885604897183, 19.85190531948794]
2216  : 2023-01-01, [0.22900665192140401, 3.711170556464677, 20.059822791613914]
2217  : 2023-01-01, [0.238176211340053, 3.7388578331117013, 20.272965955548248]
2218  : 2023-01-01, [0.24747999054361752, 3.7678993719833342, 20.484620637473046]
2219  : 2023-01-01, [0.25680946013614797, 3.7935801921480974, 20.699610347715755]
2220  : 2023-01-10, [0.16738844082101548, 1.3090191358024947, 8.52359242337649]
2221  : 2023-01-10, [0.17527011658661626, 1.342917270650653, 8.73181261276273]
2222  : 2023-01-10, [0.18403289672253811, 1.3754049668977069, 8.940562136379755]
2223  : 2023-01-10, [0.19298944103092838, 1.4082163073786829, 9.14879425159039]
2224  : 2023-01-10, [0.20146308943392224, 1.4428370682571616, 9.355699842308915]
2225  : 2023-01-10, [0.21082181322068913, 1.4751038275891228, 9.564074359190188]
2226  : 2023-01-10, [0.2204190459774568, 1.5079889870211813, 9.771591967001363]
2227  : 2023-01-10, [0.23018549531906626, 1.5405048219623574, 9.979309682718577]
2228  : 2023-01-10, [0.24021097283669132, 1.5726977790017884, 10.18709124816152]
2229  : 2023-01-10, [0.6772261577677757, 1.8161237403906125, 9.756650101841611]
2230  : 2023-01-10, [0.05831934879526693, 1.9118661058031796, 10.529814545401553]
