Itinerary: ['earth', 'mars', 'jupiter', 'pluto']
case #: launch date, tof of each leg
12960 : 2028-01-01, [0.8665315616085155, 1.5148820984519629, 7.618586339939522]
12961 : 2028-01-01, [0.9118205329336698, 1.5257925017541774, 7.812386965312153]
12962 : 2028-01-01, [0.9601552259289502, 1.532843369662254, 8.007001404408795]
12963 : 2028-01-01, [1.0114337833707636, 1.533826933711175, 8.20473928291806]
12964 : 2028-01-01, [1.0628087080918924, 1.5327059240253837, 8.404485367882724]
12965 : 2028-01-01, [0.09467937490045401, 1.6771713745203989, 9.478149250579147]
12966 : 2028-01-01, [0.1230925651875508, 1.661328352682403, 9.715579082130047]
12967 : 2028-01-01, [0.36350456048035357, 1.3864824096621549, 10.000013029857492]
12968 : 2028-01-01, [0.4060000338050376, 1.3558027697445327, 10.23819719645043]
12969 : 2028-01-01, [0.4514102105650952, 1.316334186020913, 10.482255603413991]
12970 : 2028-01-01, [0.6890312961075351, 2.4464874367588276, 9.364481267133637]
12971 : 2028-01-01, [0.7236279939738203, 2.448094272666036, 9.578277733360144]
12972 : 2028-01-01, [0.7656497470470784, 2.4326245375079623, 9.80172571544496]
12973 : 2028-01-01, [0.8115012968326921, 2.405998473243429, 10.032500229923878]
12974 : 2028-01-01, [0.8591162229966138, 2.3757177508078695, 10.265166026195518]
12975 : 2028-01-01, [0.9131002059005593, 2.3297201372060456, 10.507179656893394]
12976 : 2028-01-01, [0.9736937653268417, 2.2697020707574094, 10.75660416391575]
12977 : 2028-01-01, [1.0346396800658244, 2.2034377136054237, 11.011922606328753]
12978 : 2028-01-01, [1.0973448220477466, 2.129415431793926, 11.273239746158326]
12979 : 2028-01-01, [0.3113839091167032, 2.623852386699077, 11.81476370418422]
12980 : 2028-01-01, [0.36471494191803316, 2.5657681051319967, 12.06951695294997]
12981 : 2028-01-01, [0.42042972946486223, 2.4904787080411186, 12.33909156249402]
12982 : 2028-01-01, [0.7356331235602401, 1.856005120164682, 12.908361756275077]
12983 : 2028-01-01, [0.8445259302811208, 1.627675242621178, 13.2777988270977]
