Itinerary: ['earth', 'mars', 'jupiter', 'pluto']
case #: launch date, tof of each leg
15120 : 2029-01-01, [0.38467394214465456, 0.550315085032663, 9.065010972822682]
15121 : 2029-01-01, [0.4006582597321776, 0.544648200834164, 9.304693539433659]
15122 : 2029-01-01, [0.4169297744782535, 0.5374867791519221, 9.545583446369825]
15123 : 2029-01-01, [0.4332983611637133, 0.5302160375328091, 9.786485601303479]
15124 : 2029-01-01, [0.5582064392309827, 0.7133710464006635, 9.728422514368354]
15125 : 2029-01-01, [0.4261253661981847, 2.798779839406706, 8.02509479439511]
15126 : 2029-01-01, [0.44793335895491987, 2.8277323018339793, 8.2243343392111]
15127 : 2029-01-01, [0.4714912205981427, 2.848743201875544, 8.429765577526313]
15128 : 2029-01-01, [0.7929116767369941, 1.7320664765792906, 9.475021846683715]
15129 : 2029-01-01, [0.675618646490938, 3.317534902377953, 8.256846451131109]
15130 : 2029-01-01, [0.7332999744996548, 3.321202068308924, 8.44549795719142]
15131 : 2029-01-01, [0.7943816033310338, 3.3258574225278648, 8.629760974141101]
15132 : 2029-01-01, [0.8643530181962416, 3.3077903230955483, 8.827856658708209]
15133 : 2029-01-01, [0.944282965817037, 3.26791026090318, 9.037806773279783]
15134 : 2029-01-01, [1.0313105557603375, 3.2073025683207352, 9.261386875918928]
15135 : 2029-01-01, [1.1282691630817783, 3.123598286080458, 9.498132550837765]
15136 : 2029-01-01, [0.48382377456006154, 0.7317303599032123, 12.784445865536727]
15137 : 2029-01-01, [0.5042865741785344, 0.6989868734097581, 13.046726552411709]
15138 : 2029-01-01, [0.5265244331095532, 0.6609795617188182, 13.31249600517163]
15139 : 2029-01-01, [0.43913465518320516, 3.475232289210139, 10.835633055606655]
15140 : 2029-01-01, [0.6528994346086098, 1.2160304054685518, 13.131070159922839]
15141 : 2029-01-01, [0.6567087178657345, 3.7785044843270668, 10.8147867978072]
15142 : 2029-01-01, [0.6943457866223006, 3.741217367211699, 11.064436846166]
15143 : 2029-01-01, [0.7335698328184098, 3.686965445493246, 11.329464721688343]
15144 : 2029-01-01, [1.2984947284916888, 4.443076435975629, 10.258428835532683]
15145 : 2029-01-01, [1.3662504144464696, 4.47954275591832, 10.404206829635209]
15146 : 2029-01-01, [0.5607996187511075, 0.988317534709653, 14.95088284653924]
15147 : 2029-01-01, [0.5756019486887274, 0.9852577270952109, 15.189140324216062]
15148 : 2029-01-01, [0.5887808843183576, 0.9852421380944497, 15.425976977587194]
15149 : 2029-01-01, [0.603731313267569, 0.9791073578955531, 15.66716132883688]
15150 : 2029-01-01, [0.6188132959662012, 0.9723353535009724, 15.908851350532824]
15151 : 2029-01-01, [0.6342545028761359, 0.9661886474546071, 16.149556849669256]
15152 : 2029-01-01, [0.6512050433489375, 0.9501831379096093, 16.398611818741454]
15153 : 2029-01-01, [0.6665827966040055, 0.9402904963292634, 16.64312670706673]
15154 : 2029-01-01, [0.6860235693564347, 0.9181241035463371, 16.895852327097227]
15155 : 2029-01-01, [0.7032718884349859, 0.899443846187499, 17.147284265377515]
15156 : 2029-01-01, [0.7605586303714171, 4.537812228772419, 13.701629140856165]
15157 : 2029-01-01, [0.7812726362483221, 4.5598234876637775, 13.908903876087901]
15158 : 2029-01-01, [0.8016942141705806, 4.575587211497654, 14.122718574331767]
15159 : 2029-01-01, [0.8221607374033032, 4.5905727961363185, 14.337266466460378]
15160 : 2029-01-01, [0.8511472153424894, 4.595595913052159, 14.55325687160535]
15161 : 2029-01-01, [0.8716948996483191, 4.599769381088941, 14.77853571926274]
15162 : 2029-01-01, [0.8931132753495316, 4.60414535642444, 15.002741368226028]
15163 : 2029-01-01, [0.9215097760920156, 4.5818255197863245, 15.24666470412166]
15164 : 2029-01-01, [0.9460298099347025, 4.571143490722396, 15.482826699342903]
15165 : 2029-01-01, [0.46385874748845146, 1.0438324554472331, 19.742308797064318]
15166 : 2029-01-01, [0.4767906278304548, 1.0344855240994142, 19.98872384807013]
15167 : 2029-01-01, [0.4906995598252359, 1.0163854225860125, 20.24291501758875]
15168 : 2029-01-01, [0.7204059113813069, 2.0990856765069306, 19.180508412111763]
15169 : 2029-01-01, [0.7747391196642458, 1.9236407364362493, 19.551620143899505]
15170 : 2029-01-01, [0.8239983848241341, 1.7381425931516028, 19.937859022024263]
15171 : 2029-01-01, [0.7468401875036984, 0.4534731914738405, 21.54968662102246]
15172 : 2029-01-01, [0.740513627544838, 2.5432245442946946, 19.71626182816047]
15173 : 2029-01-01, [0.823494349353954, 2.402537751616123, 20.023967899029923]
15174 : 2029-01-01, [0.921852282952733, 2.247906338835925, 20.33024137821134]
15175 : 2029-01-01, [0.29075129278304057, 3.3096067323725746, 20.149641974844386]
15176 : 2029-01-01, [1.8117489671675076, 2.6340600386912327, 19.554190994141262]
15177 : 2029-01-01, [1.974532107375386, 2.1311788165595984, 20.144289076065014]
15178 : 2029-01-01, [0.3416139630513237, 1.8644202568540302, 22.293965780094645]
15179 : 2029-01-01, [0.39414346888092117, 1.6565457148594886, 22.69931081625959]
15180 : 2029-01-10, [0.359939921324388, 0.5517582287245485, 9.088301849951064]
15181 : 2029-01-10, [0.37418244853525495, 0.5500661432883786, 9.325751408176366]
15182 : 2029-01-10, [0.38988694042571775, 0.5435176234791037, 9.566595436095179]
15183 : 2029-01-10, [0.405755974070994, 0.5355589779860938, 9.808685047942912]
15184 : 2029-01-10, [0.4206424106882834, 0.5340232007919662, 10.04533438851975]
15185 : 2029-01-10, [0.5505855008038013, 0.728465781818382, 9.970948717377818]
15186 : 2029-01-10, [0.42001865900439644, 2.852281118176425, 8.227700222819179]
15187 : 2029-01-10, [0.443204351633803, 2.8760599408438687, 8.430735707522327]
15188 : 2029-01-10, [0.46596537896848494, 2.9002150068848964, 8.633819614146619]
15189 : 2029-01-10, [0.7034512735281012, 1.485266118508445, 10.061282607963454]
15190 : 2029-01-10, [0.6871089181161527, 3.3943351221029423, 8.418555959780907]
15191 : 2029-01-10, [0.7436610611108997, 3.4073278557368214, 8.599011083152277]
15192 : 2029-01-10, [0.8081887419428937, 3.397263977502882, 8.794547280554223]
15193 : 2029-01-10, [0.879893643974599, 3.3708990971330275, 8.999207258892373]
15194 : 2029-01-10, [0.9591303291657416, 3.328146363846485, 9.212723306987773]
15195 : 2029-01-10, [0.43706210129001766, 0.7618843015326199, 12.551053597177363]
15196 : 2029-01-10, [0.4543341286806864, 0.7412831662166637, 12.804382705102649]
15197 : 2029-01-10, [0.47319927248118837, 0.7154314869082948, 13.061369240610517]
15198 : 2029-01-10, [0.4922695284336443, 0.686018105164816, 13.321712366401542]
15199 : 2029-01-10, [0.41106489693161374, 3.510299180201326, 10.82863592286706]
15200 : 2029-01-10, [0.43072878890038935, 3.515328633628044, 11.053942577471568]
15201 : 2029-01-10, [0.6437811491013881, 1.2153112921937042, 13.390907558704907]
15202 : 2029-01-10, [0.6465792885798856, 3.8345650560909963, 11.018855655329117]
15203 : 2029-01-10, [0.6823254891340701, 3.7971370813390544, 11.270537429526875]
15204 : 2029-01-10, [1.1993860532355247, 4.557562774898051, 10.243051171866426]
15205 : 2029-01-10, [1.2638872474870189, 4.598329601741381, 10.387783150771599]
15206 : 2029-01-10, [0.524816027630813, 0.9930981585348748, 14.982085813834313]
15207 : 2029-01-10, [0.5393831860385724, 0.9895095855475413, 15.221107228413885]
15208 : 2029-01-10, [0.5520908020287676, 0.9903095400615377, 15.457599657909697]
15209 : 2029-01-10, [0.5667676124699825, 0.9861722743786578, 15.69706011315136]
15210 : 2029-01-10, [0.5814646118156844, 0.9794096929634494, 15.939125695220866]
15211 : 2029-01-10, [0.5946045063174135, 0.9779361248413553, 16.17745936884123]
15212 : 2029-01-10, [0.6114927029568128, 0.9652303585072644, 16.423276938535924]
15213 : 2029-01-10, [0.6266799140293161, 0.9557082706337326, 16.66761181533695]
15214 : 2029-01-10, [0.6418215088256304, 0.9452476277532426, 16.912930863421128]
15215 : 2029-01-10, [0.658929201053559, 0.9270033913913989, 17.16406740755504]
15216 : 2029-01-10, [0.6762220715858078, 0.9080589558766621, 17.41571897253753]
15217 : 2029-01-10, [0.7313717598971493, 4.605642906828659, 13.912985333274191]
15218 : 2029-01-10, [0.7516082306520229, 4.626515053513866, 14.12187671583411]
15219 : 2029-01-10, [0.772293079494869, 4.645001588890865, 14.332705331614267]
15220 : 2029-01-10, [0.7924935305814953, 4.655519033003024, 14.55198743641548]
15221 : 2029-01-10, [0.8156984384750602, 4.661488284132596, 14.772813277392343]
15222 : 2029-01-10, [0.8387116147367247, 4.663083634177756, 14.998204751085522]
15223 : 2029-01-10, [0.8587316181350764, 4.668589276372802, 15.222679105492121]
15224 : 2029-01-10, [0.8874916836399033, 4.6619895140299095, 15.450518802330185]
