Itinerary: ['earth', 'venus', 'pluto']
case #: launch date, tof of each leg
12960 : 2028-01-01, [0.07565311318887602, 9.924346886811124]
12961 : 2028-01-01, [0.07734774517562973, 10.172652254824369]
12962 : 2028-01-01, [0.07747695012939321, 10.422523049870605]
12963 : 2028-01-01, [0.07751890638416621, 10.672481093615835]
12964 : 2028-01-01, [0.0791211713115087, 10.92087882868849]
12965 : 2028-01-01, [0.07903150671517617, 11.170968493284825]
12966 : 2028-01-01, [0.08058187604598817, 11.419418123954012]
12967 : 2028-01-01, [0.08212893813972588, 11.667871061860275]
12968 : 2028-01-01, [0.08004818899113306, 11.919951811008868]
12969 : 2028-01-01, [0.08151066621322275, 12.168489333786779]
12970 : 2028-01-01, [0.08296582534043578, 12.417034174659566]
12971 : 2028-01-01, [0.08248040789816725, 12.667519592101833]
12972 : 2028-01-01, [0.07583914463060042, 12.9241608553694]
12973 : 2028-01-01, [0.07710365244489649, 13.172896347555104]
12974 : 2028-01-01, [0.07623292814703182, 13.423767071852968]
12975 : 2028-01-01, [0.07745063946467926, 13.67254936053532]
12976 : 2028-01-01, [0.07644685229269287, 13.923553147707308]
12977 : 2028-01-01, [0.0776183138768358, 14.172381686123163]
12978 : 2028-01-01, [0.08106821276946291, 14.418931787230536]
12979 : 2028-01-01, [0.08226027554618355, 14.667739724453817]
12980 : 2028-01-01, [0.08344884666990025, 14.916551153330099]
12981 : 2028-01-01, [0.08699606804066798, 15.16300393195933]
12982 : 2028-01-01, [0.08820453516080957, 15.41179546483919]
12983 : 2028-01-01, [0.09182109944122316, 15.658178900558777]
12984 : 2028-01-01, [0.09547103731078793, 15.904528962689211]
12985 : 2028-01-01, [0.10157007396176886, 16.148429926038233]
12986 : 2028-01-01, [0.10770236546059529, 16.392297634539403]
12987 : 2028-01-01, [0.11387195570832677, 16.63612804429167]
12988 : 2028-01-01, [0.12476783702649115, 16.87523216297351]
12989 : 2028-01-01, [0.1286529504774345, 17.121347049522566]
12990 : 2028-01-01, [0.13722516335912302, 17.362774836640877]
12991 : 2028-01-01, [0.15031004108718105, 17.59968995891282]
12992 : 2028-01-01, [0.7795881774953156, 17.220411822504683]
12993 : 2028-01-01, [0.7905098770277859, 17.459490122972213]
12994 : 2028-01-01, [0.8004614827103691, 17.69953851728963]
12995 : 2028-01-01, [0.8100526721037278, 17.93994732789627]
12996 : 2028-01-01, [0.8197024905812829, 18.18029750941872]
12997 : 2028-01-01, [0.828952933041418, 18.421047066958582]
12998 : 2028-01-01, [0.8379107377312792, 18.662089262268722]
12999 : 2028-01-01, [0.8463719030081748, 18.903628096991824]
13000 : 2028-01-01, [0.8538888990264192, 19.146111100973584]
13001 : 2028-01-01, [0.8595451122908376, 19.390454887709165]
13002 : 2028-01-01, [0.8958231987648673, 19.604176801235134]
13003 : 2028-01-01, [0.9041332009813473, 19.845866799018655]
13004 : 2028-01-01, [0.9132970230771755, 20.086702976922826]
13005 : 2028-01-01, [0.9227653776104973, 20.3272346223895]
13006 : 2028-01-01, [0.9327931316743292, 20.567206868325673]
13007 : 2028-01-01, [0.9431017644097484, 20.806898235590253]
13008 : 2028-01-01, [0.9530694190257731, 21.046930580974227]
13009 : 2028-01-01, [0.9636503424417489, 21.28634965755825]
13010 : 2028-01-01, [0.9743518634696182, 21.52564813653038]
13011 : 2028-01-01, [0.9851284974163156, 21.764871502583684]
13012 : 2028-01-01, [0.9960271455023378, 22.00397285449766]
13013 : 2028-01-01, [1.0070148074058574, 22.242985192594144]
13014 : 2028-01-01, [1.0180883893150683, 22.481911610684932]
13015 : 2028-01-01, [1.0292165849942188, 22.72078341500578]
13016 : 2028-01-01, [1.04046533291969, 22.95953466708031]
13017 : 2028-01-01, [1.0518138656235296, 23.198186134376474]
13018 : 2028-01-01, [1.0642156937340659, 23.435784306265933]
13019 : 2028-01-01, [1.0762244366509892, 23.67377556334901]
13020 : 2028-01-10, [0.07245896314624355, 9.927541036853757]
13021 : 2028-01-10, [0.07407670585591132, 10.17592329414409]
13022 : 2028-01-10, [0.07569031844174207, 10.424309681558258]
13023 : 2028-01-10, [0.07562266628499935, 10.674377333715]
13024 : 2028-01-10, [0.07546348198804562, 10.924536518011955]
13025 : 2028-01-10, [0.07698060959317932, 11.173019390406822]
13026 : 2028-01-10, [0.07668217163438593, 11.423317828365615]
13027 : 2028-01-10, [0.07815104577600741, 11.671848954223993]
13028 : 2028-01-10, [0.07771529835973658, 11.922284701640265]
13029 : 2028-01-10, [0.5754620480970588, 11.67453795190294]
13030 : 2028-01-10, [0.5834976552041006, 11.9165023447959]
13031 : 2028-01-10, [0.07167488041824702, 12.678325119581753]
13032 : 2028-01-10, [0.07074580003518714, 12.929254199964813]
