Itinerary: ['earth', 'venus', 'pluto']
case #: launch date, tof of each leg
0     : 2022-01-01, [0.5156751226512589, 9.48432487734874]
1     : 2022-01-01, [0.5265995335136211, 9.723400466486378]
2     : 2022-01-01, [0.5371462524259076, 9.962853747574092]
3     : 2022-01-01, [0.5481050867026757, 10.201894913297323]
4     : 2022-01-01, [0.5591520210129448, 10.440847978987055]
5     : 2022-01-01, [0.5723606050521343, 10.677639394947866]
6     : 2022-01-01, [0.5841317577039663, 10.915868242296034]
7     : 2022-01-01, [0.5822490970660078, 11.167750902933992]
8     : 2022-01-01, [0.5941193573090542, 11.405880642690946]
9     : 2022-01-01, [0.6042899982111382, 11.645710001788862]
10    : 2022-01-01, [0.6139770085216915, 11.88602299147831]
11    : 2022-01-01, [0.0334604405429485, 12.716539559457052]
12    : 2022-01-01, [0.631693836569468, 12.36830616343053]
13    : 2022-01-01, [0.6441039854466205, 12.60589601455338]
14    : 2022-01-01, [0.6558793277096563, 12.844120672290344]
15    : 2022-01-01, [0.6673535432719178, 13.082646456728083]
16    : 2022-01-01, [0.6778841811595052, 13.322115818840494]
17    : 2022-01-01, [0.6860613845702537, 13.563938615429747]
18    : 2022-01-01, [0.7117138606765206, 13.78828613932348]
19    : 2022-01-01, [0.7238810073176196, 14.02611899268238]
20    : 2022-01-01, [0.7362285548300781, 14.263771445169922]
21    : 2022-01-01, [0.7494553635727944, 14.500544636427206]
22    : 2022-01-01, [0.7629602174912821, 14.737039782508718]
23    : 2022-01-01, [0.7767528513245828, 14.973247148675416]
24    : 2022-01-01, [0.7908032338848474, 15.209196766115154]
25    : 2022-01-01, [0.8051176739056494, 15.44488232609435]
26    : 2022-01-01, [0.8206862052109022, 15.679313794789097]
27    : 2022-01-01, [0.8366851879614866, 15.913314812038513]
28    : 2022-01-01, [0.853220314872686, 16.146779685127314]
29    : 2022-01-01, [0.8702927506559373, 16.379707249344065]
30    : 2022-01-01, [0.8894591467385772, 16.610540853261423]
31    : 2022-01-01, [0.9097156918579262, 16.84028430814207]
32    : 2022-01-01, [0.9360348986331246, 17.063965101366875]
33    : 2022-01-01, [0.9567235478461358, 17.293276452153865]
34    : 2022-01-01, [0.9865374640526369, 17.513462535947365]
35    : 2022-01-01, [0.9989835739887253, 17.751016426011276]
36    : 2022-01-01, [0.9402783044581438, 18.059721695541857]
37    : 2022-01-01, [0.9895951004727973, 18.260404899527202]
38    : 2022-01-01, [1.0181538179410252, 18.481846182058973]
39    : 2022-01-01, [0.26184734528998416, 19.488152654710017]
40    : 2022-01-01, [0.2557153534076819, 19.744284646592316]
41    : 2022-01-01, [0.24543265065854558, 20.004567349341453]
42    : 2022-01-01, [0.9815370331214263, 19.518462966878573]
43    : 2022-01-01, [0.9893379543159155, 19.760662045684086]
44    : 2022-01-01, [0.9971414786870366, 20.002858521312966]
45    : 2022-01-01, [1.007034990403679, 20.242965009596322]
46    : 2022-01-01, [0.26232787537910557, 21.237672124620893]
47    : 2022-01-01, [0.2578815590300481, 21.49211844096995]
48    : 2022-01-01, [0.2555865206647269, 21.74441347933527]
49    : 2022-01-01, [0.250735013834045, 21.999264986165954]
50    : 2022-01-01, [0.24561345422916359, 22.25438654577084]
51    : 2022-01-01, [0.24019588851377427, 22.509804111486226]
52    : 2022-01-01, [0.23710416561180217, 22.7628958343882]
53    : 2022-01-01, [1.0861305268025492, 22.16386947319745]
54    : 2022-01-01, [1.0921377748190366, 22.407862225180967]
55    : 2022-01-01, [1.0981904305018306, 22.65180956949817]
56    : 2022-01-01, [1.105346875405998, 22.894653124594]
57    : 2022-01-01, [1.1114169552734343, 23.138583044726566]
58    : 2022-01-01, [1.1176004436934708, 23.38239955630653]
59    : 2022-01-01, [1.1237572283718207, 23.62624277162818]
60    : 2022-01-10, [0.08236154989892022, 9.91763845010108]
61    : 2022-01-10, [0.07749462237722562, 10.172505377622773]
62    : 2022-01-10, [0.07386650953407971, 10.426133490465922]
63    : 2022-01-10, [0.5634929916681864, 10.186507008331816]
64    : 2022-01-10, [0.574076697042737, 10.425923302957262]
65    : 2022-01-10, [0.5848417005541622, 10.665158299445837]
66    : 2022-01-10, [0.5988314634763651, 10.901168536523636]
67    : 2022-01-10, [0.5973941560868156, 11.152605843913186]
68    : 2022-01-10, [0.038734141069576386, 11.961265858930425]
69    : 2022-01-10, [0.03367669924129907, 12.216323300758702]
70    : 2022-01-10, [0.6281312871705969, 11.871868712829404]
71    : 2022-01-10, [0.6405959175872199, 12.10940408241278]
72    : 2022-01-10, [0.6658820270061234, 12.334117972993877]
73    : 2022-01-10, [0.6753526597397964, 12.574647340260203]
74    : 2022-01-10, [0.6872416652242532, 12.812758334775747]
75    : 2022-01-10, [0.7007158228682552, 13.049284177131746]
76    : 2022-01-10, [0.7154829425552692, 13.28451705744473]
77    : 2022-01-10, [0.7300107577570808, 13.519989242242918]
78    : 2022-01-10, [0.7457085961593776, 13.754291403840623]
79    : 2022-01-10, [0.7619001830316376, 13.988099816968363]
80    : 2022-01-10, [0.7785863215081825, 14.22141367849182]
81    : 2022-01-10, [0.7958076924112862, 14.454192307588714]
82    : 2022-01-10, [0.8148974527862564, 14.685102547213742]
83    : 2022-01-10, [0.8363592187107678, 14.91364078128923]
84    : 2022-01-10, [0.8643174065174245, 15.135682593482574]
85    : 2022-01-10, [0.9025217547746972, 15.347478245225302]
86    : 2022-01-10, [0.9557663121863599, 15.54423368781364]
87    : 2022-01-10, [0.9738756292841643, 15.776124370715836]
88    : 2022-01-10, [0.2545917466927696, 16.74540825330723]
89    : 2022-01-10, [0.95759476503005, 16.29240523496995]
90    : 2022-01-10, [0.9677329852386105, 16.532267014761388]
91    : 2022-01-10, [0.9790728023761313, 16.77092719762387]
92    : 2022-01-10, [0.24551607181131266, 17.754483928188687]
93    : 2022-01-10, [0.23699316689662922, 18.013006833103372]
94    : 2022-01-10, [0.23181498825845806, 18.268185011741544]
95    : 2022-01-10, [0.22414800616061464, 18.525851993839385]
96    : 2022-01-10, [0.21585077220806118, 18.784149227791936]
97    : 2022-01-10, [0.20917667832909553, 19.040823321670906]
98    : 2022-01-10, [0.20908112800569997, 19.2909188719943]
99    : 2022-01-10, [0.2065162336205593, 19.543483766379442]
100   : 2022-01-10, [1.0478117662567663, 18.952188233743232]
101   : 2022-01-10, [1.054947357975683, 19.195052642024315]
102   : 2022-01-10, [1.0641781111804631, 19.435821888819536]
103   : 2022-01-10, [1.069146698958193, 19.680853301041807]
104   : 2022-01-10, [0.25721089772227523, 20.742789102277726]
105   : 2022-01-10, [0.2190902881400046, 21.030909711859994]
106   : 2022-01-10, [0.21598960077123022, 21.28401039922877]
107   : 2022-01-10, [1.0917996248306148, 20.658200375169386]
108   : 2022-01-10, [1.095409356833754, 20.904590643166248]
109   : 2022-01-10, [1.100898466600643, 21.149101533399357]
110   : 2022-01-10, [1.1001302105839077, 21.39986978941609]
111   : 2022-01-10, [1.108921843143651, 21.64107815685635]
112   : 2022-01-10, [1.1146926053248163, 21.885307394675184]
113   : 2022-01-10, [1.1190887133370748, 22.130911286662922]
114   : 2022-01-10, [1.1249704721800793, 22.375029527819922]
115   : 2022-01-10, [1.1296174993664787, 22.62038250063352]
116   : 2022-01-10, [1.1356743483268237, 22.864325651673177]
117   : 2022-01-10, [1.1393559393611785, 23.110644060638823]
118   : 2022-01-10, [1.144409124753752, 23.35559087524625]
119   : 2022-01-10, [1.149644971807124, 23.600355028192876]
