Itinerary: ['earth', 'venus', 'pluto']
case #: launch date, tof of each leg
2160  : 2023-01-01, [0.10641872878198892, 9.893581271218011]
2161  : 2023-01-01, [0.10743576548442323, 10.142564234515579]
2162  : 2023-01-01, [0.10836592684515861, 10.39163407315484]
2163  : 2023-01-01, [0.11066054438373736, 10.639339455616263]
2164  : 2023-01-01, [0.11146485389974055, 10.888535146100258]
2165  : 2023-01-01, [0.11218804570340607, 11.137811954296593]
2166  : 2023-01-01, [0.11438483058578784, 11.385615169414212]
2167  : 2023-01-01, [0.1149787574526485, 11.635021242547353]
2168  : 2023-01-01, [0.11549104064161213, 11.884508959358387]
2169  : 2023-01-01, [0.11591788215900752, 12.134082117840991]
2170  : 2023-01-01, [0.11625564073292192, 12.383744359267078]
2171  : 2023-01-01, [0.11827748695646423, 12.631722513043535]
2172  : 2023-01-01, [0.11849155049306731, 12.881508449506933]
2173  : 2023-01-01, [0.11861894262277865, 13.131381057377222]
2174  : 2023-01-01, [0.11865590751293544, 13.381344092487064]
2175  : 2023-01-01, [0.11861191561898332, 13.631388084381017]
2176  : 2023-01-01, [0.11847314397690212, 13.881526856023099]
2177  : 2023-01-01, [0.11619432238851776, 14.133805677611482]
2178  : 2023-01-01, [0.122083434433938, 14.377916565566064]
2179  : 2023-01-01, [0.1238749637570607, 14.62612503624294]
2180  : 2023-01-01, [0.12565397426916058, 14.87434602573084]
2181  : 2023-01-01, [0.12742750891171872, 15.122572491088283]
2182  : 2023-01-01, [0.12919215785640414, 15.370807842143597]
2183  : 2023-01-01, [0.13314687657867705, 15.616853123421325]
2184  : 2023-01-01, [0.13492017641695886, 15.865079823583041]
2185  : 2023-01-01, [0.13892796067759178, 16.111072039322405]
2186  : 2023-01-01, [0.14296683288958253, 16.357033167110416]
2187  : 2023-01-01, [0.14927739105327767, 16.600722608946725]
2188  : 2023-01-01, [0.1533822386772067, 16.846617761322793]
2189  : 2023-01-01, [0.15976213992105812, 17.090237860078943]
2190  : 2023-01-01, [0.16616637014654917, 17.333833629853448]
2191  : 2023-01-01, [0.17481012162106252, 17.57518987837894]
2192  : 2023-01-01, [0.18561358203785772, 17.814386417962144]
2193  : 2023-01-01, [0.19422403953432754, 18.055775960465674]
2194  : 2023-01-01, [0.2028342240165619, 18.297165775983437]
2195  : 2023-01-01, [0.21353134121763956, 18.53646865878236]
2196  : 2023-01-01, [0.854821209583069, 18.14517879041693]
2197  : 2023-01-01, [0.8674799117454537, 18.382520088254545]
2198  : 2023-01-01, [0.8779793225624984, 18.6220206774375]
2199  : 2023-01-01, [0.8882917525136427, 18.86170824748636]
2200  : 2023-01-01, [0.8981042435175985, 19.101895756482403]
2201  : 2023-01-01, [0.9077990581160932, 19.34220094188391]
2202  : 2023-01-01, [0.941484056865746, 19.558515943134257]
2203  : 2023-01-01, [0.949810641632942, 19.800189358367057]
2204  : 2023-01-01, [0.9576942960399408, 20.04230570396006]
2205  : 2023-01-01, [0.966237076242875, 20.283762923757127]
2206  : 2023-01-01, [0.9759330523620737, 20.524066947637927]
2207  : 2023-01-01, [0.985995175191274, 20.764004824808726]
2208  : 2023-01-01, [0.9967740715696172, 21.003225928430382]
2209  : 2023-01-01, [1.007882894229106, 21.242117105770895]
2210  : 2023-01-01, [1.0198873780597932, 21.480112621940208]
2211  : 2023-01-01, [1.0314444234555444, 21.718555576544457]
2212  : 2023-01-01, [1.0431522798493944, 21.956847720150606]
2213  : 2023-01-01, [1.0558797123775947, 22.194120287622404]
2214  : 2023-01-01, [1.0679154456077355, 22.432084554392265]
2215  : 2023-01-01, [1.0810485708986817, 22.668951429101316]
2216  : 2023-01-01, [1.094478045185586, 22.905521954814414]
2217  : 2023-01-01, [1.1081863767397802, 23.14181362326022]
2218  : 2023-01-01, [1.122198128452985, 23.377801871547017]
2219  : 2023-01-01, [1.136562932132024, 23.613437067867977]
2220  : 2023-01-10, [0.10440882952621, 9.895591170473788]
2221  : 2023-01-10, [0.10531579314069738, 10.144684206859301]
2222  : 2023-01-10, [0.10759889570573535, 10.392401104294263]
2223  : 2023-01-10, [0.10837234219360017, 10.641627657806401]
2224  : 2023-01-10, [0.10906133652871802, 10.890938663471282]
2225  : 2023-01-10, [0.1112468651728725, 11.138753134827127]
2226  : 2023-01-10, [0.11180524576575275, 11.388194754234249]
2227  : 2023-01-10, [0.11227212547767211, 11.637727874522328]
2228  : 2023-01-10, [0.11265346155816772, 11.887346538441832]
2229  : 2023-01-10, [0.11470072241539096, 12.13529927758461]
2230  : 2023-01-10, [0.11495070737603258, 12.385049292623966]
2231  : 2023-01-10, [0.11510771378227157, 12.634892286217728]
2232  : 2023-01-10, [0.11517786264138592, 12.884822137358613]
2233  : 2023-01-10, [0.1151573632404055, 13.134842636759595]
2234  : 2023-01-10, [0.11504558465646207, 13.38495441534354]
2235  : 2023-01-10, [0.11278900412531813, 13.637210995874682]
2236  : 2023-01-10, [0.11868862291851022, 13.88131137708149]
2237  : 2023-01-10, [0.1184021897890763, 14.131597810210923]
2238  : 2023-01-10, [0.12229779257482731, 14.377702207425171]
2239  : 2023-01-10, [0.12192575118749169, 14.628074248812508]
2240  : 2023-01-10, [0.12586671921235945, 14.87413328078764]
2241  : 2023-01-10, [0.12763926969131767, 15.122360730308682]
2242  : 2023-01-10, [0.13163295544343157, 15.368367044556566]
2243  : 2023-01-10, [0.13566340556904885, 15.61433659443095]
2244  : 2023-01-10, [0.13972614497900204, 15.860273855020997]
2245  : 2023-01-10, [0.14606682214822156, 16.10393317785178]
2246  : 2023-01-10, [0.15243914925955462, 16.347560850740447]
2247  : 2023-01-10, [0.15660952778118487, 16.593390472218815]
2248  : 2023-01-10, [0.16526953657623816, 16.83473046342376]
2249  : 2023-01-10, [0.171724804236763, 17.078275195763236]
2250  : 2023-01-10, [0.0916029730611801, 17.40839702693882]
2251  : 2023-01-10, [0.07734431963391149, 17.672655680366088]
2252  : 2023-01-10, [0.0653295401074796, 17.93467045989252]
2253  : 2023-01-10, [0.8503714678689349, 17.39962853213106]
2254  : 2023-01-10, [0.8624420931216505, 17.637557906878353]
2255  : 2023-01-10, [0.8735732044644149, 17.876426795535586]
2256  : 2023-01-10, [0.8841506199837085, 18.115849380016293]
2257  : 2023-01-10, [0.9195539559298045, 18.330446044070197]
2258  : 2023-01-10, [0.9265744796277218, 18.57342552037228]
2259  : 2023-01-10, [0.9359324646378072, 18.81406753536219]
2260  : 2023-01-10, [0.9467340465091879, 19.05326595349081]
2261  : 2023-01-10, [0.9583791891229602, 19.29162081087704]
2262  : 2023-01-10, [0.9712195878376227, 19.528780412162376]
2263  : 2023-01-10, [0.9845845179157154, 19.765415482084283]
2264  : 2023-01-10, [0.9983426447658182, 20.00165735523418]
2265  : 2023-01-10, [1.0124553181846911, 20.237544681815308]
2266  : 2023-01-10, [1.0269128008125572, 20.473087199187443]
2267  : 2023-01-10, [1.0429021038587625, 20.70709789614124]
2268  : 2023-01-10, [1.059488576805454, 20.940511423194547]
2269  : 2023-01-10, [1.076687841443854, 21.173312158556147]
2270  : 2023-01-10, [1.096155494937144, 21.403844505062857]
2271  : 2023-01-10, [1.1184805892421692, 21.631519410757832]
2272  : 2023-01-10, [1.1450877484113016, 21.854912251588697]
2273  : 2023-01-10, [1.1649066572208233, 22.085093342779178]
2274  : 2023-01-10, [1.2062357620650017, 22.293764237934997]
2275  : 2023-01-10, [1.2174324928509135, 22.53256750714909]
2276  : 2023-01-10, [1.2286114332160734, 22.771388566783926]
2277  : 2023-01-10, [1.1627855259811601, 23.087214474018843]
2278  : 2023-01-10, [1.218974291205869, 23.28102570879413]
2279  : 2023-01-10, [1.246937376304243, 23.503062623695754]
2280  : 2023-01-20, [0.10203381065610485, 9.897966189343895]
2281  : 2023-01-20, [0.10280477271541655, 10.147195227284584]
2282  : 2023-01-20, [0.10502845606292997, 10.39497154393707]
2283  : 2023-01-20, [0.10566605942703093, 10.644333940572968]
