Itinerary: ['earth', 'venus', 'jupiter', 'pluto']
case #: launch date, tof of each leg
4320  : 2024-01-01, [0.19560997949176107, 0.8494592734995497, 8.954930747008689]
4321  : 2024-01-01, [0.19701344815731023, 0.8624538846204078, 9.190532667222282]
4322  : 2024-01-01, [0.19998857699399378, 0.8804805558619329, 9.419530867144076]
4323  : 2024-01-01, [0.20282379006904816, 0.8981289683524132, 9.649047241578538]
4324  : 2024-01-01, [0.20383335711222864, 0.9107497517159994, 9.885416891171774]
4325  : 2024-01-01, [0.20645887166143312, 0.9275830956602775, 10.11595803267829]
4326  : 2024-01-01, [0.20717011603385105, 0.939553982811137, 10.35327590115501]
4327  : 2024-01-01, [0.2096174427924819, 0.9570128418057823, 10.583369715401737]
4328  : 2024-01-01, [0.21007022558695765, 0.9680793127317444, 10.821850461681299]
4329  : 2024-01-01, [0.2103787348764112, 0.98027475068064, 11.059346514442948]
4330  : 2024-01-01, [0.21047191568228182, 0.990971663229455, 11.298556421088263]
4331  : 2024-01-01, [0.21245745749874506, 1.0071170593129233, 11.530425483188331]
4332  : 2024-01-01, [0.21018832054047998, 1.0114390242984144, 11.778372655161107]
4333  : 2024-01-01, [0.2098379053007873, 1.0223541826515175, 12.017807912047695]
4334  : 2024-01-01, [0.2071454397001197, 1.0268829722993795, 12.2659715880005]
4335  : 2024-01-01, [0.20626118182321515, 1.0352380351784205, 12.508500782998365]
4336  : 2024-01-01, [0.20305525483608616, 1.0385492604084674, 12.758395484755447]
4337  : 2024-01-01, [0.19964844591558234, 1.0421682674070123, 13.008183286677404]
4338  : 2024-01-01, [0.1934798266321394, 1.0379990350937898, 13.26852113827407]
4339  : 2024-01-01, [0.18690307633300335, 1.0322515908835375, 13.530845332783459]
4340  : 2024-01-01, [0.18253079786676096, 1.0342390248332374, 13.783230177300002]
4341  : 2024-01-01, [0.1777731478971032, 1.0344875970681984, 14.037739255034698]
4342  : 2024-01-01, [0.17263457953703623, 1.0323739434465393, 14.294991477016424]
4343  : 2024-01-01, [0.16991414356269002, 1.037860969109448, 14.542224887327864]
4344  : 2024-01-01, [0.13409951236456796, 0.9624388289476531, 14.903461658687778]
4345  : 2024-01-01, [0.13125520982771385, 0.9954053382184105, 15.123339451953875]
4346  : 2024-01-01, [0.5970689165711701, 3.0168175265008723, 12.886113556927958]
4347  : 2024-01-01, [0.603745117863058, 3.0658938115868937, 13.08036107055005]
4348  : 2024-01-01, [0.6076538097936749, 3.107564191961189, 13.284781998245135]
4349  : 2024-01-01, [0.6116462945128556, 3.1509640900050466, 13.487389615482098]
4350  : 2024-01-01, [0.6132157685396963, 3.190541793530855, 13.696242437929449]
4351  : 2024-01-01, [0.6193878873112152, 3.2385145299108964, 13.89209758277789]
4352  : 2024-01-01, [0.6229924447595937, 3.2826293639888307, 14.094378191251575]
4353  : 2024-01-01, [0.6240911544322193, 3.322266887547156, 14.303641958020624]
4354  : 2024-01-01, [0.627617943624312, 3.3682924191936947, 14.504089637181993]
4355  : 2024-01-01, [0.6224529145607401, 3.392756892636872, 14.734790192802386]
4356  : 2024-01-01, [0.6226657408145047, 3.431045417257373, 14.946288841928121]
4357  : 2024-01-01, [0.622871765178996, 3.471199469887865, 15.155928764933138]
