Itinerary: ['earth', 'venus', 'jupiter', 'pluto']
case #: launch date, tof of each leg
12960 : 2028-01-01, [0.6188703073592013, 1.2009047394514185, 8.18022495318938]
12961 : 2028-01-01, [0.6417290734710989, 1.267996787345978, 8.340274139182922]
12962 : 2028-01-01, [0.04112795429729912, 1.421770593555213, 9.037101452147487]
12963 : 2028-01-01, [0.04997901882860308, 1.4324671997869634, 9.267553781384434]
12964 : 2028-01-01, [0.06571159514419772, 1.5052872361509593, 9.429001168704843]
12965 : 2028-01-01, [0.6978217229554029, 1.3865967968778545, 9.165581480166743]
12966 : 2028-01-01, [0.041553533881113804, 1.5287464522665544, 9.929700013852331]
12967 : 2028-01-01, [0.04856039043175654, 1.584593409906589, 10.116846199661655]
12968 : 2028-01-01, [0.06565678075718105, 1.6640893709987128, 10.270253848244106]
12969 : 2028-01-01, [0.07679164496068448, 1.7296472185657923, 10.443561136473523]
12970 : 2028-01-01, [0.10424618658099041, 1.830079624415682, 10.565674189003328]
12971 : 2028-01-01, [0.12890893259388975, 1.9280255656251064, 10.693065501781003]
12972 : 2028-01-01, [0.1660142122735735, 2.0441342701224277, 10.789851517604]
12973 : 2028-01-01, [0.8168016581517995, 1.6514873045426883, 10.781711037305513]
12974 : 2028-01-01, [0.8213483576068016, 1.6424584888697848, 11.036193153523413]
12975 : 2028-01-01, [0.8276712312159178, 1.6415141918064, 11.280814576977681]
12976 : 2028-01-01, [0.8350464021544444, 1.64458069341559, 11.520372904429966]
12977 : 2028-01-01, [0.8413684247816055, 1.6433071333627631, 11.765324441855633]
12978 : 2028-01-01, [0.8462339615822665, 1.6363164424093708, 12.017449596008364]
12979 : 2028-01-01, [0.853009199926172, 1.6367785736440432, 12.260212226429786]
12980 : 2028-01-01, [0.8581710564761649, 1.6310979160234786, 12.510731027500356]
12981 : 2028-01-01, [0.8617014170955282, 1.619078280972368, 12.769220301932105]
12982 : 2028-01-01, [0.8689495203799722, 1.6231106653116292, 13.0079398143084]
12983 : 2028-01-01, [0.8737783080743962, 1.616685879529261, 13.259535812396342]
12984 : 2028-01-01, [0.8786699555952653, 1.6098846661093595, 13.511445378295376]
12985 : 2028-01-01, [0.8855426329177644, 1.6129389658493694, 13.751518401232866]
12986 : 2028-01-01, [0.887240686498393, 1.5940218826085881, 14.018737430893019]
12987 : 2028-01-01, [0.8985818773629799, 1.614088164708486, 14.237329957928534]
12988 : 2028-01-01, [0.9041399362150925, 1.6110267434755303, 14.484833320309377]
12989 : 2028-01-01, [0.9103273230673838, 1.611779620990601, 14.727893055942015]
12990 : 2028-01-01, [0.9132761975464986, 1.5975837372913904, 14.989140065162111]
12991 : 2028-01-01, [0.9196924593942902, 1.5988731553956783, 15.231434385210033]
