Itinerary: ['earth', 'venus', 'JUPITER_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
10867 : 2027-01-10, [0.22526832837686667, 1.9945271612315101, 9.5302045103916235]
10868 : 2027-01-10, [0.21456229928441004, 2.0132400614654244, 9.7721976392501659]
10869 : 2027-01-10, [0.19720665177143631, 2.019848296953116, 10.032945051275448]
10870 : 2027-01-10, [0.17511211531922763, 2.0140492228396978, 10.310838661841073]
10871 : 2027-01-10, [0.62027611015895912, 0.73640141051028007, 11.393322479330763]
10872 : 2027-01-10, [0.2252101327317543, 2.2104924827370156, 10.56429738453123]
10873 : 2027-01-10, [0.22377584385803545, 2.2508756142313104, 10.775348541910654]
10874 : 2027-01-10, [0.21928183513631899, 2.2897590079197072, 10.990959156943974]
10875 : 2027-01-10, [0.21391682628359204, 2.3219830756412496, 11.214100098075157]
10876 : 2027-01-10, [0.22522641108830777, 2.3994077757189767, 11.375365813192715]
10877 : 2027-01-10, [0.20915222247282533, 2.4095950972626499, 11.631252680264526]
10878 : 2027-01-10, [0.19940787148317374, 2.4418839085766053, 11.858708219940221]
10879 : 2027-01-10, [0.19231594618292347, 2.4762841340928978, 12.081399919724179]
10880 : 2027-01-10, [0.18857995988623566, 2.5207840077762649, 12.290636032337499]
10881 : 2027-01-10, [0.19253578125749454, 2.5885070586680974, 12.468957160074408]
10882 : 2027-01-10, [0.18822887300161881, 2.6309124793223519, 12.680858647676027]
10883 : 2027-01-10, [0.16311403254977488, 2.6348071092714052, 12.952078858178821]
10884 : 2027-01-10, [0.14909692765637395, 2.6641821315204415, 13.186720940823184]
10885 : 2027-01-10, [0.15648052818957667, 2.74120613985728, 13.352313331953141]
10886 : 2027-01-10, [0.14601081368577754, 2.7829804251486627, 13.57100876116556]
10887 : 2027-01-10, [0.13476621802042979, 2.8214475557776599, 13.793786226201908]
10888 : 2027-01-10, [0.088590713928229106, 2.7977220956634716, 14.113687190408298]
10889 : 2027-01-10, [0.07532502869231808, 2.8353421912941639, 14.339332780013518]
10890 : 2027-01-10, [1.2009683153405499, 2.6601262581559251, 13.638905426503525]
10891 : 2027-01-10, [1.2126332482153075, 2.6786643513567401, 13.858702400427953]
10892 : 2027-01-10, [1.2047341776677003, 2.618068247197757, 14.177197575134542]
10893 : 2027-01-10, [1.2000842966434908, 2.5724731912410959, 14.477442512115415]
10894 : 2027-01-10, [1.1801276341102545, 2.4666172207161754, 14.853255145173572]
10895 : 2027-01-10, [0.45259864279329276, 3.0876841404122124, 15.209717216794495]
10896 : 2027-01-10, [0.42199751450189571, 3.0584400354574188, 15.519562450040684]
10897 : 2027-01-10, [1.0929206298083813, 2.0292888058069614, 16.127790564384657]
10898 : 2027-01-10, [1.0490933460460414, 1.8237951824192535, 16.627111471534704]
10899 : 2027-01-10, [0.68630979524620284, 4.5625720979894302, 14.501118106764366]
10900 : 2027-01-10, [0.48980406468087329, 4.2609940079408277, 15.2492019273783]
10901 : 2027-01-10, [0.43890654996690842, 3.7350313580184702, 16.07606209201462]
10902 : 2027-01-10, [0.65659162411549687, 5.4940775288428245, 14.34933084704168]
10903 : 2027-01-10, [1.1411616520034629, 2.1145010118789007, 17.494337336117638]
10904 : 2027-01-10, [0.18810217376341917, 2.850303607603943, 17.961594218632637]
10905 : 2027-01-10, [0.92996629390604113, 1.1116160561351791, 19.208417649958779]
