Itinerary: ['earth', 'venus', 'jupiter', 'pluto']
case #: launch date, tof of each leg
2235  : 2023-01-10, [0.06038150590737002, 1.781252655675608, 11.908365838417021]
2236  : 2023-01-10, [0.4038638986623807, 1.540679372553163, 12.055456728784456]
2237  : 2023-01-10, [0.41059871697283984, 1.5689925838759289, 12.270408699151231]
2238  : 2023-01-10, [0.41348276020749014, 1.5877756242164371, 12.498741615576073]
2239  : 2023-01-10, [0.41817616919572764, 1.610602021377186, 12.721221809427085]
2240  : 2023-01-10, [0.42458680599549475, 1.6380508022646436, 12.93736239173986]
2241  : 2023-01-10, [0.4293210989424025, 1.6624402058677292, 13.158238695189867]
2242  : 2023-01-10, [0.4356828895424941, 1.6893538343230037, 13.374963276134501]
2243  : 2023-01-10, [0.4380175194144532, 1.70708381129514, 13.604898669290407]
2244  : 2023-01-10, [0.4442832166438372, 1.7338544228131465, 13.821862360543015]
2245  : 2023-01-10, [0.44863906301842316, 1.757474499487305, 14.043886437494274]
2246  : 2023-01-10, [0.45482932479610383, 1.7841464931661408, 14.261024182037755]
2247  : 2023-01-10, [0.46119867092905104, 1.8122034305697459, 14.476597898501204]
2248  : 2023-01-10, [0.4696822515047031, 1.8460440892238923, 14.684273659271405]
2249  : 2023-01-10, [0.473498641244274, 1.8662153369190901, 14.910286021836637]
2250  : 2023-01-10, [0.4820258243336243, 1.8996759775457992, 15.118298198120577]
2251  : 2023-01-10, [0.48610542490367653, 1.923038368952409, 15.340856206143915]
2252  : 2023-01-10, [0.4938187147287769, 1.9487744699372418, 15.557406815333982]
2253  : 2023-01-10, [0.4979091561272309, 1.9730587166450533, 15.779032127227715]
2254  : 2023-01-10, [0.5088644698658503, 2.0140410298692504, 15.9770945002649]
2255  : 2023-01-10, [0.5149829023655349, 2.040982341245472, 16.194034756388994]
2256  : 2023-01-10, [0.5287275946787049, 2.0907089376162324, 16.380563467705063]
2257  : 2023-01-10, [0.5325080253135397, 2.1121179307615887, 16.605374043924872]
2258  : 2023-01-10, [0.5407262027025195, 2.1423855607854527, 16.81688823651203]
2259  : 2023-01-10, [0.5495910927089548, 2.1780222877038935, 17.02238661958715]
2260  : 2023-01-10, [0.5604204376834739, 2.215493428281441, 17.224086134035083]
2261  : 2023-01-10, [0.5692858347521779, 2.250369067314575, 17.430345097933248]
2262  : 2023-01-10, [0.5806752691535749, 2.29210909444781, 17.627215636398613]
2263  : 2023-01-10, [0.5891933976020077, 2.324095079212482, 17.83671152318551]
2264  : 2023-01-10, [0.598103213945601, 2.358347197259092, 18.043549588795308]
2265  : 2023-01-10, [0.6094500483366351, 2.3990246464096394, 18.241525305253724]
2266  : 2023-01-10, [0.6233409611840242, 2.4441840963806962, 18.43247494243528]
2267  : 2023-01-10, [0.6376873400701829, 2.4925225401052593, 18.619790119824557]
2268  : 2023-01-10, [0.649289673004805, 2.5331466622717382, 18.81756366472346]
2269  : 2023-01-10, [0.6583493140206307, 2.568490402704216, 19.023160283275153]
2270  : 2023-01-10, [0.6729708715331646, 2.6176001553504378, 19.2094289731164]
2271  : 2023-01-10, [0.6845218771904436, 2.657003093063023, 19.408475029746533]
2272  : 2023-01-10, [0.7094897464267926, 2.7278084043213773, 19.56270184925183]
2273  : 2023-01-10, [0.7217785656176261, 2.7721612942509393, 19.75606014013143]
2274  : 2023-01-10, [0.7364069363760057, 2.8191010201133504, 19.944492043510643]
2275  : 2023-01-10, [0.7433521873707837, 2.850643363368077, 20.15600444926114]
2276  : 2023-01-10, [0.758285677019638, 2.898564518240351, 20.343149804740012]
2277  : 2023-01-10, [0.7760794433750766, 2.9550312908218896, 20.518889265803033]
2278  : 2023-01-10, [0.7987789337751801, 3.018928284789058, 20.682292781435763]
2279  : 2023-01-10, [0.818927298438359, 3.0779576658922805, 20.85311503566936]
2280  : 2023-01-20, [0.07456779110300704, 1.3161893093019204, 8.609242899595074]
2281  : 2023-01-20, [0.07484212504281477, 1.345380000130439, 8.829777874826746]
2282  : 2023-01-20, [0.07504321071167644, 1.3741158636488802, 9.050840925639443]
2283  : 2023-01-20, [0.07518276990931691, 1.402930823692677, 9.271886406398005]
2284  : 2023-01-20, [0.07523311418331945, 1.4313121373767377, 9.493454748439943]
2285  : 2023-01-20, [0.07522163784471629, 1.4601314613121668, 9.714646900843118]
2286  : 2023-01-20, [0.07347768176285649, 1.4852207084447933, 9.94130160979235]
2287  : 2023-01-20, [0.07327655002585516, 1.5136203592501987, 10.163103090723945]
2288  : 2023-01-20, [0.07126370018461825, 1.5384927158866646, 10.390243583928717]
2289  : 2023-01-20, [0.06911115930154683, 1.5633900696279466, 10.617498771070508]
2290  : 2023-01-20, [0.06859865112409634, 1.5905495540941623, 10.840851794781742]
2291  : 2023-01-20, [0.06619040790632989, 1.615225142010549, 11.068584450083122]
2292  : 2023-01-20, [0.06361150066530123, 1.6396773417622137, 11.296711157572485]
2293  : 2023-01-20, [0.06284596489958923, 1.6687542694217121, 11.518399765678698]
2294  : 2023-01-20, [0.05999871449552288, 1.6923681576944234, 11.747633127810053]
2295  : 2023-01-20, [0.39596551463598995, 1.448011129574852, 11.90602335578916]
2296  : 2023-01-20, [0.4007709906087686, 1.4697141874987167, 12.129514821892515]
2297  : 2023-01-20, [0.4054839252703112, 1.491222049935988, 12.3532940247937]
2298  : 2023-01-20, [0.41012030554359125, 1.513122418615643, 12.576757275840766]
2299  : 2023-01-20, [0.4146024219975268, 1.5335398016603936, 12.80185777634208]
2300  : 2023-01-20, [0.41906766029840514, 1.5545692074276014, 13.026363132273993]
2301  : 2023-01-20, [0.4256302731028088, 1.5822498177222093, 13.242119909174981]
2302  : 2023-01-20, [0.4298990808263494, 1.6022554250541265, 13.467845494119521]
2303  : 2023-01-20, [0.4362479036715157, 1.6287854816999685, 13.684966614628514]
2304  : 2023-01-20, [0.44045567090505083, 1.6493805832273039, 13.910163745867644]
2305  : 2023-01-20, [0.44655456890990175, 1.673991629864701, 14.129453801225397]
2306  : 2023-01-20, [0.4547222019515361, 1.7037450925475095, 14.341532705500954]
2307  : 2023-01-20, [0.45668520009240055, 1.7189246553361632, 14.574390144571437]
2308  : 2023-01-20, [0.46501880182054295, 1.7505972567669374, 14.784383941412521]
2309  : 2023-01-20, [0.4712074220500705, 1.7776421775136013, 15.00115040043633]
2310  : 2023-01-20, [0.47520291295247147, 1.7981220390810562, 15.226675047966472]
2311  : 2023-01-20, [0.4809774620696834, 1.8212553467297061, 15.44776719120061]
2312  : 2023-01-20, [0.4939652651026609, 1.8647563966941767, 15.641278338203163]
2313  : 2023-01-20, [0.49769452037604184, 1.883786635127972, 15.868518844495986]
2314  : 2023-01-20, [0.5037495750054196, 1.9100327428714199, 16.086217682123163]
2315  : 2023-01-20, [0.5171356925091628, 1.9568972456634746, 16.275967061827362]
2316  : 2023-01-20, [0.5206359829915861, 1.9732494885239726, 16.506114528484442]
2317  : 2023-01-20, [0.5289727387463627, 2.003756206316336, 16.717271054937303]
2318  : 2023-01-20, [0.5376600835800697, 2.037660046951326, 16.924679869468605]
2319  : 2023-01-20, [0.5459589283464605, 2.068003250804934, 17.136037820848603]
2320  : 2023-01-20, [0.5543930784419765, 2.098838487703484, 17.34676843385454]
2321  : 2023-01-20, [0.5678953160057254, 2.142307250411249, 17.539797433583022]
2322  : 2023-01-20, [0.5765544509868399, 2.174615963891135, 17.748829585122024]
2323  : 2023-01-20, [0.5877408645142568, 2.213165668188335, 17.94909346729741]
2324  : 2023-01-20, [0.5989991022297082, 2.2519240478876394, 18.149076849882654]
2325  : 2023-01-20, [0.607803337236078, 2.284702746957581, 18.35749391580634]
2326  : 2023-01-20, [0.6213754055895903, 2.327227154194979, 18.551397440215432]
2327  : 2023-01-20, [0.6379602221924912, 2.3783579743738135, 18.733681803433697]
2328  : 2023-01-20, [0.6493980807988038, 2.41671461746839, 18.933887301732803]
2329  : 2023-01-20, [0.6583182388366412, 2.4497022003387032, 19.141979560824655]
2330  : 2023-01-20, [0.6750718917587574, 2.50031139506243, 19.324616713178813]
2331  : 2023-01-20, [0.6869778724668895, 2.541739224125758, 19.52128290340735]
2332  : 2023-01-20, [0.6983181742217892, 2.5778654156184957, 19.723816410159717]
2333  : 2023-01-20, [0.7128572404682427, 2.6247936032013732, 19.912349156330382]
2334  : 2023-01-20, [0.7326324426276521, 2.682701564297364, 20.084665993074985]
2335  : 2023-01-20, [0.7447098285997541, 2.724440108608236, 20.280850062792013]
2336  : 2023-01-20, [0.7617423174788611, 2.7744798558205335, 20.463777826700603]
2337  : 2023-01-20, [0.7791288741943055, 2.827338035028388, 20.643533090777307]
2338  : 2023-01-20, [0.8043580210450677, 2.898588136399249, 20.797053842555684]
2339  : 2023-01-20, [0.8163769368086365, 2.9378386630406723, 20.995784400150693]
2340  : 2023-02-01, [0.07125153661018346, 1.264495879557116, 8.6642525838327]
2341  : 2023-02-01, [0.06994101491907534, 1.288575068675777, 8.891483916405148]
2342  : 2023-02-01, [0.07152176500621499, 1.3186826327600087, 9.109795602233778]
2343  : 2023-02-01, [0.07001351138530149, 1.3427377556298623, 9.337248732984834]
2344  : 2023-02-01, [0.0699360428380964, 1.369704924818218, 9.560359032343685]
2345  : 2023-02-01, [0.06976833223703538, 1.3961979864373624, 9.784033681325603]
2346  : 2023-02-01, [0.06953823145799091, 1.4227652893002667, 10.00769647924174]
2347  : 2023-02-01, [0.06753938376354798, 1.4457407723433753, 10.236719843893077]
2348  : 2023-02-01, [0.06712312762343738, 1.4719116885598444, 10.460965183816718]
2349  : 2023-02-01, [0.06665367023303063, 1.4995623721236244, 10.683783957643346]
2350  : 2023-02-01, [0.06609958477319258, 1.525698117861026, 10.908202297365781]
2351  : 2023-02-01, [0.06360523687729011, 1.5479680068168893, 11.138426756305819]
2352  : 2023-02-01, [0.06095471203226906, 1.570278906731053, 11.368766381236677]
2353  : 2023-02-01, [0.058164796569572325, 1.5922449775382101, 11.599590225892218]
2354  : 2023-02-01, [0.38686009533003307, 1.3423822940407415, 11.770757610629225]
2355  : 2023-02-01, [0.39160028633383026, 1.3619552697088668, 11.996444443957303]
2356  : 2023-02-01, [0.3965660074158701, 1.3839447297927239, 12.219489262791406]
2357  : 2023-02-01, [0.40090276507809014, 1.401329412576296, 12.447767822345615]
2358  : 2023-02-01, [0.40563299038031125, 1.4222620962087535, 12.672104913410934]
2359  : 2023-02-01, [0.41003043972035075, 1.4411120975195129, 12.898857462760136]
2360  : 2023-02-01, [0.4142622016690816, 1.4594916698513483, 13.12624612847957]
2361  : 2023-02-01, [0.42058830781336976, 1.4845296839606348, 13.344882008225998]
2362  : 2023-02-01, [0.42478423850262087, 1.502434139205753, 13.572781622291625]
2363  : 2023-02-01, [0.4287969416659694, 1.5203541114331083, 13.800848946900922]
2364  : 2023-02-01, [0.4370475835615307, 1.5498360820545394, 14.01311633438393]
2365  : 2023-02-01, [0.44096009524811536, 1.5675672384137422, 14.241472666338142]
2366  : 2023-02-01, [0.44915047901344984, 1.5963051443704164, 14.454544376616134]
2367  : 2023-02-01, [0.4532199002866707, 1.6159547161026597, 14.68082538361067]
2368  : 2023-02-01, [0.4590079243913203, 1.6378092445094348, 14.903182831099244]
2369  : 2023-02-01, [0.4649607931694509, 1.6609001977453883, 15.124139009085164]
2370  : 2023-02-01, [0.4709812881889557, 1.6849060907698457, 15.344112621041202]
2371  : 2023-02-01, [0.481146044117491, 1.7171973831590197, 15.551656572723491]
2372  : 2023-02-01, [0.4849413600828044, 1.7356646185398195, 15.779394021377378]
2373  : 2023-02-01, [0.4908455612148483, 1.7587417848617346, 16.00041265392342]
2374  : 2023-02-01, [0.5064605259233971, 1.810796683980052, 16.18274279009655]
2375  : 2023-02-01, [0.5098367330829048, 1.825322440848906, 16.414840826068186]
2376  : 2023-02-01, [0.5203537968593221, 1.8593336450133846, 16.620312558127292]
2377  : 2023-02-01, [0.5286043889793572, 1.8869959480777105, 16.83439966294293]
2378  : 2023-02-01, [0.5297899291216819, 1.8990116901685834, 17.071198380709735]
2379  : 2023-02-01, [0.543038298037725, 1.9408297460544865, 17.26613195590779]
2380  : 2023-02-01, [0.5535406560871226, 1.9739184870645443, 17.47254085684833]
2381  : 2023-02-01, [0.5620920477669941, 2.0046636626585204, 17.683244289574485]
2382  : 2023-02-01, [0.5706838102078364, 2.0348461643465083, 17.894470025445656]
2383  : 2023-02-01, [0.5839441831884745, 2.074995153335361, 18.091060663476163]
2384  : 2023-02-01, [0.5972687083446937, 2.1159953679038304, 18.286735923751475]
2385  : 2023-02-01, [0.6035267353446037, 2.1410988520275316, 18.505374412627866]
2386  : 2023-02-01, [0.6146083124280997, 2.1766317135942437, 18.708759973977656]
2387  : 2023-02-01, [0.6309164267144335, 2.226108617667858, 18.89297495561771]
2388  : 2023-02-01, [0.6420394569134661, 2.2608888414417896, 19.097071701644744]
2389  : 2023-02-01, [0.6584386133648674, 2.309733887712313, 19.281827498922816]
2390  : 2023-02-01, [0.6723835318819078, 2.3524316458667345, 19.475184822251357]
2391  : 2023-02-01, [0.6865406958372087, 2.3957831869004673, 19.667676117262324]
2392  : 2023-02-01, [0.703098014720716, 2.4440989392385712, 19.852803046040712]
2393  : 2023-02-01, [0.7148463536155727, 2.4821977758690097, 20.05295587051542]
2394  : 2023-02-01, [0.7387474078355896, 2.545934115134044, 20.21531847703037]
2395  : 2023-02-01, [0.7506506151750487, 2.584396037778747, 20.414953347046204]
2396  : 2023-02-01, [0.7700666883637962, 2.6398435366933315, 20.590089774942875]
2397  : 2023-02-01, [0.7871930673427668, 2.690809067793333, 20.7719978648639]
2398  : 2023-02-01, [0.8058340369952002, 2.7441015227179917, 20.95006444028681]
2399  : 2023-02-01, [0.8164206973770082, 2.7817011358039565, 21.151878166819035]
2400  : 2023-02-10, [0.08464853656131974, 1.5120431162358543, 8.403308347202826]
2401  : 2023-02-10, [0.08520495999861236, 1.5530355630431467, 8.611759476958241]
2402  : 2023-02-10, [0.08568298197362169, 1.5942505536641858, 8.820066464362192]
2403  : 2023-02-10, [0.08775067218159685, 1.6394137742156487, 9.022835553602755]
2404  : 2023-02-10, [0.08257343768659366, 1.6523641188116645, 9.265062443501742]
2405  : 2023-02-10, [0.08448413591962949, 1.69673533901923, 9.46878052506114]
2406  : 2023-02-10, [0.06739175446331669, 1.3766510648405383, 10.055957180696145]
2407  : 2023-02-10, [0.0670621998585801, 1.4033115057934336, 10.279626294347986]
2408  : 2023-02-10, [0.06662109318288582, 1.427944594741962, 10.505434312075153]
2409  : 2023-02-10, [0.0643236962063653, 1.4493800982588418, 10.736296205534794]
2410  : 2023-02-10, [0.0618848400215378, 1.4707562818327238, 10.967358878145738]
2411  : 2023-02-10, [0.061158312657621165, 1.4949782901898985, 11.19386339715248]
2412  : 2023-02-10, [0.06034261102803531, 1.5190494752913157, 11.420607913680648]
2413  : 2023-02-10, [0.05756209595994137, 1.541353998046125, 11.651083905993934]
2414  : 2023-02-10, [0.056573865890034, 1.5653520621544066, 11.878074071955558]
2415  : 2023-02-10, [0.05147700278162219, 1.5819401282924963, 12.11658286892588]
2416  : 2023-02-10, [0.04821715878032441, 1.6015731587896396, 12.350209682430036]
2417  : 2023-02-10, [0.04274707870238908, 1.6176577736684228, 12.58959514762919]
2418  : 2023-02-10, [0.041323537521162454, 1.6409232852807605, 12.817753177198076]
2419  : 2023-02-10, [0.03773382202259094, 1.6599954489303073, 13.052270729047102]
2420  : 2023-02-10, [0.41908314346496284, 1.4079445337112038, 13.172972322823831]
2421  : 2023-02-10, [0.4252470525111306, 1.4297382013883766, 13.395014746100493]
2422  : 2023-02-10, [0.4335691954087972, 1.4583633789123303, 13.608067425678875]
2423  : 2023-02-10, [0.44167770066478346, 1.485174208704339, 13.823148090630877]
2424  : 2023-02-10, [0.4477329289254597, 1.5066673205057854, 14.045599750568757]
2425  : 2023-02-10, [0.45595768701260786, 1.5344411642185973, 14.259601148768795]
2426  : 2023-02-10, [0.46199637503832747, 1.5553445160797599, 14.482659108881913]
2427  : 2023-02-10, [0.4702565989960098, 1.5832509472101806, 14.696492453793807]
2428  : 2023-02-10, [0.48279021860066124, 1.6227759619684252, 14.894433819430912]
2429  : 2023-02-10, [0.4908870665172592, 1.64830305933162, 15.11080987415112]
2430  : 2023-02-10, [0.5013081944762626, 1.6805103357264268, 15.31818146979731]
2431  : 2023-02-10, [0.511691714831963, 1.7131510247054595, 15.525157260462578]
2432  : 2023-02-10, [0.5245779343068747, 1.7530482187855227, 15.722373846907603]
2433  : 2023-02-10, [0.5370532906362387, 1.7896363147412746, 15.923310394622485]
2434  : 2023-02-10, [0.5500320699132917, 1.8290797885781358, 16.12088814150857]
2435  : 2023-02-10, [0.5626748118780048, 1.8660658898663804, 16.321259298255615]
2436  : 2023-02-10, [0.5822830053037132, 1.9217125260379193, 16.496004468658366]
2437  : 2023-02-10, [0.5932570648080528, 1.9559410867431137, 16.700801848448833]
2438  : 2023-02-10, [0.6103289987711602, 2.0027182419782354, 16.886952759250605]
2439  : 2023-02-10, [0.6279607176083821, 2.053202325771118, 17.0688369566205]
2440  : 2023-02-10, [0.645671034905925, 2.1032447100812526, 17.25108425501282]
2441  : 2023-02-10, [0.6631731738109593, 2.152669476673056, 17.43415734951598]
2442  : 2023-02-10, [0.6456519878491886, 2.1140198169505706, 17.740328195200238]
2443  : 2023-02-10, [0.6613707136286134, 2.159594963924039, 17.929034322447347]
2444  : 2023-02-10, [0.6770579186837785, 2.204368631479711, 18.11857344983651]
2445  : 2023-02-10, [0.6907548202619228, 2.245640274882264, 18.31360490485581]
2446  : 2023-02-10, [0.7107420614858972, 2.3014192346194373, 18.487838703894667]
2447  : 2023-02-10, [0.7264191191045576, 2.3544056871040673, 18.66917519379137]
2448  : 2023-02-10, [0.054252932866431874, 2.488416659592228, 19.457330407541342]
2449  : 2023-02-10, [0.07335723548831029, 2.5443937720388514, 19.63224899247284]
2450  : 2023-02-10, [0.08669123997101047, 2.594056694782178, 19.81925206524681]
2451  : 2023-02-10, [0.6998390735732603, 2.287340308575453, 19.762820617851286]
2452  : 2023-02-10, [0.7184081712441511, 2.338463414025406, 19.94312841473044]
2453  : 2023-02-10, [0.7396161937074007, 2.397270332481563, 20.113113473811037]
2454  : 2023-02-10, [0.7652970832851814, 2.4680819652814296, 20.26662095143339]
2455  : 2023-02-10, [0.7787123829185206, 2.522626470095255, 20.448661146986222]
2456  : 2023-02-10, [0.05496891143840108, 2.6537408902503135, 21.291290198311287]
2457  : 2023-02-10, [0.09188474907488414, 2.738804116088227, 21.419311134836885]
2458  : 2023-02-10, [0.1127788237567497, 2.80086048741524, 21.58636068882801]
2459  : 2023-02-10, [0.10086357724299887, 0.932847862669157, 23.716288560087847]
2460  : 2023-02-20, [0.0822651933574739, 1.4681564129461073, 8.44957839369642]
2461  : 2023-02-20, [0.08273398872474633, 1.5076641426776938, 8.65960186859756]
2462  : 2023-02-20, [0.08313745484445881, 1.5476327984914846, 8.869229746664058]
2463  : 2023-02-20, [0.08518159087380954, 1.592359938209643, 9.07245847091655]
2464  : 2023-02-20, [0.08543346373590213, 1.6317608952767357, 9.282805640987362]
2465  : 2023-02-20, [0.08743980581134889, 1.677114341356689, 9.485445852831962]
2466  : 2023-02-20, [0.08577538119743995, 1.713547294832517, 9.700677323970044]
2467  : 2023-02-20, [0.0858140402287199, 1.7545548952562307, 9.90963106451505]
2468  : 2023-02-20, [0.08576615474946492, 1.7961476807350107, 10.118086164515523]
2469  : 2023-02-20, [0.08567233816444257, 1.8387480393450346, 10.32557962249052]
2470  : 2023-02-20, [0.08547344469539352, 1.8811231462085687, 10.533403409096039]
2471  : 2023-02-20, [0.08519234738509429, 1.923763432551007, 10.7410442200639]
2472  : 2023-02-20, [0.08271850588014384, 1.961904477520398, 10.955377016599458]
2473  : 2023-02-20, [0.062325310505392584, 1.51229128049264, 11.675383409001968]
2474  : 2023-02-20, [0.07229168000443768, 1.989788915061369, 11.437919404934194]
2475  : 2023-02-20, [0.04806644535724887, 1.5165932838717144, 12.185340270771038]
2476  : 2023-02-20, [0.04475857954164384, 1.534954433699019, 12.420286986759338]
2477  : 2023-02-20, [0.04132610149968574, 1.5526489410417366, 12.656024957458579]
2478  : 2023-02-20, [0.03991648035895369, 1.5763083739678554, 12.883775145673189]
2479  : 2023-02-20, [0.03639292026001406, 1.5944918060915554, 13.119115273648429]
2480  : 2023-02-20, [0.41596415943996073, 1.3309528446435692, 13.253082995916472]
2481  : 2023-02-20, [0.4220010452895945, 1.3508054289406974, 13.477193525769708]
2482  : 2023-02-20, [0.4300352173499906, 1.3759032788652754, 13.694061503784733]
2483  : 2023-02-20, [0.43621417449342326, 1.3973272870392592, 13.916458538467317]
2484  : 2023-02-20, [0.4440978655504814, 1.4219364460972708, 14.133965688352248]
2485  : 2023-02-20, [0.4502761805990743, 1.4428499197707543, 14.35687389963017]
2486  : 2023-02-20, [0.4581872918695713, 1.4675250849433215, 14.574287623187107]
2487  : 2023-02-20, [0.4728026287950385, 1.5129616978469214, 14.76423567335804]
2488  : 2023-02-20, [0.4807588086762373, 1.536576402198689, 14.982664789125073]
2489  : 2023-02-20, [0.48900995377364276, 1.5622875313157396, 15.19870251491062]
2490  : 2023-02-20, [0.5013123203551589, 1.5978131341648507, 15.40087454547999]
2491  : 2023-02-20, [0.509559461262458, 1.6234549069220747, 15.616985631815469]
2492  : 2023-02-20, [0.5198769215346188, 1.6538078402065624, 15.82631523825882]
2493  : 2023-02-20, [0.5346495014623333, 1.6964016167363727, 16.018948881801293]
