Itinerary: ['earth', 'venus', 'JUPITER_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
8640  : 2026-01-01, [0.14487752015991248, 1.0772113247771329, 8.7779111550629541]
8641  : 2026-01-01, [0.14439131174727299, 1.0968771896813774, 9.0087314985713487]
8642  : 2026-01-01, [0.14577332161894344, 1.1223625773658052, 9.2318641010152529]
8643  : 2026-01-01, [0.14489578913480919, 1.1417198343046469, 9.4633843765605441]
8644  : 2026-01-01, [0.14168403507230645, 1.1557638498087153, 9.7025521151189782]
8645  : 2026-01-01, [0.13802105180360191, 1.1672893546779168, 9.9446895935184809]
8646  : 2026-01-01, [0.13408727280924801, 1.1797131337913711, 10.186199593399381]
8647  : 2026-01-01, [0.13220274977214586, 1.1975685260269273, 10.420228724200927]
8648  : 2026-01-01, [0.12764410102196283, 1.2094753922925978, 10.66288050668544]
8649  : 2026-01-01, [0.12015897655513962, 1.2141017770519422, 10.915739246392917]
8650  : 2026-01-01, [0.10175743913749496, 1.1958501272828879, 11.202392433579616]
8651  : 2026-01-01, [0.095522712469802665, 1.2025119941074951, 11.451965293422703]
8652  : 2026-01-01, [0.091726919210533525, 1.2156045110628224, 11.692668569726644]
8653  : 2026-01-01, [0.084857482705286202, 1.2229655568025766, 11.942176960492136]
8654  : 2026-01-01, [0.086390253861612448, 1.2496273579157096, 12.163982388222678]
8655  : 2026-01-01, [0.078891847918178187, 1.254455564273365, 12.416652587808459]
8656  : 2026-01-01, [0.071053995073034129, 1.2608048906272251, 12.66814111429974]
8657  : 2026-01-01, [0.072266937141613821, 1.2871398372112981, 12.890593225647088]
8658  : 2026-01-01, [0.067024061234586069, 1.2980467693366973, 13.134929169428718]
8659  : 2026-01-01, [0.064835421580397706, 1.3161523573474634, 13.36901222107214]
8660  : 2026-01-01, [0.055865088757620293, 1.3208880924200994, 13.623246818822279]
8661  : 2026-01-01, [0.06016809543663431, 1.3556251877575298, 13.834206716805836]
8662  : 2026-01-01, [0.044502380912765697, 1.3392299493257016, 14.116267669761534]
8663  : 2026-01-01, [0.82242745885388036, 1.2892433088124871, 13.638329232333634]
8664  : 2026-01-01, [0.045902971063261785, 1.3941235631277344, 14.559973465809003]
8665  : 2026-01-01, [0.84752700251693169, 1.3336519313729061, 14.068821066110162]
8666  : 2026-01-01, [0.85600991171767471, 1.3400925581416501, 14.303897530140677]
8667  : 2026-01-01, [0.86918187563800697, 1.3686905650361458, 14.512127559325847]
8668  : 2026-01-01, [0.8748749564890459, 1.3665947428884939, 14.758530300622459]
8669  : 2026-01-01, [0.88716240622803488, 1.3912526043422502, 14.971584989429715]
8670  : 2026-01-01, [0.8958691672139476, 1.401685607098081, 15.202445225687971]
8671  : 2026-01-01, [0.90563157553247342, 1.4163489848196673, 15.428019439647857]
8672  : 2026-01-01, [0.31396068735648286, 2.2480514900636033, 15.437987822579913]
8673  : 2026-01-01, [0.33122090344193772, 2.3079877525860413, 15.61079134397202]
8674  : 2026-01-01, [0.37088337569224272, 2.4244833479033514, 15.704633276404405]
8675  : 2026-01-01, [0.92513927862247802, 1.3844697851690964, 16.440390936208424]
8676  : 2026-01-01, [0.93287142637439602, 1.3878715058035065, 16.679257067822096]
8677  : 2026-01-01, [0.93936569213123577, 1.3868091620470393, 16.923825145821723]
8678  : 2026-01-01, [0.95620262024143121, 1.4260831854026663, 17.117714194355901]
8679  : 2026-01-01, [0.96027832584004968, 1.415832861102321, 17.373888813057629]
8680  : 2026-01-01, [0.98687891242037662, 1.4913397709736205, 17.521781316606003]
8681  : 2026-01-01, [0.99254760925819563, 1.4875444823103339, 17.769907908431467]
8682  : 2026-01-01, [1.0039759682345404, 1.5054367292325039, 17.990587302532955]
8683  : 2026-01-01, [0.93956121172179285, 1.2282036951979736, 18.582235093080232]
8684  : 2026-01-01, [0.94075021270981884, 1.2061928857130033, 18.85305690157718]
8685  : 2026-01-01, [0.94005694162332998, 1.1774063917486433, 19.132536666628027]
8686  : 2026-01-01, [0.6286122740822091, 4.810692093224838, 16.060695632692955]
8687  : 2026-01-01, [0.63622282409968711, 4.8759565811870624, 16.237820594713249]
8688  : 2026-01-01, [0.65574347282964129, 4.9616673559709383, 16.382589171199417]
8689  : 2026-01-01, [0.66803252138329161, 5.0409096010761987, 16.541057877540513]
