Itinerary: ['earth', 'venus', 'JUPITER_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
15120 : 2029-01-01, [0.096874517271149083, 2.3068431571543231, 7.5962823255745278]
15121 : 2029-01-01, [0.057046959488715993, 2.3359817113000512, 7.8569713292112331]
15122 : 2029-01-01, [0.1784548107710939, 2.6130417723131654, 7.7085034169157396]
15123 : 2029-01-01, [0.19781587126496886, 2.7417124417438314, 7.8104716869911979]
15124 : 2029-01-01, [0.22146387334947032, 2.8838092473619517, 7.8947268792885783]
15125 : 2029-01-01, [0.25248170817109727, 3.0382638298496243, 7.9592544619792767]
15126 : 2029-01-01, [0.30373326403766199, 3.2260853063363193, 7.9701814296260203]
15127 : 2029-01-01, [0.36523580432609049, 3.4387625045027335, 7.9460016911711762]
15128 : 2029-01-01, [0.61441023720575372, 1.0037676985231379, 10.381822064271107]
15129 : 2029-01-01, [1.0181663532919472, 2.6092496133869956, 8.6225840333210577]
15130 : 2029-01-01, [0.99909749546170523, 2.4937747704568252, 9.0071277340814717]
15131 : 2029-01-01, [1.04879474756628, 2.6731689891309696, 9.0280362633027504]
15132 : 2029-01-01, [1.0577119856760979, 2.686768102870098, 9.2555199114538027]
15133 : 2029-01-01, [1.0661620191372103, 2.6976622732951321, 9.4861757075676589]
15134 : 2029-01-01, [1.0817340016190893, 2.7339048259589052, 9.6843611724220064]
15135 : 2029-01-01, [1.1001934347545732, 2.7814025526845558, 9.8684040125608696]
15136 : 2029-01-01, [1.0990366205102502, 2.7595881276240513, 10.141375251865702]
15137 : 2029-01-01, [1.1087195852697262, 2.7760941099904173, 10.365186304739858]
15138 : 2029-01-01, [1.1130373712696613, 2.7734977473095501, 10.613464881420787]
15139 : 2029-01-01, [1.1236215400508662, 2.7933648976113581, 10.833013562337774]
15140 : 2029-01-01, [1.1267190332017187, 2.7867318014234712, 11.08654916537481]
15141 : 2029-01-01, [1.1358914522176402, 2.8024681879864071, 11.311640359795954]
15142 : 2029-01-01, [1.1403730582890492, 2.8011650284184761, 11.558461913292476]
15143 : 2029-01-01, [1.1437629658553936, 2.7958930929454962, 11.810343941199111]
15144 : 2029-01-01, [1.1482803809584217, 2.7939056909948068, 12.057813928046773]
15145 : 2029-01-01, [1.1511896468185425, 2.7893829843309148, 12.309427368850541]
15146 : 2029-01-01, [1.1516571516423664, 2.7763738454339735, 12.571969002923661]
15147 : 2029-01-01, [1.1524171224668354, 2.7635706425303268, 12.834012235002838]
15148 : 2029-01-01, [1.1496273759242288, 2.7382534244921222, 13.112119199583647]
15149 : 2029-01-01, [1.1409129762239922, 2.6983317225095926, 13.410755301266414]
15150 : 2029-01-01, [1.1172746354244816, 2.6127658324547518, 13.769959532120767]
15151 : 2029-01-01, [1.0791964076020735, 2.4903142189510366, 14.180489373446891]
15152 : 2029-01-01, [1.0775476655084382, 2.4627134903680017, 14.45973884412356]
15153 : 2029-01-01, [1.072805007431233, 2.4296419921675403, 14.747553000401226]
15154 : 2029-01-01, [1.0626798165213738, 2.3986240462476109, 15.038696137231014]
15155 : 2029-01-01, [1.0481725537452093, 2.336295293372364, 15.365532152882427]
15156 : 2029-01-01, [1.0570848800629806, 2.3468400469257751, 15.596075073011244]
15157 : 2029-01-01, [1.0380357459756719, 2.2792582363559402, 15.932706017668389]
15158 : 2029-01-01, [1.023020435818621, 2.2211093148876508, 16.255870249293729]
15159 : 2029-01-01, [0.99984704196158525, 2.1435063809595576, 16.606646577078859]
15160 : 2029-01-01, [0.13259211233233351, 2.7963833840238852, 17.07102450364378]
15161 : 2029-01-01, [0.11924708869286374, 2.8040867756061165, 17.326666135701018]
15162 : 2029-01-01, [0.095046019953386573, 2.7891955729029601, 17.615758407143655]
15163 : 2029-01-01, [1.2227067726160687, 2.5859184414880461, 16.941374785895885]
15164 : 2029-01-01, [1.2156783701955678, 2.5330717667620539, 17.251249863042379]
15165 : 2029-01-01, [1.2019736515776482, 2.4573320808421717, 17.590694267580179]
