Itinerary: ['earth', 'venus', 'JUPITER_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
6480  : 2025-01-01, [0.30027206509378801, 1.4817815362332478, 8.2179463986729626]
6481  : 2025-01-01, [0.30579849823809097, 1.5168731886351974, 8.4273283131267096]
6482  : 2025-01-01, [0.31120290485993596, 1.5517212414119685, 8.6370758537280956]
6483  : 2025-01-01, [0.31307425136015504, 1.5773667353360674, 8.8595590133037767]
6484  : 2025-01-01, [0.31809042620196792, 1.6111778751161967, 9.0707316986818345]
6485  : 2025-01-01, [0.32299278003474841, 1.6443078995340306, 9.2826993204312203]
6486  : 2025-01-01, [0.33376735937968638, 1.7413535452233941, 9.4248790953969195]
6487  : 2025-01-01, [0.33852550862654551, 1.776038088209464, 9.6354364031639914]
6488  : 2025-01-01, [0.34322829571386576, 1.8108210558269522, 9.8459506484591799]
6489  : 2025-01-01, [0.34786533008179138, 1.8451304586060058, 10.057004211312204]
6490  : 2025-01-01, [0.35455022631562627, 1.8853421824009287, 10.260107591283443]
6491  : 2025-01-01, [0.36126898194256929, 1.9269776479358278, 10.461753370121604]
6492  : 2025-01-01, [0.37886787060016575, 1.996240132338946, 10.624891997060887]
6493  : 2025-01-01, [0.38793099271374448, 2.042931462420452, 10.819137544865802]
6494  : 2025-01-01, [0.39256194757498158, 2.0785612960614421, 11.028876756363577]
6495  : 2025-01-01, [0.40399614253792726, 2.1321778822147106, 11.213825975247362]
6496  : 2025-01-01, [0.41088772436469329, 2.174368743023019, 11.414743532612288]
6497  : 2025-01-01, [0.42482331187398453, 2.2344908973607218, 11.590685790765294]
6498  : 2025-01-01, [0.43417440130700707, 2.2819530840576805, 11.783872514635313]
6499  : 2025-01-01, [0.44601538402275476, 2.3370727136900586, 11.966911902287187]
6500  : 2025-01-01, [0.45798684619138663, 2.3926848936577718, 12.14932826015084]
6501  : 2025-01-01, [0.47013100262877783, 2.449636094204525, 12.330232903166698]
6502  : 2025-01-01, [0.48731257011642354, 2.5185998893756989, 12.494087540507879]
6503  : 2025-01-01, [0.50737756749161655, 2.5927578052847018, 12.649864627223682]
6504  : 2025-01-01, [0.50187712114693128, 2.6030057678376393, 12.895117111015429]
6505  : 2025-01-01, [0.51434052118337981, 2.6557644115005523, 13.079895067316066]
6506  : 2025-01-01, [0.53227571904992266, 2.7279648428143375, 13.23975943813574]
6507  : 2025-01-01, [0.56138594132863939, 2.827437046759941, 13.361177011911421]
6508  : 2025-01-01, [0.55295489721253477, 2.7528300735275129, 13.694215029259954]
6509  : 2025-01-01, [0.57836408305680065, 2.842896751292685, 13.828739165650518]
6510  : 2025-01-01, [0.60630068363168188, 2.9363056183562031, 13.957393698012115]
6511  : 2025-01-01, [0.64219016749375735, 3.0289280223361037, 14.078881810170136]
6512  : 2025-01-01, [0.13024399962368974, 1.8778807181659987, 15.991875282210312]
6513  : 2025-01-01, [0.15549526640991682, 1.9651549040844414, 16.129349829505642]
6514  : 2025-01-01, [0.17315544280522355, 2.0357150510101008, 16.291129506184674]
6515  : 2025-01-01, [0.20235628706069297, 2.1297082912762364, 16.417935421663071]
6516  : 2025-01-01, [0.6334626516837828, 2.9008375863446636, 15.465699761971555]
6517  : 2025-01-01, [0.080520748004265702, 1.9849994704510296, 17.184479781544706]
6518  : 2025-01-01, [0.09058620211686666, 2.0436228560737333, 17.365790941809397]
6519  : 2025-01-01, [0.087192670351298684, 2.0659420193800475, 17.596865310268655]
6520  : 2025-01-01, [0.10204009518582004, 2.1318829853836232, 17.766076919430557]
6521  : 2025-01-01, [0.062482156796420579, 2.1200936913272939, 18.067424151876285]
6522  : 2025-01-01, [0.077038169691919983, 2.1880992891629321, 18.234862541145148]
6523  : 2025-01-01, [0.11169941360719332, 2.304229049156246, 18.334071537236561]
6524  : 2025-01-01, [0.12266315654070763, 2.3631977217859133, 18.514139121673381]
6525  : 2025-01-01, [0.18087430855223097, 2.5296502655168451, 18.539475425930924]
6526  : 2025-01-01, [0.22312731886350662, 2.4076741564208142, 18.869198524715678]
6527  : 2025-01-01, [0.88414575342177237, 0.7534270882121169, 20.112427158366113]
6528  : 2025-01-01, [0.081834110066134738, 0.93169598619711169, 20.986469903736751]
6529  : 2025-01-01, [0.59911834893297888, 2.9378852964725577, 18.712996354594463]
6530  : 2025-01-01, [0.54944368617262007, 2.8779671032554792, 19.072589210571902]
6531  : 2025-01-01, [0.48266599425465717, 2.7623345582250161, 19.504999447520326]
6532  : 2025-01-01, [0.43033793938267895, 2.6629472086376826, 19.90671485197964]
6533  : 2025-01-01, [0.068440180768649606, 1.1546314884393651, 22.026928330791986]
6534  : 2025-01-01, [0.94186029419772432, 0.97734199647706743, 21.580797709325211]
6535  : 2025-01-01, [0.94649874194127193, 0.97422446485740677, 21.82927679320132]
6536  : 2025-01-01, [0.79625972071603623, 3.9867182046733052, 19.217022074610657]
6537  : 2025-01-01, [0.82652504645053626, 4.2236557355135851, 19.199819218035877]
6538  : 2025-01-01, [0.81155127759062451, 4.2061329103287743, 19.4823158120806]
6539  : 2025-01-01, [0.77375538184359971, 4.1303666870461324, 19.84587793111027]
6540  : 2025-01-10, [0.2989278211334595, 1.434272345208045, 8.2667998336584958]
6541  : 2025-01-10, [0.30285522449022106, 1.4639626155080525, 8.4831821600017268]
6542  : 2025-01-10, [0.30811556750113545, 1.4963136090163418, 8.6955708234825249]
6543  : 2025-01-10, [0.31334138164191022, 1.5292555641876049, 8.9074030541704854]
6544  : 2025-01-10, [0.31844259537936992, 1.5619215999176717, 9.1196358047029591]
