Itinerary: ['earth', 'earth', 'JUPITER_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
0     : 2022-01-01, [1.6033555894101786e-09, 1.1575744802165369, 8.842425518180107]
1     : 2022-01-01, [1.643149599749008e-09, 1.1900588087956485, 9.059941189561203]
2     : 2022-01-01, [1.6828960275098319e-09, 1.2227093391919082, 9.277290659125196]
3     : 2022-01-01, [1.7226803733089513e-09, 1.2555894030703494, 9.49441059520697]
4     : 2022-01-01, [1.7624627016217008e-09, 1.2886714144697178, 9.71132858376782]
5     : 2022-01-01, [1.8022431648977637e-09, 1.3219568213413249, 9.928043176856432]
6     : 2022-01-01, [1.8420215082321625e-09, 1.3554467520588962, 10.14455324609908]
7     : 2022-01-01, [1.8820900551321107e-09, 1.389728183712212, 10.360271814405698]
8     : 2022-01-01, [1.9218750619364434e-09, 1.423649413138502, 10.576350584939624]
9     : 2022-01-01, [1.9620127011e-09, 1.4584321549074615, 10.791567843130524]
10    : 2022-01-01, [2.0018053503746867e-09, 1.492791038685104, 11.00720895931309]
11    : 2022-01-01, [2.0419155624034965e-09, 1.5280093372076948, 11.22199066075039]
12    : 2022-01-01, [2.0820924102328815e-09, 1.5635131438325578, 11.436486854085349]
13    : 2022-01-01, [2.1222840578314324e-09, 1.5992653254698166, 11.650734672407902]
14    : 2022-01-01, [2.162491611442596e-09, 1.635268205546455, 11.864731792291055]
15    : 2022-01-01, [2.2030569833707736e-09, 1.672233025657799, 12.077766972139147]
16    : 2022-01-01, [2.2433032255742103e-09, 1.7087582103089274, 12.291241787447769]
17    : 2022-01-01, [2.2839740655362787e-09, 1.7463223179819531, 12.503677679734073]
18    : 2022-01-01, [2.3242580887574204e-09, 1.7833753268855914, 12.716624670790152]
19    : 2022-01-01, [2.364981842045147e-09, 1.8215054629559102, 12.928494534679107]
20    : 2022-01-01, [2.405675005878822e-09, 1.859882958924706, 13.140117038669617]
21    : 2022-01-01, [2.446454787560427e-09, 1.8985998909085477, 13.351400106644999]
22    : 2022-01-01, [2.4877088812420587e-09, 1.9384863270406398, 13.561513670471651]
23    : 2022-01-01, [2.5285531449487625e-09, 1.9778156308927755, 13.77218436657867]
24    : 2022-01-01, [2.569821498209583e-09, 2.0183034440877585, 13.98169655334242]
25    : 2022-01-01, [2.6111942561033915e-09, 2.0591772281743266, 14.190822769214478]
26    : 2022-01-01, [2.6525445780631386e-09, 2.1003388985137477, 14.399661098833706]
27    : 2022-01-01, [2.6940650262251484e-09, 2.141942591765581, 14.608057405540352]
28    : 2022-01-01, [2.735983757013255e-09, 2.1847682015056407, 14.815231795758375]
29    : 2022-01-01, [2.7775304769619344e-09, 2.227025068241335, 15.022974928981133]
30    : 2022-01-01, [2.819619700320728e-09, 2.270648609536934, 15.229351387643446]
31    : 2022-01-01, [2.8616950717690055e-09, 2.3146006825455285, 15.435399314592775]
32    : 2022-01-01, [2.9038965923282878e-09, 2.3589958200804233, 15.641004177015681]
33    : 2022-01-01, [2.9466770587380546e-09, 2.404860647343109, 15.845139349710214]
34    : 2022-01-01, [2.98945504323871e-09, 2.451095208426162, 16.048904788584384]
35    : 2022-01-01, [3.0319107771355644e-09, 2.496757134387308, 16.25324286258078]
36    : 2022-01-01, [3.0753687481628367e-09, 2.5449784153748323, 16.4550215815498]
37    : 2022-01-01, [3.118432434375212e-09, 2.592571197304776, 16.657428799576792]
38    : 2022-01-01, [3.162125367737251e-09, 2.64178319175802, 16.858216805079856]
39    : 2022-01-01, [3.20583067065593e-09, 2.691412319587242, 17.058587677206926]
40    : 2022-01-01, [3.2496982856798566e-09, 2.7415852989944294, 17.25841469775587]
41    : 2022-01-01, [3.294232525849561e-09, 2.7934872144798444, 17.45651278222592]
42    : 2022-01-01, [3.3388692747953765e-09, 2.8459156562640575, 17.654084340397073]
43    : 2022-01-01, [3.383530792904421e-09, 2.8988047658981233, 17.851195230718343]
44    : 2022-01-01, [3.4289762437232533e-09, 2.9536020705171517, 18.04639792605387]
45    : 2022-01-01, [3.474539552220624e-09, 3.0089718930134275, 18.241028103512036]
46    : 2022-01-01, [3.5202235595046175e-09, 3.0649170216240527, 18.435082974855725]
47    : 2022-01-01, [3.5666521852393927e-09, 3.122817027877205, 18.627182968556145]
48    : 2022-01-01, [3.6137609989130955e-09, 3.1826632809133377, 18.8173367154729]
49    : 2022-01-01, [3.660382121406882e-09, 3.241749457363894, 19.008250538975723]
50    : 2022-01-01, [3.707869220128019e-09, 3.302977309950624, 19.197022686341505]
51    : 2022-01-01, [3.755594673064267e-09, 3.364948517496486, 19.38505147874792]
52    : 2022-01-01, [3.803957519439136e-09, 3.4289211222950513, 19.571078873900994]
53    : 2022-01-01, [3.853243695468907e-09, 3.495199071567002, 19.75480092457975]
54    : 2022-01-01, [3.902622087304071e-09, 3.562148832766648, 19.93785116333073]
55    : 2022-01-01, [3.9523601974047476e-09, 3.630011693179021, 20.11998830286862]
56    : 2022-01-01, [4.002788691754051e-09, 3.7000415873523633, 20.299958408644848]
57    : 2022-01-01, [4.645682100365797e-09, 0.7785183958970677, 23.47148159945725]
58    : 2022-01-01, [3.742135883083883e-09, 3.0407723184905215, 21.459227677767345]
59    : 2022-01-01, [3.78000803064203e-09, 3.080764982733528, 21.669235013486464]
60    : 2022-01-10, [9.281471600159524e-10, 1.1301904877107243, 8.869809511361128]
61    : 2022-01-10, [9.510115620885681e-10, 1.1614783142678486, 9.08852168478114]
62    : 2022-01-10, [9.740405711591955e-10, 1.1934721173265985, 9.30652788169936]
