Itinerary: ['earth', 'earth', 'JUPITER_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
2251  : 2023-01-10, [0.11778355032274548, 2.351518823772694, 15.280697625904562]
2252  : 2023-01-10, [0.13243635219533081, 2.3457869609991335, 15.521776686805534]
2253  : 2023-01-10, [0.1473870951741936, 2.336821191259129, 15.765791713566678]
2254  : 2023-01-10, [0.16265629582503052, 2.3275128974599575, 16.009830806715012]
2255  : 2023-01-10, [0.18043638046520782, 2.3070020726235074, 16.262561546911286]
2256  : 2023-01-10, [0.19863912622673277, 2.2870035961622395, 16.514357277611026]
2257  : 2023-01-10, [0.2171644192788176, 2.2654072501112528, 16.76742833060993]
2258  : 2023-01-10, [0.23823926675825, 2.2324668770587373, 17.029293856183013]
2259  : 2023-01-10, [0.2596865598549369, 2.1986889600510255, 17.29162448009404]
2260  : 2023-01-10, [0.28359786438710916, 2.149663697745789, 17.5667384378671]
2261  : 2023-01-10, [0.30794587793362227, 2.102210591848253, 17.839843530218126]
2262  : 2023-01-10, [0.3324800097303442, 2.0511506409569615, 18.116369349312695]
2263  : 2023-01-10, [0.3596137615483613, 1.9898362264930813, 18.400550011958558]
2264  : 2023-01-10, [0.38678140275242046, 1.9220940381384637, 18.691124559109117]
2265  : 2023-01-10, [0.41429133459798884, 1.8558587993928162, 18.979849866009193]
2266  : 2023-01-10, [0.4465874450370803, 1.7685265524435687, 19.284886002519354]
2267  : 2023-01-10, [0.4765341381551866, 1.686086580842376, 19.587379281002438]
2268  : 2023-01-10, [0.5110894464254485, 1.5801204270867075, 19.908790126487844]
2269  : 2023-01-10, [0.6301750727754931, 1.1333929681057398, 20.486431959118768]
2270  : 2023-01-10, [0.6737009218031638, 0.9814094810519803, 20.844889597144856]
2271  : 2023-01-10, [0.0023521714133187565, 2.5785575380850236, 20.169090290501654]
2272  : 2023-01-10, [0.8741649079662825, 0.9865141965916652, 21.139320895442054]
2273  : 2023-01-10, [0.035945074891355185, 0.8193479552726834, 22.394706969835966]
2274  : 2023-01-10, [0.05984599678697005, 3.7944771243545894, 19.645676878858442]
2275  : 2023-01-10, [0.11829131231339061, 4.177316231882592, 19.454392455804015]
2276  : 2023-01-10, [0.0371852157862098, 0.8903888681065356, 23.072425916107257]
2277  : 2023-01-10, [0.020551744294991625, 0.9925728856436907, 23.236875370061316]
2278  : 2023-01-10, [1.230192315568344, 1.651319790588426, 21.61848789384323]
2279  : 2023-01-10, [0.3189007677608133, 3.6617493438611484, 20.769349888378038]
2280  : 2023-01-20, [0.40531992893778207, 1.290248461606527, 8.30443160945569]
2281  : 2023-01-20, [0.41552468255623765, 1.3280033753445992, 8.506471942099163]
2282  : 2023-01-20, [0.42573433367818103, 1.366051182211759, 8.708214484110059]
2283  : 2023-01-20, [0.0012916235642750212, 1.4601575812945833, 9.288550795141143]
2284  : 2023-01-20, [0.0013219145616316604, 1.5003566638148236, 9.498321421623544]
2285  : 2023-01-20, [0.0013519754544270585, 1.5401484460456114, 9.708499578499962]
2286  : 2023-01-20, [0.002765365206897238, 1.577098771503834, 9.920135863289268]
2287  : 2023-01-20, [0.004240173579055848, 1.6146289586792655, 10.13113086774168]
2288  : 2023-01-20, [0.004331282651111883, 1.6558986950238592, 10.33977002232503]
2289  : 2023-01-20, [0.0044226136343684715, 1.697067125369254, 10.548510260996377]
2290  : 2023-01-20, [0.006020016603089002, 1.7347601973700173, 10.759219786026895]
2291  : 2023-01-20, [0.007676440461632946, 1.7714711144528226, 10.970852445085544]
2292  : 2023-01-20, [0.009396763109771092, 1.8094275873146684, 11.18117564957556]
2293  : 2023-01-20, [0.009578217915246275, 1.85066776572553, 11.389754016359223]
2294  : 2023-01-20, [0.013018770538357528, 1.8840622535642415, 11.602918975897401]
2295  : 2023-01-20, [0.014920007043322617, 1.9202030282482094, 11.814876964708468]
2296  : 2023-01-20, [0.01688772197870777, 1.9587033249195756, 12.024408953101716]
2297  : 2023-01-20, [0.01891101905180314, 1.9954891278257372, 12.23559985312246]
2298  : 2023-01-20, [0.024502881467547182, 2.022193510323891, 12.453303608208563]
2299  : 2023-01-20, [0.026711316820175888, 2.05844407268255, 12.664844610497275]
2300  : 2023-01-20, [0.03079402756164699, 2.089808069968312, 12.879397902470043]
2301  : 2023-01-20, [0.03684245666584754, 2.113472955503438, 13.099684587830714]
2302  : 2023-01-20, [0.04119790800143406, 2.142952601186281, 13.315849490812285]
2303  : 2023-01-20, [0.04567678263310867, 2.1716743848215447, 13.532648832545346]
2304  : 2023-01-20, [0.0522170639349769, 2.1950085188584345, 13.75277441720659]
2305  : 2023-01-20, [0.06090620026728508, 2.209318049833859, 13.979775749898854]
2306  : 2023-01-20, [0.06784147963633581, 2.231847464118786, 14.200311056244878]
2307  : 2023-01-20, [0.07493585213711948, 2.250742787352647, 14.424321360510234]
2308  : 2023-01-20, [0.08629208547253746, 2.2547593196197506, 14.65894859490771]
2309  : 2023-01-20, [0.09588375310355694, 2.266414866677573, 14.88770138021887]
2310  : 2023-01-20, [0.10569622478714454, 2.275732426780954, 15.118571348431901]
2311  : 2023-01-20, [0.11788955169653259, 2.2787223227398505, 15.353388125563617]
2312  : 2023-01-20, [0.13248435984949308, 2.269901579392492, 15.597614060758016]
2313  : 2023-01-20, [0.14516385932968587, 2.2661340928239, 15.838702047846413]
2314  : 2023-01-20, [0.1626140996042889, 2.248694923636947, 16.088690976758766]
2315  : 2023-01-20, [0.17811365280081287, 2.2365855146143137, 16.335300832584874]
2316  : 2023-01-20, [0.19613024873379453, 2.2131307464366934, 16.590739004829512]
2317  : 2023-01-20, [0.21451598442041703, 2.18974434205622, 16.84573967352336]
2318  : 2023-01-20, [0.23547711764976237, 2.156577503157708, 17.10794537919253]
2319  : 2023-01-20, [0.2543722857163947, 2.1268636542519035, 17.368764060031705]
2320  : 2023-01-20, [0.27821337103551375, 2.0803148260295723, 17.641471802934912]
2321  : 2023-01-20, [0.29994210168602004, 2.039620789577279, 17.9104371087367]
2322  : 2023-01-20, [0.3265650656390588, 1.979308806662143, 18.194126127698798]
2323  : 2023-01-20, [0.350987523574362, 1.9234442440423745, 18.475568232383264]
2324  : 2023-01-20, [0.37805877854863573, 1.8567433352138394, 18.765197886237527]
2325  : 2023-01-20, [0.40763739787199155, 1.7807797129078624, 19.061582889220148]
2326  : 2023-01-20, [0.43478143821252196, 1.7068492757596139, 19.358369286027862]
2327  : 2023-01-20, [0.5381636270208229, 1.3415855169673954, 19.87025085601178]
2328  : 2023-01-20, [0.06134159387857784, 3.756897849299503, 18.18176055682192]
2329  : 2023-01-20, [0.052785828194668656, 0.834352894974331, 21.362861276831]
2330  : 2023-01-20, [0.018245807918906454, 3.2234388069264246, 19.258315385154667]
2331  : 2023-01-20, [0.07505145699624576, 3.8906061410180235, 18.78434240198573]
2332  : 2023-01-20, [0.07310905761756434, 3.9795400331779858, 18.94735090920445]
2333  : 2023-01-20, [0.05593781325858385, 2.439907707083917, 20.754154479657497]
2334  : 2023-01-20, [0.04922167606189228, 2.508835101513998, 20.941943222424108]
2335  : 2023-01-20, [0.030208027241030985, 3.4015934735422357, 20.318198499216734]
2336  : 2023-01-20, [0.02778151964639512, 3.469548120450547, 20.502670359903057]
2337  : 2023-01-20, [0.013701634267715425, 0.8759850319134255, 23.36031333381886]
2338  : 2023-01-20, [0.2831312307288043, 3.563318165868789, 20.653550603402405]
2339  : 2023-01-20, [0.007010079181483992, 0.9581428003522316, 23.784847120466285]
2340  : 2023-02-01, [0.40717833987106833, 1.251520292334422, 8.341301367794511]
2341  : 2023-02-01, [0.41743166870103227, 1.2882942156978205, 8.544274115601148]
2342  : 2023-02-01, [0.42767938208474193, 1.3253269768340095, 8.746993641081248]
2343  : 2023-02-01, [0.001296698269810047, 1.4160399968908244, 9.332663304839365]
2344  : 2023-02-01, [0.0013270799824997728, 1.4551569544504346, 9.543515965567064]
2345  : 2023-02-01, [0.001357316697903144, 1.4935332685333504, 9.755109414768748]
2346  : 2023-02-01, [0.0027757440395092072, 1.529122515273107, 9.968101740687382]
2347  : 2023-02-01, [0.004256206609236852, 1.5651450858268867, 10.180598707563878]
2348  : 2023-02-01, [0.004347854412180781, 1.6049315536522737, 10.390720591935548]
2349  : 2023-02-01, [0.005918632638092914, 1.6402122817748253, 10.603869085587082]
2350  : 2023-02-01, [0.006040817089406273, 1.6804414548727509, 10.813517728037843]
2351  : 2023-02-01, [0.007703068198774984, 1.716007808960065, 11.02628912284116]
2352  : 2023-02-01, [0.009428346752569969, 1.7520563896425194, 11.23851526360491]
2353  : 2023-02-01, [0.011215402727935425, 1.788213444241086, 11.45057115303098]
2354  : 2023-02-01, [0.013061950406606451, 1.823613403489689, 11.663324646103703]
2355  : 2023-02-01, [0.014969987575773976, 1.858571445601238, 11.876458566822988]
2356  : 2023-02-01, [0.016942232664672267, 1.8950107875487558, 12.088046979786572]
2357  : 2023-02-01, [0.020696475257391427, 1.924552718372125, 12.304750806370484]
2358  : 2023-02-01, [0.024582948043258213, 1.9547705082985196, 12.520646543658223]
2359  : 2023-02-01, [0.02679349173375951, 1.9893974225868916, 12.733809085679347]
2360  : 2023-02-01, [0.03088951728738575, 2.019581350691776, 12.949529132020835]
2361  : 2023-02-01, [0.036947755354716026, 2.0411141401954054, 13.171938104449879]
2362  : 2023-02-01, [0.04131207366013215, 2.068827412603008, 13.389860513736858]
2363  : 2023-02-01, [0.04578071277936412, 2.095000473585695, 13.609218813634943]
2364  : 2023-02-01, [0.05232089358625194, 2.1171003935407646, 13.830578712872983]
2365  : 2023-02-01, [0.05903664640857755, 2.1367739655496205, 14.054189388041802]
2366  : 2023-02-01, [0.06792890598765121, 2.150047456472513, 14.282023637539838]
2367  : 2023-02-01, [0.07501855884865852, 2.168380713740157, 14.506600727411184]
2368  : 2023-02-01, [0.08431716420703167, 2.1774755826692704, 14.7382072531237]
2369  : 2023-02-01, [0.09385924523831488, 2.187618388621984, 14.9685223661397]
2370  : 2023-02-01, [0.10571252570890365, 2.1875234137911055, 15.20676406049999]
2371  : 2023-02-01, [0.11787316801045546, 2.188766088200495, 15.443360743789048]
2372  : 2023-02-01, [0.130245311692989, 2.185393751665485, 15.684360936641523]
2373  : 2023-02-01, [0.1450660480185752, 2.1753575929835973, 15.929576358997828]
2374  : 2023-02-01, [0.15796375643444496, 2.169135964677722, 16.172900278887834]
2375  : 2023-02-01, [0.17559744224186108, 2.1488934449288832, 16.425509112829257]
2376  : 2023-02-01, [0.19119568093246495, 2.1308820249103806, 16.677922294157153]
2377  : 2023-02-01, [0.21165842471717747, 2.0975382462616015, 16.94080332902122]
2378  : 2023-02-01, [0.2301714211414417, 2.071844769408562, 17.197983809449997]
2379  : 2023-02-01, [0.2488173481666087, 2.039832200463233, 17.46135045137016]
2380  : 2023-02-01, [0.2724311812509565, 1.9919153043366236, 17.73565351441242]
2381  : 2023-02-01, [0.29382842053709624, 1.9483800996877378, 18.007791479775165]
2382  : 2023-02-01, [0.31797828052399646, 1.8888328248571162, 18.29318889461889]
2383  : 2023-02-01, [0.07744189333850535, 3.125642805754127, 17.54691530090737]
2384  : 2023-02-01, [0.08113447181026077, 3.180781797831156, 17.738083730358582]
2385  : 2023-02-01, [0.0796314258881224, 3.256615766165555, 17.913752807946324]
2386  : 2023-02-01, [0.0834181153074076, 3.313373342595343, 18.103208542097246]
2387  : 2023-02-01, [0.08185634301479178, 3.3929355566341752, 18.275208100351033]
2388  : 2023-02-01, [0.07750889830068228, 3.4906528023672023, 18.431838299332117]
2389  : 2023-02-01, [0.0757693938536257, 3.5736306269655578, 18.60059997918082]
2390  : 2023-02-01, [0.07112419585932951, 3.6689024785342217, 18.759973325606445]
2391  : 2023-02-01, [0.06922746310447259, 3.760206182081601, 18.920566354813925]
2392  : 2023-02-01, [0.0613903070678102, 3.8718881779661887, 19.066721514966]
2393  : 2023-02-01, [0.050358306568376324, 3.9995052926649346, 19.200136400766688]
2394  : 2023-02-01, [0.04198512434956407, 4.112059000464122, 19.345955875186313]
2395  : 2023-02-01, [0.02730977215209593, 2.497907221168291, 21.224783006679612]
2396  : 2023-02-01, [0.013876607315101474, 3.3794146311097366, 20.606708761575163]
2397  : 2023-02-01, [0.07132237216859677, 3.747495544430859, 20.431182083400543]
2398  : 2023-02-01, [0.054520062195254224, 3.434997772972831, 21.010482164831917]
