Itinerary: ['earth', 'earth', 'JUPITER_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
6480  : 2025-01-01, [0.0025128124877158036, 1.6471565285230878, 8.350330658989197]
6481  : 2025-01-01, [0.0038581121800390183, 1.6848647453764267, 8.561277142443533]
6482  : 2025-01-01, [0.005263568450276601, 1.7223783708326248, 8.772358060717098]
6483  : 2025-01-01, [0.006725836713429726, 1.7586173206805318, 8.984656842606038]
6484  : 2025-01-01, [0.009621176581314997, 1.7912363802531066, 9.199142443165579]
6485  : 2025-01-01, [0.009826005007369621, 1.8312916436950115, 9.408882351297619]
6486  : 2025-01-01, [0.012902229309852678, 1.8629160644136669, 9.62418170627648]
6487  : 2025-01-01, [0.018628698682101267, 0.611215472749835, 11.120155828568064]
6488  : 2025-01-01, [0.0209047618771807, 0.6240591011189571, 11.35503613700386]
6489  : 2025-01-01, [0.029102019617557495, 0.6155505452700353, 11.605347435112407]
6490  : 2025-01-01, [0.033630617298959116, 0.619570868426841, 11.8467985142742]
6491  : 2025-01-01, [0.040342594890738194, 0.61746194746998, 12.092195457639281]
6492  : 2025-01-01, [0.0472859206638041, 0.6131256147173232, 12.33958846461887]
6493  : 2025-01-01, [0.05445683169518828, 0.6092596153488633, 12.58628355295595]
6494  : 2025-01-01, [0.06278358875736015, 2.101255926145452, 11.33596048509719]
6495  : 2025-01-01, [0.07254467565176828, 2.1113165901376774, 11.566138734210556]
6496  : 2025-01-01, [0.08259624177397913, 2.119535849786656, 11.797867908439365]
6497  : 2025-01-01, [0.09834103137265514, 2.1081295105483235, 12.043529458079021]
6498  : 2025-01-01, [0.1340901177937087, 0.7830882424101141, 13.582821639796178]
6499  : 2025-01-01, [0.15528830599246574, 0.7485030675191877, 13.846208626488346]
6500  : 2025-01-01, [0.17983881125671825, 0.7019900817399887, 14.118171107003292]
6501  : 2025-01-01, [0.17018742381379393, 3.1378973625494138, 11.941915213636792]
6502  : 2025-01-01, [0.19868579059414368, 3.117337041028943, 12.183977168376913]
6503  : 2025-01-01, [0.22562105211067698, 3.1000179733633524, 12.424360974525973]
6504  : 2025-01-01, [0.25564413607859043, 3.071054894179008, 12.673300969742401]
6505  : 2025-01-01, [0.2910369484043588, 3.019098659384557, 12.939864392211085]
6506  : 2025-01-01, [0.3296528436467596, 2.9554031110141468, 13.214944045339092]
6507  : 2025-01-01, [0.368811299782049, 2.884363775333724, 13.496824924884228]
6508  : 2025-01-01, [0.41352790328924083, 2.7929078084060275, 13.793564288304733]
6509  : 2025-01-01, [0.4585808516632933, 2.691827255217309, 14.099591893119397]
6510  : 2025-01-01, [0.5066637731452595, 2.5776690387723202, 14.415667188082422]
6511  : 2025-01-01, [0.5649415682235264, 2.418467515779252, 14.766590915997226]
6512  : 2025-01-01, [0.6265133117307378, 2.241296607521785, 15.132190080747478]
6513  : 2025-01-01, [0.6999172084600404, 2.016381117360918, 15.533701674179042]
6514  : 2025-01-01, [0.7944661222163262, 1.7356964049590353, 15.969837472824638]
6515  : 2025-01-01, [0.6804111425565864, 1.82613240853775, 16.243456448905665]
6516  : 2025-01-01, [0.7648862809545851, 1.5604339783495123, 16.674679740695904]
6517  : 2025-01-01, [0.024597972629103154, 0.7676764432201285, 18.45772558415077]
6518  : 2025-01-01, [0.08886543632299555, 1.3106390271837014, 18.100495536493305]
6519  : 2025-01-01, [0.020908934046965276, 3.0928674001327385, 16.636223665820296]
6520  : 2025-01-01, [0.06920298100567561, 3.346754749359539, 16.584042269634786]
6521  : 2025-01-01, [0.11967574961542915, 3.171145870017612, 16.95917838036696]
6522  : 2025-01-01, [0.18087010581754973, 2.9570148527784452, 17.362115041404007]
6523  : 2025-01-01, [0.3145768915856375, 1.2199833399494855, 19.21543976846488]
6524  : 2025-01-01, [0.36854414251046413, 3.6786745160598295, 16.952781341429702]
6525  : 2025-01-01, [0.5885155900549633, 4.682236150998736, 15.979248258946301]
6526  : 2025-01-01, [0.6920438140298302, 3.821894920210136, 16.986061265760036]
6527  : 2025-01-01, [0.02764475260734194, 2.4798613250597454, 19.242493922332912]
6528  : 2025-01-01, [0.26810272852593214, 1.5179966258842863, 20.21390064558978]
6529  : 2025-01-01, [0.003156200433674644, 1.1010740504585463, 21.14576974910778]
6530  : 2025-01-01, [0.03409340094707604, 3.5203260511547647, 18.94558054789816]
6531  : 2025-01-01, [0.09499384231610615, 1.6337790031196489, 21.021227154564244]
6532  : 2025-01-01, [0.14553663679778348, 3.7701807170583823, 19.084282646143834]
6533  : 2025-01-01, [0.2068988636592912, 3.556962251673909, 19.4861388846668]
6534  : 2025-01-01, [0.26887195910366657, 3.3458005369645236, 19.88532750393181]
6535  : 2025-01-01, [0.3504636537314737, 3.048450808756114, 20.351085537512414]
6536  : 2025-01-01, [0.48335439649252054, 5.366497634786708, 18.150147968720773]
6537  : 2025-01-01, [0.8984803651198611, 5.277575500867002, 18.073944134013136]
6538  : 2025-01-01, [1.0563611652111946, 4.643563082322696, 18.800075752466107]
6539  : 2025-01-01, [1.2079551559293302, 4.008837198913907, 19.533207645156764]
6540  : 2025-01-10, [0.0037790845491163854, 1.6073349441621918, 8.388885971288692]
6541  : 2025-01-10, [0.00515891801513716, 1.6440482048016285, 8.600792877183235]
6542  : 2025-01-10, [0.0067088840878906835, 0.5008209492685883, 9.992470166643521]
6543  : 2025-01-10, [0.00686683881121455, 0.5195972077021681, 10.223535953486616]
6544  : 2025-01-10, [0.010538273094321175, 0.5259357759868366, 10.463525950918841]
6545  : 2025-01-10, [0.012570241110790853, 0.538697594037506, 10.698732164851702]
6546  : 2025-01-10, [0.016516826036331617, 0.5440746573326671, 10.939408516631001]
6547  : 2025-01-10, [0.01873827954051404, 0.5560023094238402, 11.175259411035645]
6548  : 2025-01-10, [0.021033331572614777, 0.5668107886067255, 11.41215587982066]
6549  : 2025-01-10, [0.029281957984041426, 0.5570344328161879, 11.66368360919977]
6550  : 2025-01-10, [0.03384182506339897, 0.5599573164635769, 11.906200858473024]
6551  : 2025-01-10, [0.03859982596905908, 1.9987151421456568, 10.712685031885282]
6552  : 2025-01-10, [0.045885531123591373, 2.017358948278094, 10.936755520598316]
6553  : 2025-01-10, [0.05341396795973603, 2.034810792144609, 11.161775239895656]
6554  : 2025-01-10, [0.06288170060505477, 2.044926339026835, 11.392191960368109]
6555  : 2025-01-10, [0.0743724161363239, 2.046076930359233, 11.629550653504444]
6556  : 2025-01-10, [0.09925462026624608, 0.7534060462989338, 13.14733933343482]
6557  : 2025-01-10, [0.11398940249983033, 0.7365890628713653, 13.399421534628804]
6558  : 2025-01-10, [0.13706444094193232, 0.6938612857146682, 13.669074273343398]
6559  : 2025-01-10, [0.129208266494742, 3.0517667551803567, 11.5690249783249]
6560  : 2025-01-10, [0.1494304225138899, 3.063743562738319, 11.786826014747792]
6561  : 2025-01-10, [0.17257243897452593, 3.0575000330063404, 12.019927528019135]
6562  : 2025-01-10, [0.19642155889706608, 3.0514673273401125, 12.252111113762822]
6563  : 2025-01-10, [0.22785777656286083, 3.0155038772948926, 12.506638346142244]
6564  : 2025-01-10, [0.2554290857652044, 2.993099554080562, 12.751471360154236]
6565  : 2025-01-10, [0.28826955494935164, 2.948584444197194, 13.013146000853455]
6566  : 2025-01-10, [0.3217942033129961, 2.900396304004533, 13.277809492682472]
6567  : 2025-01-10, [0.3630672802769663, 2.819521991936013, 13.56741072778702]
6568  : 2025-01-10, [0.4048224338847865, 2.731812373095533, 13.86336519301968]
6569  : 2025-01-10, [0.4521245540515132, 2.623778158189928, 14.17409728775856]
6570  : 2025-01-10, [0.5022782670496352, 2.4965450940071365, 14.50117663894323]
6571  : 2025-01-10, [0.560329345613157, 2.3357756803418877, 14.853894974044957]
6572  : 2025-01-10, [0.6245278211695917, 2.145847278901096, 15.229624899929311]
6573  : 2025-01-10, [0.7042839427500743, 1.9066967516605948, 15.639019305589331]
6574  : 2025-01-10, [0.6466029504022348, 2.0805261832412567, 15.772870866356508]
6575  : 2025-01-10, [0.6881215030940316, 1.7122318168451391, 16.34964668006083]
6576  : 2025-01-10, [0.008102851353879389, 0.7157908316482675, 18.27610631699785]
6577  : 2025-01-10, [0.018149819271277665, 2.924458365932936, 16.307391814795785]
6578  : 2025-01-10, [0.09215675729796022, 1.1749855146057258, 18.232857728096317]
6579  : 2025-01-10, [0.03419732452260035, 3.3310141260575645, 16.384788549419834]
6580  : 2025-01-10, [0.08133193338010213, 3.1779680841520204, 16.740699982467877]
6581  : 2025-01-10, [0.12924187291040937, 3.0154126687337968, 17.105345458355796]
6582  : 2025-01-10, [0.23755025431900625, 1.322102076302554, 18.94034766937844]
6583  : 2025-01-10, [0.28214778628064024, 3.8394175373004256, 16.628434676418937]
6584  : 2025-01-10, [0.09058951619737676, 3.361665209101429, 17.547745274701192]
6585  : 2025-01-10, [0.0708371248388136, 3.508493212472227, 17.670669662688958]
6586  : 2025-01-10, [0.058501487107233484, 3.6272740778633743, 17.814224435029395]
6587  : 2025-01-10, [0.03262311489905984, 1.5986915986712364, 20.118685286429706]
6588  : 2025-01-10, [0.3525987212819924, 1.1161591928563965, 20.53124208586161]
6589  : 2025-01-10, [0.3273677093300234, 4.47839667036674, 17.444235620303235]
6590  : 2025-01-10, [0.060097111486678075, 1.591863865852159, 20.848039022661162]
6591  : 2025-01-10, [0.11532093255039894, 3.6864574071325933, 18.94822166031701]
6592  : 2025-01-10, [0.16451573006690548, 3.532823816191413, 19.302660453741684]
6593  : 2025-01-10, [0.2196587684709106, 3.3414169803883818, 19.68892425114071]
6594  : 2025-01-10, [0.30303426831775643, 3.0395749920476285, 20.157390739634614]
6595  : 2025-01-10, [0.5373688357675104, 2.7598277163426315, 20.452803447889856]
6596  : 2025-01-10, [0.7573774093955624, 5.439087821771682, 17.80353476883276]
6597  : 2025-01-10, [0.9097037486582081, 4.824502332824169, 18.515793918517623]
6598  : 2025-01-10, [1.0464843547755864, 4.286493441067515, 19.1670222041569]
6599  : 2025-01-10, [1.1929384363746913, 3.680672340517073, 19.876389223108234]
6600  : 2025-01-20, [0.0032163597384809338, 0.4228573802893396, 9.573926259972179]
6601  : 2025-01-20, [0.00494727921494892, 0.43588309896928934, 9.809169621815762]
6602  : 2025-01-20, [0.0067553391387762465, 0.44642979835125907, 10.046814862509965]
6603  : 2025-01-20, [0.006911876789257844, 0.46233574623330864, 10.280752376977432]
6604  : 2025-01-20, [0.010610074802111296, 0.46845929198996455, 10.520930633207923]
6605  : 2025-01-20, [0.012656612185860915, 0.4794913162842516, 10.757852071529888]
6606  : 2025-01-20, [0.016629073534872287, 0.4836367866316547, 10.999734139833473]
6607  : 2025-01-20, [0.018860460408082223, 0.4926991693381359, 11.238440370253784]
6608  : 2025-01-20, [0.021289510110657803, 1.8751024498649849, 10.103608040024357]
6609  : 2025-01-20, [0.024820459104801802, 1.9062614170156171, 10.318918123879582]
6610  : 2025-01-20, [0.02846793758839314, 1.936787347422047, 10.534744714989559]
6611  : 2025-01-20, [0.040275015017087835, 1.934471729656321, 10.77525325532659]
