Itinerary: ['earth', 'earth', 'JUPITER_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
8640  : 2026-01-01, [1.301191521421209e-09, 0.495001614988843, 9.504998383709964]
8641  : 2026-01-01, [1.3313494355662796e-09, 0.5086647449922396, 9.741335253676413]
8642  : 2026-01-01, [1.3614038646945694e-09, 0.5223867002609004, 9.977613298377696]
8643  : 2026-01-01, [1.3913132339476303e-09, 0.5361508933386603, 10.213849105270025]
8644  : 2026-01-01, [1.4211605863730554e-09, 0.5499886900612274, 10.450011308517613]
8645  : 2026-01-01, [1.4509060823255393e-09, 0.5638842442745974, 10.686115754274496]
8646  : 2026-01-01, [1.4805500574803904e-09, 0.5778371272933017, 10.922162871226147]
8647  : 2026-01-01, [1.5103344361092793e-09, 0.5924375091779205, 11.157562489311745]
8648  : 2026-01-01, [1.5397796309180353e-09, 0.6065149434596551, 11.393485055000566]
8649  : 2026-01-01, [1.5691248449437338e-09, 0.6206486091640792, 11.629351389266795]
8650  : 2026-01-01, [1.5983697236238951e-09, 0.6348378117489192, 11.86516218665271]
8651  : 2026-01-01, [1.6275150629793614e-09, 0.649082312851303, 12.10091768552118]
8652  : 2026-01-01, [1.656821788950233e-09, 0.6640290701758359, 12.335970928167342]
8653  : 2026-01-01, [1.6857748553783053e-09, 0.678394964533251, 12.571605033780974]
8654  : 2026-01-01, [1.7146295520902076e-09, 0.6928149537313343, 12.807185044554037]
8655  : 2026-01-01, [1.7436561589653356e-09, 0.7079689479045593, 13.042031050351783]
8656  : 2026-01-01, [1.7723229712128365e-09, 0.7225086982782541, 13.277491299949423]
8657  : 2026-01-01, [1.8012190162523506e-09, 0.7378241288827517, 13.51217586931603]
8658  : 2026-01-01, [1.829698636241962e-09, 0.7524817476756891, 13.747518250494613]
8659  : 2026-01-01, [1.858364433419429e-09, 0.7679155063029077, 13.98208449183873]
8660  : 2026-01-01, [1.886662081016205e-09, 0.782690818454584, 14.217309179658754]
8661  : 2026-01-01, [1.9152046779213922e-09, 0.7982846986255792, 14.451715299459217]
8662  : 2026-01-01, [1.943322244593819e-09, 0.8131763701446106, 14.686823627912068]
8663  : 2026-01-01, [1.9716395484895453e-09, 0.82888560174075, 14.92111439628761]
8664  : 2026-01-01, [1.9999270524870976e-09, 0.8446911625252467, 15.155308835474825]
8665  : 2026-01-01, [2.0277845048463755e-09, 0.8597620959191015, 15.390237902053116]
8666  : 2026-01-01, [2.055906169129633e-09, 0.8757045679917018, 15.624295429952394]
8667  : 2026-01-01, [2.0838902315216384e-09, 0.8916959859679484, 15.858304011948164]
8668  : 2026-01-01, [2.1118505849672295e-09, 0.9077843860738057, 16.092215611814346]
8669  : 2026-01-01, [2.139377121504129e-09, 0.9230966365782418, 16.32690336128238]
8670  : 2026-01-01, [2.16718031558564e-09, 0.9393211801756356, 16.560678817657184]
8671  : 2026-01-01, [2.1949064520710956e-09, 0.9556183095193087, 16.794381688285785]
8672  : 2026-01-01, [2.222496215099791e-09, 0.9719615156025732, 17.02803848217493]
8673  : 2026-01-01, [2.2500719600685434e-09, 0.988403630435711, 17.26159636731422]
8674  : 2026-01-01, [2.2775735089946217e-09, 1.0049179005325208, 17.495082097189904]
8675  : 2026-01-01, [2.305001514559395e-09, 1.021504061378759, 17.72849593631624]
8676  : 2026-01-01, [2.3322969290409193e-09, 1.0381352796616814, 17.961864718006023]
