Itinerary: ['earth', 'mars', 'pluto']
case #: launch date, tof of each leg
8640  : 2026-01-01, [0.3672236624748498, 9.632776337525149]
8641  : 2026-01-01, [0.43595168641393883, 9.814048313586062]
8642  : 2026-01-01, [0.4575322695853606, 10.04246773041464]
8643  : 2026-01-01, [0.4816747560289312, 10.268325243971068]
8644  : 2026-01-01, [0.5357630065534461, 10.464236993446553]
8645  : 2026-01-01, [0.5690315980274425, 10.680968401972558]
8646  : 2026-01-01, [0.6037054670573768, 10.896294532942623]
8647  : 2026-01-01, [0.6419562380964623, 11.108043761903538]
8648  : 2026-01-01, [0.6863452478126957, 11.313654752187306]
8649  : 2026-01-01, [0.7325396175864617, 11.517460382413537]
8650  : 2026-01-01, [0.7879661065726699, 11.71203389342733]
8651  : 2026-01-01, [0.8480019678405496, 11.90199803215945]
8652  : 2026-01-01, [0.07340507780992066, 12.926594922190079]
8653  : 2026-01-01, [0.10232383771286074, 13.147676162287139]
8654  : 2026-01-01, [1.24241852722782, 12.25758147277218]
8655  : 2026-01-01, [1.3652905506144495, 12.384709449385552]
8656  : 2026-01-01, [0.34755114417234145, 13.652448855827657]
8657  : 2026-01-01, [0.4339305039489806, 13.81606949605102]
8658  : 2026-01-01, [0.555715560217587, 13.944284439782415]
8659  : 2026-01-01, [0.5900806868957527, 14.159919313104247]
8660  : 2026-01-01, [0.6777664037793182, 14.32223359622068]
8661  : 2026-01-01, [0.8280179068762575, 14.421982093123743]
8662  : 2026-01-01, [1.0336020037549252, 14.466397996245075]
8663  : 2026-01-01, [0.9313565448302753, 14.818643455169724]
8664  : 2026-01-01, [1.0737386246084955, 14.926261375391505]
8665  : 2026-01-01, [0.20984826862558534, 16.040151731374415]
8666  : 2026-01-01, [1.7926373996397762, 14.707362600360224]
8667  : 2026-01-01, [0.2358763314315539, 16.514123668568445]
8668  : 2026-01-01, [0.3034066649612087, 16.69659333503879]
8669  : 2026-01-01, [1.8435828107433851, 15.406417189256615]
8670  : 2026-01-01, [0.754430920601847, 16.74556907939815]
8671  : 2026-01-01, [0.9286481115426434, 16.821351888457357]
8672  : 2026-01-01, [0.7749265620447483, 17.22507343795525]
8673  : 2026-01-01, [0.9979981406370804, 17.25200185936292]
8674  : 2026-01-01, [1.450224764753588, 17.049775235246415]
8675  : 2026-01-01, [0.935616257843578, 17.814383742156423]
8676  : 2026-01-01, [1.054804719574912, 17.945195280425086]
8677  : 2026-01-01, [1.2060194673329183, 18.04398053266708]
8678  : 2026-01-01, [1.5334569194854133, 17.966543080514587]
8679  : 2026-01-01, [0.2568045545254912, 19.49319544547451]
8680  : 2026-01-01, [0.4871543429073945, 19.51284565709261]
8681  : 2026-01-01, [0.2575695175104043, 19.992430482489596]
8682  : 2026-01-01, [0.8309991703681197, 19.66900082963188]
8683  : 2026-01-01, [1.259250653706323, 19.490749346293676]
8684  : 2026-01-01, [1.6550702856271577, 19.344929714372842]
8685  : 2026-01-01, [0.4690224840968354, 20.780977515903164]
8686  : 2026-01-01, [2.249276498794777, 19.250723501205222]
8687  : 2026-01-01, [0.9954209101356721, 20.75457908986433]
8688  : 2026-01-01, [1.7201377888328764, 20.279862211167124]
8689  : 2026-01-01, [0.7571176867187358, 21.492882313281264]
8690  : 2026-01-01, [1.2350304965780008, 21.264969503422]
8691  : 2026-01-01, [1.3813375162713541, 21.36866248372865]
8692  : 2026-01-01, [0.20995874831940906, 22.790041251680588]
8693  : 2026-01-01, [0.38480350949492004, 22.865196490505078]
8694  : 2026-01-01, [0.8341841031680773, 22.665815896831926]
8695  : 2026-01-01, [0.7333461894223269, 23.016653810577672]
8696  : 2026-01-01, [0.13366284765151537, 23.866337152348486]
8697  : 2026-01-01, [0.5276649933021423, 23.722335006697858]
8698  : 2026-01-01, [0.7093009797667251, 23.790699020233273]
8699  : 2026-01-01, [2.256102962070475, 22.493897037929525]
8700  : 2026-01-10, [0.4169096492146336, 9.583090350785366]
8701  : 2026-01-10, [0.4380145896116457, 9.811985410388354]
8702  : 2026-01-10, [0.4598311374845454, 10.040168862515454]
8703  : 2026-01-10, [0.5143514034931731, 10.23564859650683]
8704  : 2026-01-10, [0.5428581829914418, 10.457141817008557]
8705  : 2026-01-10, [0.5765366004257827, 10.673463399574215]
8706  : 2026-01-10, [0.6115794821237069, 10.888420517876293]
8707  : 2026-01-10, [0.6524112329216476, 11.097588767078353]
8708  : 2026-01-10, [0.697209901237948, 11.302790098762053]
8709  : 2026-01-10, [0.7461490526830299, 11.503850947316971]
8710  : 2026-01-10, [0.7968761246823081, 11.703123875317694]
8711  : 2026-01-10, [0.8595773292759529, 11.890422670724046]
8712  : 2026-01-10, [0.9287819291205506, 12.07121807087945]
8713  : 2026-01-10, [0.10158924986194033, 13.14841075013806]
8714  : 2026-01-10, [1.2570262506718635, 12.242973749328137]
8715  : 2026-01-10, [1.3729110514137726, 12.377088948586229]
8716  : 2026-01-10, [1.4900378087977761, 12.509962191202222]
8717  : 2026-01-10, [0.42046838260384023, 13.82953161739616]
8718  : 2026-01-10, [0.5462151804391883, 13.953784819560813]
8719  : 2026-01-10, [0.6228190951738904, 14.127180904826112]
8720  : 2026-01-10, [0.678894556599838, 14.321105443400164]
8721  : 2026-01-10, [0.8268923319587966, 14.423107668041204]
8722  : 2026-01-10, [0.879086204055061, 14.620913795944938]
8723  : 2026-01-10, [0.93598069333426, 14.814019306665738]
8724  : 2026-01-10, [1.069422950618878, 14.930577049381121]
8725  : 2026-01-10, [0.1791045384650946, 16.070895461534906]
8726  : 2026-01-10, [0.175909740231537, 16.324090259768465]
8727  : 2026-01-10, [0.2203171620509972, 16.529682837949004]
8728  : 2026-01-10, [0.30021814695414084, 16.69978185304586]
8729  : 2026-01-10, [0.5058049631980149, 16.744195036801983]
8730  : 2026-01-10, [0.7950057637048329, 16.704994236295168]
8731  : 2026-01-10, [0.9659117200920745, 16.784088279907927]
8732  : 2026-01-10, [0.6705822419736327, 17.32941775802637]
8733  : 2026-01-10, [0.9733938989973145, 17.276606101002685]
