Itinerary: ['earth', 'mars', 'pluto']
13049 : 2028-01-10, [1.0834143165825714, 16.16658568341743]
13050 : 2028-01-10, [1.1393119178197062, 16.360688082180296]
13051 : 2028-01-10, [0.09850110743188017, 17.65149889256812]
13052 : 2028-01-10, [0.12485717115809043, 17.87514282884191]
13053 : 2028-01-10, [0.16403615844809755, 18.085963841551905]
13054 : 2028-01-10, [0.2287714921525806, 18.271228507847418]
13055 : 2028-01-10, [0.32635759919696467, 18.423642400803036]
13056 : 2028-01-10, [0.36137505360436306, 18.638624946395637]
13057 : 2028-01-10, [0.40412579163161194, 18.84587420836839]
13058 : 2028-01-10, [0.4498788220025609, 19.05012117799744]
13059 : 2028-01-10, [0.511776262529181, 19.238223737470822]
13060 : 2028-01-10, [0.5814952829766706, 19.41850471702333]
13061 : 2028-01-10, [0.6108644045562114, 19.639135595443786]
13062 : 2028-01-10, [0.6435456552061716, 19.856454344793825]
13063 : 2028-01-10, [0.7109920411632823, 20.039007958836716]
13064 : 2028-01-10, [0.7719094586175734, 20.228090541382425]
13065 : 2028-01-10, [0.8471146111120869, 20.402885388887913]
13066 : 2028-01-10, [0.972703166535069, 20.52729683346493]
13067 : 2028-01-10, [1.1165532596244314, 20.633446740375568]
13068 : 2028-01-10, [1.3323776462711345, 20.667622353728866]
13069 : 2028-01-10, [1.3366800215201047, 20.913319978479894]
13070 : 2028-01-10, [1.4050112269473425, 21.09498877305266]
13071 : 2028-01-10, [0.1420379670271633, 22.607962032972836]
13072 : 2028-01-10, [0.23006536540511982, 22.76993463459488]
13073 : 2028-01-10, [1.4466577814344361, 21.803342218565565]
13074 : 2028-01-10, [0.1326969476833999, 23.3673030523166]
13075 : 2028-01-10, [0.18840662332053731, 23.561593376679465]
13076 : 2028-01-10, [0.24756821526502268, 23.752431784734977]
13077 : 2028-01-10, [0.32610867704708774, 23.92389132295291]
13078 : 2028-01-10, [0.37479326505211175, 24.125206734947888]
13079 : 2028-01-10, [0.5385765975832666, 24.211423402416735]
13080 : 2028-01-20, [0.6629799052432996, 9.3370200947567]
13081 : 2028-01-20, [0.7089976083748333, 9.541002391625168]
13082 : 2028-01-20, [0.7627107763608554, 9.737289223639145]
13083 : 2028-01-20, [0.07171444306735306, 10.678285556932646]
13084 : 2028-01-20, [0.33625983358135525, 10.663740166418645]
13085 : 2028-01-20, [0.5002890911024718, 10.749710908897528]
13086 : 2028-01-20, [0.5219533593822808, 10.978046640617718]
13087 : 2028-01-20, [0.6667659628217888, 11.083234037178212]
13088 : 2028-01-20, [0.6976620793224569, 11.302337920677543]
13089 : 2028-01-20, [0.7293189263921177, 11.520681073607884]
13090 : 2028-01-20, [0.7665582390543925, 11.73344176094561]
13091 : 2028-01-20, [0.804806200422843, 11.945193799577156]
13092 : 2028-01-20, [0.0924061024293185, 12.907593897570683]
13093 : 2028-01-20, [0.11084299814927889, 13.139157001850721]
