Itinerary: ['earth', 'mars', 'pluto']
case #: launch date, tof of each leg
0     : 2022-01-01, [1.1338596614876628, 8.866140338512338]
1     : 2022-01-01, [0.33919534978942756, 9.910804650210572]
2     : 2022-01-01, [0.36939920760734657, 10.130600792392652]
3     : 2022-01-01, [0.4877958151876002, 10.262204184812399]
4     : 2022-01-01, [0.5349954815236212, 10.465004518476379]
5     : 2022-01-01, [0.5899251580785295, 10.660074841921471]
6     : 2022-01-01, [0.6741089613668209, 10.825891038633179]
7     : 2022-01-01, [0.8869613960438858, 10.863038603956115]
8     : 2022-01-01, [0.9658869828196518, 11.03411301718035]
9     : 2022-01-01, [0.23873196067055996, 12.011268039329439]
10    : 2022-01-01, [1.4066152559759162, 11.093384744024084]
11    : 2022-01-01, [0.3871482332436568, 12.362851766756343]
12    : 2022-01-01, [0.40229723883319873, 12.597702761166802]
13    : 2022-01-01, [0.41899944131973593, 12.831000558680262]
14    : 2022-01-01, [0.4415246227691672, 13.058475377230831]
15    : 2022-01-01, [0.46905773746478246, 13.280942262535218]
16    : 2022-01-01, [0.5042384391625964, 13.495761560837405]
17    : 2022-01-01, [0.5463574518455747, 13.703642548154425]
18    : 2022-01-01, [0.6056785079923185, 13.894321492007679]
19    : 2022-01-01, [0.6911220104834372, 14.058877989516562]
20    : 2022-01-01, [0.8052503808075723, 14.194749619192425]
21    : 2022-01-01, [0.9700593934566348, 14.279940606543366]
22    : 2022-01-01, [0.9189368879413884, 14.581063112058613]
23    : 2022-01-01, [1.0128336004258005, 14.737166399574198]
24    : 2022-01-01, [0.09251205141513703, 15.907487948584864]
25    : 2022-01-01, [0.9826677818758588, 15.267332218124142]
26    : 2022-01-01, [1.0764937551647782, 15.423506244835224]
27    : 2022-01-01, [0.09606073319077124, 16.65393926680923]
28    : 2022-01-01, [0.12392192796322145, 16.87607807203678]
29    : 2022-01-01, [1.0497720333132239, 16.200227966686775]
30    : 2022-01-01, [1.2297879782543066, 16.270212021745696]
31    : 2022-01-01, [1.2562729623898192, 16.493727037610185]
32    : 2022-01-01, [0.13175904062457805, 17.868240959375424]
33    : 2022-01-01, [0.25727885138332157, 17.992721148616678]
34    : 2022-01-01, [0.5225129876516316, 17.97748701234837]
35    : 2022-01-01, [1.2667898116986112, 17.48321018830139]
36    : 2022-01-01, [0.8053617425790505, 18.194638257420948]
