Itinerary: ['earth', 'mars', 'pluto']
case #: launch date, tof of each leg
15120 : 2029-01-01, [0.3842881545581741, 9.615711845441826]
15121 : 2029-01-01, [0.4097819992410943, 9.840218000758904]
15122 : 2029-01-01, [0.4365921448706652, 10.063407855129334]
15123 : 2029-01-01, [0.46485297279093596, 10.285147027209064]
15124 : 2029-01-01, [0.4993520578869019, 10.500647942113098]
15125 : 2029-01-01, [0.538786172770431, 10.711213827229571]
15126 : 2029-01-01, [0.5897581646024815, 10.910241835397517]
15127 : 2029-01-01, [0.6492889680202734, 11.100711031979728]
15128 : 2029-01-01, [0.7270071339132333, 11.272992866086767]
15129 : 2029-01-01, [0.8433009791376843, 11.406699020862316]
15130 : 2029-01-01, [1.0297398385019354, 11.470260161498064]
15131 : 2029-01-01, [1.3081076853837985, 11.4418923146162]
15132 : 2029-01-01, [0.4726282209401734, 12.527371779059827]
15133 : 2029-01-01, [0.6500959479855195, 12.59990405201448]
15134 : 2029-01-01, [0.5511883028205643, 12.948811697179437]
15135 : 2029-01-01, [0.6656419073233562, 13.084358092676645]
15136 : 2029-01-01, [0.9402518886153723, 13.059748111384627]
15137 : 2029-01-01, [0.7189952173097612, 13.531004782690237]
15138 : 2029-01-01, [0.824053814871114, 13.675946185128884]
15139 : 2029-01-01, [1.0207024063350094, 13.72929759366499]
15140 : 2029-01-01, [1.5936783347166281, 13.406321665283372]
15141 : 2029-01-01, [0.70611569377296, 14.543884306227039]
15142 : 2029-01-01, [0.5051148862267841, 14.994885113773217]
15143 : 2029-01-01, [1.6496392006302514, 14.100360799369748]
15144 : 2029-01-01, [0.540061026017467, 15.459938973982533]
15145 : 2029-01-01, [0.7111720122052242, 15.538827987794777]
15146 : 2029-01-01, [0.11867496827950828, 16.38132503172049]
15147 : 2029-01-01, [0.847141397965813, 15.902858602034188]
15148 : 2029-01-01, [1.3111366394197108, 15.688863360580289]
15149 : 2029-01-01, [0.4409789639603424, 16.809021036039656]
15150 : 2029-01-01, [1.5361539866574905, 15.963846013342508]
15151 : 2029-01-01, [0.9678696494267094, 16.78213035057329]
15152 : 2029-01-01, [1.1868568002620912, 16.81314319973791]
15153 : 2029-01-01, [1.6039914485047255, 16.646008551495274]
15154 : 2029-01-01, [0.38053343358416813, 18.11946656641583]
15155 : 2029-01-01, [0.5149290200489346, 18.235070979951065]
15156 : 2029-01-01, [1.7871036794669555, 17.212896320533044]
15157 : 2029-01-01, [0.6014691658036161, 18.648530834196382]
15158 : 2029-01-01, [0.8180461693704073, 18.681953830629592]
15159 : 2029-01-01, [0.10516358994306779, 19.64483641005693]
15160 : 2029-01-01, [1.0770224082270619, 18.922977591772938]
15161 : 2029-01-01, [0.7585794398874761, 19.491420560112523]
15162 : 2029-01-01, [1.0554687123672073, 19.444531287632795]
15163 : 2029-01-01, [0.6825423106387056, 20.067457689361298]
15164 : 2029-01-01, [1.4671329787145546, 19.532867021285444]
