Itinerary: ['earth', 'venus', 'saturn', 'pluto']
case #: launch date, tof of each leg
15120 : 2029-01-01, [0.14742788992185937, 1.0370854603091904, 8.81548664976895]
15121 : 2029-01-01, [0.1495008941804115, 1.0550309113588971, 9.04546819446069]
15122 : 2029-01-01, [0.15153586758207652, 1.0732414723104875, 9.275222660107435]
15123 : 2029-01-01, [0.1534597736140609, 1.090287885922269, 9.50625234046367]
15124 : 2029-01-01, [0.15676194325872836, 1.1150942618963746, 9.728143794844897]
15125 : 2029-01-01, [0.1586169408296612, 1.132509574321553, 9.958873484848786]
15126 : 2029-01-01, [0.16033697269044445, 1.148547574139905, 10.191115453169651]
15127 : 2029-01-01, [0.16198916850307551, 1.1642632964245956, 10.42374753507233]
15128 : 2029-01-01, [0.16359579110751443, 1.1802390763616664, 10.65616513253082]
15129 : 2029-01-01, [0.16514093656128387, 1.1961745232404808, 10.888684540198234]
15130 : 2029-01-01, [0.16655965441810103, 1.2105122254909877, 11.12292812009091]
15131 : 2029-01-01, [0.16800820983927484, 1.2268042203582419, 11.355187569802483]
15132 : 2029-01-01, [0.16927525942222926, 1.2406263085705673, 11.590098432007203]
15133 : 2029-01-01, [0.17051110825071605, 1.2548638966113488, 11.824624995137933]
15134 : 2029-01-01, [0.17162856290558767, 1.2677105521826117, 12.060660884911801]
15135 : 2029-01-01, [0.17277850369578035, 1.2824305710564186, 12.294790925247803]
15136 : 2029-01-01, [0.17374838020042227, 1.2945562867496219, 12.531695333049957]
15137 : 2029-01-01, [0.1747452832636114, 1.3088311293052477, 12.766423587431142]
15138 : 2029-01-01, [0.17368186334663538, 1.3108658370730866, 13.015452299580277]
15139 : 2029-01-01, [0.17449794319951376, 1.3243433363298942, 13.251158720470592]
15140 : 2029-01-01, [0.17518612033455502, 1.3360336053116435, 13.488780274353802]
15141 : 2029-01-01, [0.1698482718461099, 1.319082121758617, 13.761069606395274]
15142 : 2029-01-01, [0.16823288639917242, 1.3196947679949222, 14.012072345605906]
15143 : 2029-01-01, [0.1664832561582648, 1.3194425938424719, 14.264074149999264]
15144 : 2029-01-01, [0.16456808572789425, 1.318647189353394, 14.516784724918711]
15145 : 2029-01-01, [0.16251823637667442, 1.3172760293251133, 14.770205734298212]
15146 : 2029-01-01, [0.15814438229646924, 1.3058189099396562, 15.036036707763873]
15147 : 2029-01-01, [0.15348556370354155, 1.2916878340923004, 15.304826602204157]
15148 : 2029-01-01, [0.1509405412411406, 1.2894681718626375, 15.559591286896222]
15149 : 2029-01-01, [0.48083636361197896, 3.3299385514709097, 13.43922508491711]
15150 : 2029-01-01, [0.48547422459009704, 3.369598323583484, 13.644927451826417]
15151 : 2029-01-01, [0.48990662346231323, 3.406788669907283, 13.853304706630404]
15152 : 2029-01-01, [0.4924462355821621, 3.435632075196139, 14.0719216892217]
15153 : 2029-01-01, [0.49670807141014045, 3.4720819091245367, 14.281210019465323]
15154 : 2029-01-01, [0.5010593074512157, 3.510688820065234, 14.48825187248355]
15155 : 2029-01-01, [0.5032142280531595, 3.5374044051775604, 14.70938136676928]
15156 : 2029-01-01, [0.509349017765178, 3.583643087996678, 14.907007894238145]
15157 : 2029-01-01, [0.5113416021066994, 3.6101109369509783, 15.128547460942322]
15158 : 2029-01-01, [0.5174038394065246, 3.656123721562131, 15.326472439031345]
