Itinerary: ['earth', 'venus', 'saturn', 'pluto']
case #: launch date, tof of each leg
68    : 2022-01-10, [0.22791573114563773, 1.0678838532458486, 10.704200415608513]
69    : 2022-01-10, [0.2309646951108628, 1.080661450436421, 10.938373854452717]
70    : 2022-01-10, [0.23394079715989238, 1.093203394706128, 11.17285580813398]
71    : 2022-01-10, [0.23685036687796163, 1.1052209916869007, 11.407928641435138]
72    : 2022-01-10, [0.2396850674005388, 1.1168334070811898, 11.643481525518272]
73    : 2022-01-10, [0.2424674920646801, 1.1283170495090038, 11.879215458426316]
74    : 2022-01-10, [0.24376991782893703, 1.1308275282913607, 12.125402553879702]
75    : 2022-01-10, [0.24499337701558846, 1.1333846716616347, 12.371621951322775]
76    : 2022-01-10, [0.2475233966660304, 1.1433050998840226, 12.609171503449947]
77    : 2022-01-10, [0.24998796771878115, 1.152680305861973, 12.847331726419245]
78    : 2022-01-10, [0.252427911616066, 1.162629148232341, 13.084942940151594]
79    : 2022-01-10, [0.2547558972437233, 1.171257037346962, 13.323987065409314]
80    : 2022-01-10, [0.2554686532214006, 1.1704422858722423, 13.574089060906356]
81    : 2022-01-10, [0.25762963325417, 1.1781364775003216, 13.814233889245509]
82    : 2022-01-10, [0.25980334530373494, 1.186626078628421, 14.053570576067845]
83    : 2022-01-10, [0.26189882064301084, 1.1945067403580376, 14.29359443899895]
84    : 2022-01-10, [0.26055748049128447, 1.181686885725857, 14.557755633782858]
85    : 2022-01-10, [0.26249808033557215, 1.1886318049276894, 14.798870114736738]
86    : 2022-01-10, [0.26432836157953676, 1.1943368805157923, 15.041334757904673]
87    : 2022-01-10, [0.2644695996506182, 1.1903195748563904, 15.295210825492992]
88    : 2022-01-10, [0.25626929812974275, 1.14562347959465, 15.598107222275608]
89    : 2022-01-10, [0.2561964954422277, 1.1408267565758774, 15.852976747981895]
90    : 2022-01-10, [0.25575563964567455, 1.1333009665654057, 16.11094339378892]
91    : 2022-01-10, [0.2551911003702859, 1.1262436948188193, 16.368565204810896]
92    : 2022-01-10, [0.25450384059072506, 1.1186278102655953, 16.62686834914368]
93    : 2022-01-10, [0.25366638595510604, 1.1102935215238758, 16.886040092521018]
94    : 2022-01-10, [0.2232723624051009, 0.9576209046881583, 17.31910673290674]
95    : 2022-01-10, [0.22162905357113905, 0.9459800110720807, 17.58239093535678]
96    : 2022-01-10, [0.18536803501123142, 3.6108873100732075, 15.203744654915562]
97    : 2022-01-10, [0.18363239089508057, 3.6487389490367375, 15.417628660068182]
