Itinerary: ['earth', 'venus', 'saturn', 'pluto']
case #: launch date, tof of each leg
10800 : 2027-01-01, [0.19286961065621558, 1.1891594006432349, 8.61797098870055]
10801 : 2027-01-01, [0.19615363146761303, 1.2107078383868846, 8.843138530145502]
10802 : 2027-01-01, [0.19817907965763823, 1.2260551512335471, 9.075765769108814]
10803 : 2027-01-01, [0.20255366511262962, 1.2539003011732954, 9.293546033714074]
10804 : 2027-01-01, [0.2043243734265906, 1.2672632090992886, 9.528412417474122]
10805 : 2027-01-01, [0.20732018671167, 1.2878285240462926, 9.754851289242037]
10806 : 2027-01-01, [0.2102899602637891, 1.308656642866142, 9.981053396870069]
10807 : 2027-01-01, [0.21313180948218374, 1.3282728209466315, 10.208595369571185]
10808 : 2027-01-01, [0.21590488498456656, 1.3475340008337426, 10.436561114181691]
10809 : 2027-01-01, [0.21860530518895877, 1.3664088305207798, 10.664985864290262]
10810 : 2027-01-01, [0.22124529331400988, 1.3849610798482002, 10.893793626837793]
10811 : 2027-01-01, [0.22380772615889175, 1.402870915650029, 11.123321358191077]
10812 : 2027-01-01, [0.22490254639048537, 1.412754889944429, 11.362342563665084]
10813 : 2027-01-01, [0.2274662515531931, 1.4297768185661823, 11.592756929880624]
10814 : 2027-01-01, [0.22738633581272993, 1.4479531399505075, 11.82466052423676]
10815 : 2027-01-01, [0.23087777338851054, 1.4641285511706805, 12.05499367544081]
10816 : 2027-01-01, [0.23342150297286823, 1.4811673539505765, 12.285411143076553]
10817 : 2027-01-01, [0.23401092002002508, 1.4880689177201414, 12.527920162259834]
10818 : 2027-01-01, [0.23601957098437618, 1.503177151582041, 12.760803277433583]
10819 : 2027-01-01, [0.23800450155255543, 1.5189678298757447, 12.993027668571699]
10820 : 2027-01-01, [0.23991394475495478, 1.5344392598880205, 13.225646795357024]
10821 : 2027-01-01, [0.23993202903829713, 1.5393290958812618, 13.47073887508044]
10822 : 2027-01-01, [0.24166407448029614, 1.55399685156124, 13.704339073958465]
10823 : 2027-01-01, [0.2433300795315755, 1.5681338739601807, 13.938536046508242]
10824 : 2027-01-01, [0.24304872101658115, 1.5724164100370488, 14.184534868946368]
10825 : 2027-01-01, [0.24446507131255107, 1.5847460776201439, 14.420788851067307]
10826 : 2027-01-01, [0.24396707118040664, 1.5880430654273563, 14.667989863392236]
10827 : 2027-01-01, [0.2374147803260644, 1.5611919868141009, 14.951393232859834]
10828 : 2027-01-01, [0.23449272891805464, 1.552431023650445, 15.2130762474315]
10829 : 2027-01-01, [0.235487713625132, 1.5636619716890754, 15.450850314685793]
10830 : 2027-01-01, [0.2322177322348281, 1.5529974018662736, 15.7147848658989]
10831 : 2027-01-01, [0.22872502639882678, 1.5418325568858782, 15.979442416715296]
10832 : 2027-01-01, [0.2272659783301415, 1.541598414335705, 16.231135607334153]
10833 : 2027-01-01, [0.22337147137565705, 1.5285750329696368, 16.498053495654705]
10834 : 2027-01-01, [0.2169838212399214, 1.5029195493093155, 16.78009662945076]
10835 : 2027-01-01, [0.2126094004184279, 1.4873822012563633, 17.050008398325208]
10836 : 2027-01-01, [0.18419894461969777, 1.3583027065324187, 17.45749834884788]
10837 : 2027-01-01, [0.5648456857305706, 3.673731284660208, 15.011423029609222]
10838 : 2027-01-01, [0.5677067193246137, 3.700216930993595, 15.232076349681794]
10839 : 2027-01-01, [0.5704545223735948, 3.7263361062338984, 15.453209371392507]
10840 : 2027-01-01, [0.5751764398770882, 3.7633069430212323, 15.661516617101677]
10841 : 2027-01-01, [0.5776678103293519, 3.788274672851655, 15.884057516818993]
10842 : 2027-01-01, [0.5800443361372504, 3.812453768983796, 16.107501894878954]
10843 : 2027-01-01, [0.5844726168528336, 3.8478078762381296, 16.317719506909036]
10844 : 2027-01-01, [0.5886245390112859, 3.8805691380481213, 16.530806322940595]
10845 : 2027-01-01, [0.5909191143697966, 3.9061356053044514, 16.752945280325754]
10846 : 2027-01-01, [0.5928230971464667, 3.92811935955062, 16.979057543302915]
10847 : 2027-01-01, [0.5969112616826895, 3.9619872832159997, 17.19110145510131]
10848 : 2027-01-01, [0.5986533239388101, 3.9830230157573703, 17.41832366030382]
10849 : 2027-01-01, [0.6004371031422172, 4.006287367935949, 17.643275528921833]
10850 : 2027-01-01, [0.6042545938834389, 4.038623140339155, 17.85712226577741]
10851 : 2027-01-01, [0.605656125287882, 4.058465750599944, 18.085878124112174]
10852 : 2027-01-01, [0.6070783569264113, 4.079785770220648, 18.313135872852943]
10853 : 2027-01-01, [0.6084118407931655, 4.101181486425791, 18.540406672781042]
10854 : 2027-01-01, [0.6095943927260018, 4.121884796276299, 18.7685208109977]
10855 : 2027-01-01, [0.6080887996208406, 4.127512012540652, 19.01439918783851]
10856 : 2027-01-01, [0.6114011992649727, 4.1582037856731775, 19.230395015061852]
10857 : 2027-01-01, [0.6098177821371359, 4.165964090539135, 19.47421812732373]
10858 : 2027-01-01, [0.6104742819767915, 4.183685291347421, 19.70584042667579]
10859 : 2027-01-01, [0.6110095147200935, 4.201303846400425, 19.937686638879484]
10860 : 2027-01-10, [0.19091461719669817, 1.1285082846662162, 8.680577098137086]
10861 : 2027-01-10, [0.19416718095760768, 1.1491320513713923, 8.906700767671]
10862 : 2027-01-10, [0.1960898702809201, 1.1620013373643403, 9.141908792354739]
10863 : 2027-01-10, [0.19915732635897407, 1.181502985935298, 9.369339687705727]
10864 : 2027-01-10, [0.20215970706691513, 1.200673190815906, 9.59716710211718]
10865 : 2027-01-10, [0.2051378932527257, 1.2202515156701446, 9.82461059107713]
10866 : 2027-01-10, [0.20800783555504634, 1.2385685863336733, 10.05342357811128]
10867 : 2027-01-10, [0.21074544996423822, 1.2557694311740126, 10.28348511886175]
10868 : 2027-01-10, [0.21354604222931867, 1.2744025289076073, 10.512051428863074]
10869 : 2027-01-10, [0.2162131477102, 1.2914926086697796, 10.74229424362002]
10870 : 2027-01-10, [0.2175511977031593, 1.300505243435273, 10.981943558861568]
10871 : 2027-01-10, [0.2203791837092601, 1.3167110749218809, 11.21290974136886]
10872 : 2027-01-10, [0.21982042591752732, 1.332870194315625, 11.447309379766846]
10873 : 2027-01-10, [0.2231913669651174, 1.3482503306141225, 11.678558302420761]
10874 : 2027-01-10, [0.22585010122097723, 1.3641039043026977, 11.910045994476326]
10875 : 2027-01-10, [0.22822281150155754, 1.3798327683589586, 12.141944420139483]
10876 : 2027-01-10, [0.2303827291053372, 1.393989459833331, 12.375627811061332]
10877 : 2027-01-10, [0.23081452298386745, 1.3992344505750711, 12.619951026441063]
10878 : 2027-01-10, [0.23280808426806696, 1.4138136335324119, 12.85337828219952]
10879 : 2027-01-10, [0.232942698586143, 1.417647714977945, 13.099409586435911]
10880 : 2027-01-10, [0.23475533874308635, 1.4312015831412384, 13.334043078115677]
10881 : 2027-01-10, [0.2364181599684962, 1.4432481027968223, 13.57033373723468]
10882 : 2027-01-10, [0.2380727317069481, 1.4560362308216228, 13.80589103747143]
10883 : 2027-01-10, [0.23415400681131562, 1.4406053321318535, 14.075240661056831]
10884 : 2027-01-10, [0.23368671371928262, 1.4426663539995743, 14.323646932281141]
10885 : 2027-01-10, [0.23305939059712014, 1.4439411273886578, 14.572999482014222]
10886 : 2027-01-10, [0.23428488672514924, 1.4547252744037802, 14.81098983887107]
10887 : 2027-01-10, [0.23142427683406008, 1.44474110995426, 15.07383461321168]
10888 : 2027-01-10, [0.23245296423391054, 1.4546012352759468, 15.312945800490143]
10889 : 2027-01-10, [0.22922082740482128, 1.442551641946888, 15.57822753064829]
10890 : 2027-01-10, [0.22793367146761181, 1.4407451984317425, 15.831321130100646]
10891 : 2027-01-10, [0.22432167719506527, 1.4269033997176044, 16.09877492308733]
10892 : 2027-01-10, [0.20286176711682744, 1.3272509391109517, 16.46988729377222]
10893 : 2027-01-10, [0.19850445059930552, 1.311259360325932, 16.740236189074764]
10894 : 2027-01-10, [0.19149269905565938, 1.2809847342424427, 17.0275225667019]
10895 : 2027-01-10, [0.18414342454191476, 1.249410224426168, 17.316446351031917]
10896 : 2027-01-10, [0.556308095425141, 3.5301852425494045, 14.913506662025455]
10897 : 2027-01-10, [0.5592032454965488, 3.5551301327842237, 15.135666621719228]
10898 : 2027-01-10, [0.5640283714484534, 3.5912081380000807, 15.344763490551465]
10899 : 2027-01-10, [0.5666788901879977, 3.6151544713077106, 15.568166638504291]
10900 : 2027-01-10, [0.5710875326453443, 3.6477948731769287, 15.781117594177728]
10901 : 2027-01-10, [0.573530020802541, 3.6708496865303877, 16.00562029266707]
10902 : 2027-01-10, [0.5780053610344418, 3.705132627784465, 16.216862011181092]
10903 : 2027-01-10, [0.5801732980308135, 3.7268559137601502, 16.442970788209035]
10904 : 2027-01-10, [0.5844558404644702, 3.759937460638308, 16.655606698897223]
10905 : 2027-01-10, [0.588488420064042, 3.790603664511546, 16.87090791542441]
10906 : 2027-01-10, [0.5905035970151752, 3.812898740924864, 17.096597662059963]
10907 : 2027-01-10, [0.5922986396613109, 3.8330501896531093, 17.32465117068558]
10908 : 2027-01-10, [0.5962363422055139, 3.864244816478073, 17.53951884131641]
10909 : 2027-01-10, [0.5979928071118352, 3.8859249837136463, 17.76608220917452]
10910 : 2027-01-10, [0.5993816981140286, 3.9034267892503585, 17.997191512635613]
10911 : 2027-01-10, [0.6008557118687217, 3.9238069386381045, 18.225337349493174]
10912 : 2027-01-10, [0.604463896243295, 3.953595846499265, 18.441940257257443]
10913 : 2027-01-10, [0.6057254136965113, 3.9727322808512047, 18.671542305452284]
10914 : 2027-01-10, [0.6043487185613722, 3.9776834042869096, 18.91796787715172]
10915 : 2027-01-10, [0.6053021493675809, 3.995044326697778, 19.149653523934642]
10916 : 2027-01-10, [0.6085515326868248, 4.023297068712268, 19.368151398600904]
10917 : 2027-01-10, [0.6069275076013247, 4.029155056705089, 19.613917435693587]
10918 : 2027-01-10, [0.6074707986803146, 4.044675531407756, 19.84785366991193]
10919 : 2027-01-10, [0.6079750974785217, 4.060235673818498, 20.081789228702977]
10920 : 2027-01-20, [0.18870131922188552, 1.0601686436323832, 8.751130037145732]
10921 : 2027-01-20, [0.1906628792914615, 1.0717484250659994, 8.98758869564254]
10922 : 2027-01-20, [0.19374824917549274, 1.0899133257514628, 9.216338425073044]
10923 : 2027-01-20, [0.19676167344743514, 1.1075268944680547, 9.44571143208451]
10924 : 2027-01-20, [0.19970120199952102, 1.1247173329223612, 9.67558146507812]
10925 : 2027-01-20, [0.20259857788894609, 1.1416381202367054, 9.90576330187435]
10926 : 2027-01-20, [0.20543142835921838, 1.1581169251295889, 10.136451646511194]
10927 : 2027-01-20, [0.2082291353730071, 1.1742258603476634, 10.367545004279329]
10928 : 2027-01-20, [0.21102929009119797, 1.1899626698153627, 10.59900804009344]
10929 : 2027-01-20, [0.2133266736928248, 1.198333656363835, 10.838339669943341]
10930 : 2027-01-20, [0.21227112178291244, 1.2133632801082899, 11.074365598108798]
10931 : 2027-01-20, [0.21532552670779045, 1.227527249472073, 11.307147223820138]
10932 : 2027-01-20, [0.2179173149753784, 1.241539093702324, 11.5405435913223]
10933 : 2027-01-20, [0.22036005044501114, 1.2560147714938104, 11.773625178061177]
10934 : 2027-01-20, [0.22259325731039584, 1.2691191054084139, 12.008287637281189]
10935 : 2027-01-20, [0.2231498848552457, 1.2732121415130877, 12.253637973631665]
10936 : 2027-01-20, [0.22521377511160154, 1.2864739361358855, 12.488312288752512]
10937 : 2027-01-20, [0.2254591466790527, 1.2893282499197838, 12.735212603401163]
10938 : 2027-01-20, [0.22736692180410922, 1.3023894862294678, 12.970243591966423]
10939 : 2027-01-20, [0.2274227729801427, 1.3053753126643084, 13.217201914355549]
10940 : 2027-01-20, [0.2291023914364919, 1.316657761849987, 13.45423984671352]
10941 : 2027-01-20, [0.2288509968477317, 1.3171992527835994, 13.70394975036867]
10942 : 2027-01-20, [0.23035728365071162, 1.3278843433353258, 13.941758373013963]
10943 : 2027-01-20, [0.22990182860348465, 1.328195121840028, 14.191903049556489]
10944 : 2027-01-20, [0.23123325758013358, 1.3377981476500722, 14.430968594769793]
10945 : 2027-01-20, [0.230567106727788, 1.3373818145981087, 14.682051078674101]
10946 : 2027-01-20, [0.227747889483137, 1.3253869977990327, 14.946865112717832]
10947 : 2027-01-20, [0.22877445545832759, 1.33378205061254, 15.187443493929132]
10948 : 2027-01-20, [0.22561993163741179, 1.3204468624418146, 15.453933205920773]
10949 : 2027-01-20, [0.20749739691157165, 1.2325640921942513, 15.809938510894176]
10950 : 2027-01-20, [0.2036483411525615, 1.217143637032841, 16.079208021814598]
10951 : 2027-01-20, [0.19949283151865135, 1.1993022522600334, 16.351204916221313]
10952 : 2027-01-20, [0.19511397876219433, 1.180390748009859, 16.624495273227947]
10953 : 2027-01-20, [0.1539283736842822, 1.019758068865255, 17.07631355745046]
10954 : 2027-01-20, [0.1456864098584192, 0.9835656824235278, 17.370747907718055]
10955 : 2027-01-20, [0.5493573993242691, 3.3865133100403018, 14.814129290635428]
10956 : 2027-01-20, [0.5541137930108841, 3.4193293273086396, 15.026556879680475]
10957 : 2027-01-20, [0.5569266753400616, 3.4423121011867797, 15.25076122347316]
10958 : 2027-01-20, [0.5596099633049314, 3.4645014014131066, 15.475888635281962]
10959 : 2027-01-20, [0.564257893080611, 3.4980444557704016, 15.687697651148989]
10960 : 2027-01-20, [0.5667114239837712, 3.519514746095861, 15.913773829920368]
10961 : 2027-01-20, [0.5690367347986617, 3.540106386884756, 16.140856878316583]
10962 : 2027-01-20, [0.5753642908181624, 3.5815879711222065, 16.34304773805963]
10963 : 2027-01-20, [0.5774574965515825, 3.6010389338056035, 16.571503569642815]
10964 : 2027-01-20, [0.5794894346897405, 3.6203022394143898, 16.800208325895866]
10965 : 2027-01-20, [0.5835975529496589, 3.6510901127148263, 17.015312334335515]
10966 : 2027-01-20, [0.5855858060702672, 3.6717338695729227, 17.242680324356808]
10967 : 2027-01-20, [0.5893707519700514, 3.699174367792773, 17.461454880237177]
10968 : 2027-01-20, [0.5910549254047264, 3.717974155798822, 17.69097091879645]
10969 : 2027-01-20, [0.5949113619954888, 3.7477987547228433, 17.907289883281667]
10970 : 2027-01-20, [0.5940227335546561, 3.7527193433564725, 18.153257923088873]
10971 : 2027-01-20, [0.597656973381772, 3.7811478153698923, 18.371195211248335]
10972 : 2027-01-20, [0.6011762963864727, 3.808981757632534, 18.589841945980993]
10973 : 2027-01-20, [0.6000471818803556, 3.8145676313114416, 18.835385186808203]
10974 : 2027-01-20, [0.6009112296934782, 3.8280749466924404, 19.07101382361408]
10975 : 2027-01-20, [0.6017712409706164, 3.8428797930099745, 19.30534896601941]
10976 : 2027-01-20, [0.6025641192116682, 3.857880171266106, 19.539555709522226]
10977 : 2027-01-20, [0.6032759850379813, 3.8726249936518036, 19.774099021310214]
10978 : 2027-01-20, [0.603822577083589, 3.8865765235757403, 20.00960089934067]
10979 : 2027-01-20, [0.6017333426973374, 3.88802261238128, 20.260244044921382]
10980 : 2027-02-01, [0.18591807452536094, 0.9754486295158289, 8.83863329595881]
10981 : 2027-02-01, [0.18903305875284962, 0.9918429743514957, 9.069123966895654]
10982 : 2027-02-01, [0.19086818811423728, 1.0004081582228035, 9.308723653662959]
10983 : 2027-02-01, [0.19386330959637205, 1.015853200416991, 9.540283489986637]
10984 : 2027-02-01, [0.19683231484040214, 1.0307027730338754, 9.772464912125722]
10985 : 2027-02-01, [0.19906403797898933, 1.038712162422635, 10.012223799598376]
10986 : 2027-02-01, [0.1972227023772818, 1.0531619077818306, 10.249615389840887]
10987 : 2027-02-01, [0.2011020384152816, 1.0744230621778263, 10.474474899406891]
10988 : 2027-02-01, [0.2041225831291365, 1.0797843649171561, 10.716093051953708]
10989 : 2027-02-01, [0.2068435341245751, 1.0925657061161351, 10.950590759759288]
10990 : 2027-02-01, [0.21185539246701499, 1.1226258148209831, 11.165518792712003]
10991 : 2027-02-01, [0.21451054386879784, 1.1350399703019027, 11.400449485829299]
10992 : 2027-02-01, [0.21551402760125196, 1.1384282742995064, 11.646057698099243]
10993 : 2027-02-01, [0.21783727339094755, 1.1514868488391512, 11.880675877769901]
10994 : 2027-02-01, [0.2184044849152592, 1.1539535138813355, 12.127642001203407]
10995 : 2027-02-01, [0.22044964104422937, 1.1652415186387892, 12.364308840316982]
10996 : 2027-02-01, [0.22242621553260306, 1.1762338156170393, 12.601339968850356]
10997 : 2027-02-01, [0.2225679854429392, 1.1766388861662074, 12.850793128390853]
10998 : 2027-02-01, [0.2243584366570943, 1.1867625777508757, 13.08887898559203]
10999 : 2027-02-01, [0.22606295125806958, 1.196708039754158, 13.327229008987773]
11000 : 2027-02-01, [0.2258539892505182, 1.1954263481904, 13.578719662559081]
11001 : 2027-02-01, [0.227378426178845, 1.2042690908074118, 13.818352483013744]
11002 : 2027-02-01, [0.22316230528871098, 1.1807783041390094, 14.096059390572277]
11003 : 2027-02-01, [0.2244451204958687, 1.1884116443426789, 14.33714323516145]
11004 : 2027-02-01, [0.21222693064017664, 1.1278729083022658, 14.659900161057557]
11005 : 2027-02-01, [0.2110748060511924, 1.122151040512556, 14.91677415343625]
11006 : 2027-02-01, [0.20991330730352242, 1.1180419940589554, 15.172044698637524]
11007 : 2027-02-01, [0.20644060974131362, 1.1011415811952994, 15.44241780906339]
11008 : 2027-02-01, [0.17155977020620258, 0.9553523256842252, 15.873087904109573]
11009 : 2027-02-01, [0.16926464905884772, 0.9470770462922937, 16.13365830464886]
11010 : 2027-02-01, [0.16444659766330233, 0.9261906817723853, 16.40936272056431]
11011 : 2027-02-01, [0.1317941731140469, 3.5983170177969668, 14.019888809088986]
11012 : 2027-02-01, [0.12721284200270763, 3.621324281036307, 14.251462876960984]
11013 : 2027-02-01, [0.12246694770615177, 3.6458679620613723, 14.481665090232477]
11014 : 2027-02-01, [0.11534190736317647, 3.661387901979249, 14.723270190657573]
11015 : 2027-02-01, [0.5445200489223792, 3.2402826867835643, 14.965197264294057]
11016 : 2027-02-01, [0.5491519962519578, 3.270602759768202, 15.18024524397984]
11017 : 2027-02-01, [0.5536761618391199, 3.3001066377597486, 15.396217200401132]
11018 : 2027-02-01, [0.55625826150367, 3.31993196922772, 15.623809769268611]
11019 : 2027-02-01, [0.558748910671896, 3.3394019912088493, 15.851849098119255]
11020 : 2027-02-01, [0.5631877150657915, 3.3696239879267016, 16.067188297007508]
11021 : 2027-02-01, [0.5654129817806498, 3.3878193339728906, 16.296767684246458]
11022 : 2027-02-01, [0.5697004931977626, 3.417684792100989, 16.512614714701247]
11023 : 2027-02-01, [0.5717193509213082, 3.4346400694944763, 16.743640579584216]
11024 : 2027-02-01, [0.5758095263285935, 3.4629486508830287, 16.961241822788377]
11025 : 2027-02-01, [0.5776144974891897, 3.478896181574785, 17.193489320936024]
11026 : 2027-02-01, [0.581503031550089, 3.5065399404367588, 17.411957028013152]
11027 : 2027-02-01, [0.5853650242703025, 3.5338071476031216, 17.630827828126574]
11028 : 2027-02-01, [0.5868775990333137, 3.5484032679514264, 17.86471913301526]
11029 : 2027-02-01, [0.5905458444422553, 3.574730393626576, 18.08472376193117]
11030 : 2027-02-01, [0.5920049366460635, 3.5906641859408426, 18.317330877413095]
11031 : 2027-02-01, [0.5933136781561026, 3.605895076976202, 18.550791244867696]
11032 : 2027-02-01, [0.5942692685112951, 3.6170616972490173, 18.788669034239685]
11033 : 2027-02-01, [0.5953730354836237, 3.63143562494168, 19.023191339574698]
