Itinerary: ['earth', 'venus', 'saturn', 'pluto']
case #: launch date, tof of each leg
4320  : 2024-01-01, [0.16157809681520338, 0.8352295267589694, 9.003192376425826]
4321  : 2024-01-01, [0.16531774003272448, 0.8552673788995693, 9.229414881067706]
4322  : 2024-01-01, [0.16793523712826644, 0.867842441967938, 9.464222320903795]
4323  : 2024-01-01, [0.17043124919873381, 0.8799413314362035, 9.699627419365063]
4324  : 2024-01-01, [0.17282750920920226, 0.8916201591427857, 9.935552331648013]
4325  : 2024-01-01, [0.1751420541501102, 0.9030672135652591, 10.17179073228463]
4326  : 2024-01-01, [0.17738043483144572, 0.9139795171981915, 10.408640047970364]
4327  : 2024-01-01, [0.17955103728153388, 0.9245409800154878, 10.645907982702978]
4328  : 2024-01-01, [0.18167370725318338, 0.935180293134665, 10.88314599961215]
4329  : 2024-01-01, [0.18370406849375517, 0.945007771952763, 11.121288159553483]
4330  : 2024-01-01, [0.18568844994898648, 0.9549320602470615, 11.359379489803953]
4331  : 2024-01-01, [0.18761633783013007, 0.964742337039055, 11.597641325130816]
4332  : 2024-01-01, [0.1894246087142377, 0.9732209875782907, 11.837354403707472]
4333  : 2024-01-01, [0.19121492027021417, 0.9821365567910441, 12.076648522938742]
4334  : 2024-01-01, [0.19292948071356408, 0.9908485479692253, 12.31622197131721]
4335  : 2024-01-01, [0.1945853283612623, 0.9990722257604535, 12.556342445878286]
4336  : 2024-01-01, [0.1961120459099303, 1.0060450237585885, 12.797842930331482]
4337  : 2024-01-01, [0.19763833532638445, 1.0135873177781947, 13.038774346895421]
4338  : 2024-01-01, [0.19903043167369774, 1.0198314600164748, 13.281138108309827]
4339  : 2024-01-01, [0.19873490109295144, 1.0171117637642377, 13.534153335142813]
4340  : 2024-01-01, [0.20001175536971488, 1.0233459819214088, 13.776642262708876]
4341  : 2024-01-01, [0.20295971250674938, 1.0390689410873655, 14.007971346405885]
4342  : 2024-01-01, [0.20238697297883304, 1.0348913015495942, 14.262721725471573]
4343  : 2024-01-01, [0.19640472072189988, 1.0028293159224504, 14.55076596335565]
4344  : 2024-01-01, [0.19540482477083246, 0.9957688646241503, 14.808826310605017]
4345  : 2024-01-01, [0.1962665231334169, 1.0007753013775915, 15.05295817548899]
4346  : 2024-01-01, [0.19504386287579153, 0.9925255264994699, 15.31243061062474]
4347  : 2024-01-01, [0.1712230300615407, 0.8849451996580304, 15.693831770280429]
4348  : 2024-01-01, [0.16933567286066523, 0.8748961086650199, 15.955768218474315]
4349  : 2024-01-01, [0.1673591709822853, 0.8662062840449688, 16.216434544972746]
4350  : 2024-01-01, [0.14000534425726494, 3.3985526361125453, 13.961442019630189]
4351  : 2024-01-01, [0.1380905932552854, 3.4291804033558937, 14.182729003388818]
4352  : 2024-01-01, [0.1341836753013491, 3.450788259555887, 14.415028065142762]
4353  : 2024-01-01, [0.13200776796232275, 3.478890999656138, 14.63910123238154]
4354  : 2024-01-01, [0.12776753110084757, 3.49859574685976, 14.873636722039391]
4355  : 2024-01-01, [0.12330365047451408, 3.516124523314211, 15.110571826211274]
4356  : 2024-01-01, [0.11868424254711835, 3.5342341270861906, 15.34708163036669]
4357  : 2024-01-01, [0.115945283660186, 3.559902557729149, 15.574152158610664]
4358  : 2024-01-01, [0.5142157151117444, 3.0548168278123566, 15.9309674570759]
4359  : 2024-01-01, [0.5182732794492734, 3.0810692555426464, 16.15065746500808]
4360  : 2024-01-01, [0.522078715279149, 3.105247470917672, 16.37267381380318]
4361  : 2024-01-01, [0.524144930404887, 3.1207182897947177, 16.605136779800393]
4362  : 2024-01-01, [0.5259042715033047, 3.1338033044989775, 16.840292423997717]
4363  : 2024-01-01, [0.5315586165297214, 3.1686090874447608, 17.049832296025517]
4364  : 2024-01-01, [0.535214686463683, 3.1925517942379296, 17.27223351929839]
4365  : 2024-01-01, [0.5367272197644608, 3.2043581613860272, 17.508914618849513]
4366  : 2024-01-01, [0.5402384448042266, 3.227561072697701, 17.732200482498076]
4367  : 2024-01-01, [0.5457070299444139, 3.2611735113609774, 17.94311945869461]
4368  : 2024-01-01, [0.5471137446057379, 3.2732608954183, 18.17962535997596]
4369  : 2024-01-01, [0.5482220420139725, 3.2826958273629696, 18.419082130623057]
4370  : 2024-01-01, [0.5514601931045302, 3.304507144336867, 18.6440326625586]
4371  : 2024-01-01, [0.5525639889994292, 3.3148134447200146, 18.882622566280556]
4372  : 2024-01-01, [0.5556711985880227, 3.3359800650116305, 19.108348736400348]
4373  : 2024-01-01, [0.5586768386889599, 3.356597993869948, 19.334725167441093]
4374  : 2024-01-01, [0.5616294545188416, 3.376697684860391, 19.561672860620764]
4375  : 2024-01-01, [0.5623596762444099, 3.3851101491277693, 19.802530174627822]
4376  : 2024-01-01, [0.5629384330579067, 3.3929926378356523, 20.04406892910644]
4377  : 2024-01-01, [0.5656650059309882, 3.4119527128142613, 20.27238228125475]
4378  : 2024-01-01, [0.5683327014741525, 3.430615564279363, 20.501051734246484]
4379  : 2024-01-01, [0.5709309250395425, 3.4489175200557263, 20.73015155490473]
4380  : 2024-01-10, [0.1607197212095343, 0.7804841091453714, 9.058796169645094]
4381  : 2024-01-10, [0.16331288519778872, 0.791768866242755, 9.294918248559457]
4382  : 2024-01-10, [0.1658023304979822, 0.8026587475117264, 9.531538921990292]
4383  : 2024-01-10, [0.16824264271790365, 0.8137984805283563, 9.76795887675374]
4384  : 2024-01-10, [0.17056064144226626, 0.8239057647941564, 10.005533593763577]
4385  : 2024-01-10, [0.17281533732111648, 0.8335350320451195, 10.243649630633763]
4386  : 2024-01-10, [0.1750251541507583, 0.8434039228007411, 10.481570923048501]
4387  : 2024-01-10, [0.1771199981586137, 0.8523737169585492, 10.720506284882838]
4388  : 2024-01-10, [0.1791980999224108, 0.8615700556305597, 10.959231844447029]
4389  : 2024-01-10, [0.18115494045281014, 0.8696451228061606, 11.19919993674103]
4390  : 2024-01-10, [0.18303647178179122, 0.8773162382145091, 11.4396472900037]
4391  : 2024-01-10, [0.1848930036059716, 0.8853643307429696, 11.679742665651059]
4392  : 2024-01-10, [0.18664186461473467, 0.8923221803466281, 11.921035955038638]
4393  : 2024-01-10, [0.18835993328244618, 0.8994622908064794, 12.162177775911074]
4394  : 2024-01-10, [0.19001177827097537, 0.90644559126065, 12.403542630468376]
4395  : 2024-01-10, [0.19154544469769266, 0.9122559506178123, 12.646198604684495]
4396  : 2024-01-10, [0.19306462294069762, 0.9183473756409495, 12.888588001418352]
4397  : 2024-01-10, [0.19449884469014317, 0.9242039896867603, 13.131297165623096]
