Itinerary: ['earth', 'mars', 'saturn', 'pluto']
case #: launch date, tof of each leg
8640  : 2026-01-01, [0.3420203687656835, 0.5339186198194381, 9.124061011414877]
8641  : 2026-01-01, [0.35477767169093793, 0.529851967816748, 9.365370360492314]
8642  : 2026-01-01, [0.3667957170456651, 0.5284786034385608, 9.604725679515775]
8643  : 2026-01-01, [0.3799987285070549, 0.5236379636555775, 9.846363307837368]
8644  : 2026-01-01, [0.38419364509773524, 0.7486432087423536, 9.86716314615991]
8645  : 2026-01-01, [0.3390452078270502, 2.295045456865469, 8.61590933530748]
8646  : 2026-01-01, [0.3496549522489879, 2.3547585286508568, 8.795586519100155]
8647  : 2026-01-01, [0.36148199655795765, 2.3923841339885623, 8.996133869453478]
8648  : 2026-01-01, [0.3735883931901946, 2.426891222492178, 9.199520384317628]
8649  : 2026-01-01, [0.4519000482452759, 0.7656978087743301, 11.032402142980395]
8650  : 2026-01-01, [0.4670889806891141, 0.7633537757716706, 11.269557243539216]
8651  : 2026-01-01, [0.4825660878523977, 0.7606253913346629, 11.50680852081294]
8652  : 2026-01-01, [0.4983572607933874, 0.7568711257821065, 11.744771613424506]
8653  : 2026-01-01, [0.5143962048470613, 0.7524737734863215, 11.983130021666618]
8654  : 2026-01-01, [0.5321633095428315, 0.7433815244484338, 12.224455166008736]
8655  : 2026-01-01, [0.5488516457370254, 0.7379568602202083, 12.463191494042766]
8656  : 2026-01-01, [0.5672604848364247, 0.7273448992898116, 12.705394615873765]
8657  : 2026-01-01, [0.5860138597622053, 0.7172201784896859, 12.946765961748108]
8658  : 2026-01-01, [0.6034567976730804, 0.7118796755462982, 13.184663526780623]
8659  : 2026-01-01, [0.5193197936020835, 3.061900727284555, 11.168779479113363]
8660  : 2026-01-01, [0.5522669988784606, 2.7549975492136576, 11.69273545190788]
8661  : 2026-01-01, [0.5698044711881719, 2.775168865571709, 11.905026663240118]
8662  : 2026-01-01, [0.5654575744313578, 3.2370839161658655, 11.697458509402777]
8663  : 2026-01-01, [0.5825301556901127, 3.280221758563362, 11.887248085746526]
8664  : 2026-01-01, [0.6003297220687039, 3.318625010349996, 12.0810452675813]
8665  : 2026-01-01, [0.6196883823710784, 3.3496740402810237, 12.280637577347898]
8666  : 2026-01-01, [0.6393253920123428, 3.379328142553802, 12.481346465433855]
8667  : 2026-01-01, [0.6592380906078908, 3.408311972807214, 12.682449936584893]
8668  : 2026-01-01, [0.6794429689271188, 3.436700598713353, 12.88385643235953]
8669  : 2026-01-01, [0.701431057186576, 3.461291807130175, 13.08727713568325]
8670  : 2026-01-01, [0.7235171949660143, 3.4836831586431183, 13.292799646390867]
8671  : 2026-01-01, [0.7460015292390936, 3.5073652683267116, 13.496633202434195]
8672  : 2026-01-01, [0.7685990421710197, 3.5299266513013206, 13.701474306527661]
8673  : 2026-01-01, [0.792979793355037, 3.5487266525391457, 13.908293554105818]
8674  : 2026-01-01, [0.817260687010672, 3.56623569990444, 14.11650361308489]
8675  : 2026-01-01, [0.8377154160312301, 3.5897631116790225, 14.322521472289747]
8676  : 2026-01-01, [0.4966625443111867, 1.9598580608920069, 16.543479394796805]
8677  : 2026-01-01, [0.6244736594701994, 3.7956257922897323, 14.829900548240069]
8678  : 2026-01-01, [0.6382816297093842, 3.8251488431615432, 15.036569527129073]
8679  : 2026-01-01, [0.7638260058610372, 4.030333206704243, 14.95584078743472]
8680  : 2026-01-01, [0.7819031724473058, 4.063307443694969, 15.154789383857725]
8681  : 2026-01-01, [0.8001208566701243, 4.095233848005283, 15.354645295324593]
8682  : 2026-01-01, [0.820328366459703, 4.12294614776617, 15.556725485774127]
8683  : 2026-01-01, [0.8389128457203927, 4.154092221482502, 15.756994932797108]
8684  : 2026-01-01, [0.07831086332879304, 4.237900798026729, 16.68378833864448]
8685  : 2026-01-01, [0.08823837863314431, 4.263864177888116, 16.89789744347874]
8686  : 2026-01-01, [0.09991083665726637, 4.284465124426828, 17.115624038915904]
8687  : 2026-01-01, [0.11048736491693734, 4.308335839994549, 17.331176795088517]
8688  : 2026-01-01, [0.12124284478540646, 4.332547797842021, 17.54620935737257]
8689  : 2026-01-01, [0.13351950985153838, 4.351460460468236, 17.765020029680226]
8690  : 2026-01-01, [0.14732602676749953, 4.365017079792317, 17.98765689344018]
8691  : 2026-01-01, [0.15854953230212138, 4.38750529031127, 18.20394517738661]
8692  : 2026-01-01, [0.6003880939817712, 2.4487839181317703, 19.95082798788646]
