Itinerary: ['earth', 'MARS_BARYCENTER', 'SATURN_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
6480  : 2025-01-01, [0.056036734888487205, 1.718145266760068, 8.225817998351445]
6481  : 2025-01-01, [0.057380609052425355, 1.7612516781609855, 8.431367712786589]
6482  : 2025-01-01, [0.05936200495868131, 1.802388963074226, 8.638249031967092]
6483  : 2025-01-01, [0.06136842139551865, 1.843417856258075, 8.845213722346406]
6484  : 2025-01-01, [0.06273365626805902, 1.8866072751726672, 9.050659068559275]
6485  : 2025-01-01, [0.06477836733869304, 1.9275461434077288, 9.257675489253577]
6486  : 2025-01-01, [0.06684688824827482, 1.9683527155459661, 9.464800396205758]
6487  : 2025-01-01, [0.06823766086423508, 2.0116375102487036, 9.67012482888706]
6488  : 2025-01-01, [0.07034247187623527, 2.0523109414045035, 9.877346586719261]
6489  : 2025-01-01, [0.07247933370997123, 2.0929511857969145, 10.084569480493114]
6490  : 2025-01-01, [0.07388797131397482, 2.1361144216311394, 10.289997607054886]
6491  : 2025-01-01, [0.07605995910482216, 2.1767516049472904, 10.497188435947887]
6492  : 2025-01-01, [0.07825312372801983, 2.2172037517022107, 10.704543124569769]
6493  : 2025-01-01, [0.08047771388292134, 2.2577657118965724, 10.911756574220506]
6494  : 2025-01-01, [0.08192048661564874, 2.300768868035822, 11.11731064534853]
6495  : 2025-01-01, [0.08418045219130825, 2.3412043522731376, 11.324615195535555]
6496  : 2025-01-01, [0.0864607689141154, 2.381448405658131, 11.532090825427753]
6497  : 2025-01-01, [0.08877395342824725, 2.4216713271440824, 11.739554719427671]
6498  : 2025-01-01, [0.09024848189808261, 2.464801595015212, 11.944949923086705]
6499  : 2025-01-01, [0.09259535025833567, 2.505051217436242, 12.152353432305423]
6500  : 2025-01-01, [0.09496295390814943, 2.544947295072288, 12.360089751019563]
6501  : 2025-01-01, [0.09735939517915228, 2.5850852462835006, 12.567555358537346]
6502  : 2025-01-01, [0.0997770266302238, 2.6250791403270584, 12.775143833042717]
6503  : 2025-01-01, [0.10129688170107301, 2.668043345084412, 12.980659773214514]
6504  : 2025-01-01, [0.10375426496046758, 2.708073345283919, 13.188172389755614]
6505  : 2025-01-01, [0.1062314112373687, 2.747726764484208, 13.396041824278425]
