Itinerary: ['earth', 'MARS_BARYCENTER', 'SATURN_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
4451  : 2024-01-20, [0.3640717096775081, 0.8320923936026725, 11.55383589671982]
4452  : 2024-01-20, [0.3196992424523414, 2.602074855458535, 10.078225902089123]
4453  : 2024-01-20, [0.329151467413264, 2.6375830793856463, 10.283265453201091]
4454  : 2024-01-20, [0.3387550799969024, 2.671019476662876, 10.490225443340222]
4455  : 2024-01-20, [0.4077075451224408, 0.8477375635777803, 12.49455489129978]
4456  : 2024-01-20, [0.4183515872104682, 0.8516068604325486, 12.730041552356985]
4457  : 2024-01-20, [0.4304255476562365, 0.8509114557578465, 12.968662996585918]
4458  : 2024-01-20, [0.4426621130121713, 0.8491234012098808, 13.208214485777948]
4459  : 2024-01-20, [0.4551410512283075, 0.8471195551673179, 13.447739393604376]
4460  : 2024-01-20, [0.46780186294057136, 0.8443043930940118, 13.687893743965418]
4461  : 2024-01-20, [0.4806975553393758, 0.8412856511869231, 13.9280167934737]
4462  : 2024-01-20, [0.49521298535620695, 0.8323952134514662, 14.172391801192328]
4463  : 2024-01-20, [0.5085457499871557, 0.8278046796751106, 14.413649570337736]
4464  : 2024-01-20, [0.5235461247837596, 0.8175080474244313, 14.658945827791808]
4465  : 2024-01-20, [0.5389041310620647, 0.8069205772581323, 14.904175291679802]
4466  : 2024-01-20, [0.5528946303477746, 0.801271969866706, 15.14583339978552]
4467  : 2024-01-20, [0.5702215683026715, 0.7877132673863306, 15.392065164310997]
4468  : 2024-01-20, [0.4908234339135985, 3.4196891379962113, 13.089487428090191]
4469  : 2024-01-20, [0.5200355450678315, 3.0660810369058717, 13.663883418026298]
4470  : 2024-01-20, [0.5352217377954603, 3.083474611115506, 13.881303651089034]
4471  : 2024-01-20, [0.5521217731538884, 3.0971878683389935, 14.100690358507117]
4472  : 2024-01-20, [0.5442924903524881, 3.6317425067594917, 13.823965002888022]
4473  : 2024-01-20, [0.5590220038345785, 3.6652987023512735, 14.025679293814148]
4474  : 2024-01-20, [0.5743334607767223, 3.7001666862290383, 14.22549985299424]
4475  : 2024-01-20, [0.5911651938983934, 3.7266032242790743, 14.432231581822533]
