Itinerary: ['earth', 'mars', 'saturn', 'pluto']
case #: launch date, tof of each leg
2240  : 2023-01-10, [0.20611284102697083, 1.9014466443465354, 12.892440514626493]
2241  : 2023-01-10, [0.21238225084841572, 1.9217584915671486, 13.115859257584436]
2242  : 2023-01-10, [0.2187274840220618, 1.9416273520597611, 13.339645163918178]
2243  : 2023-01-10, [0.22513213276677008, 1.9607014245222067, 13.564166442711022]
2244  : 2023-01-10, [0.23164096459162348, 1.97957026360646, 13.788788771801917]
2245  : 2023-01-10, [0.23821461104007063, 1.9981029239574204, 14.013682465002507]
2246  : 2023-01-10, [0.6933389355288773, 2.5382758248794763, 13.268385239591646]
2247  : 2023-01-10, [0.05604987016508909, 2.676728910276919, 14.01722121955799]
2248  : 2023-01-10, [0.05802429649037504, 2.708930665572228, 14.233045037937396]
2249  : 2023-01-10, [0.059577635149570284, 2.744359372159991, 14.446062992690438]
2250  : 2023-01-10, [0.061209715342651204, 2.779283655514233, 14.659506629143115]
2251  : 2023-01-10, [0.0638241688251872, 2.8110745140113718, 14.875101317163441]
2252  : 2023-01-10, [0.06559756300700277, 2.8457790155450606, 15.088623421447936]
2253  : 2023-01-10, [0.06839108786358476, 2.876844591722253, 15.304764320414161]
2254  : 2023-01-10, [0.07025273465287077, 2.9114589806847335, 15.518288284662395]
2255  : 2023-01-10, [0.0731709841275216, 2.9420020652463017, 15.734826950626175]
2256  : 2023-01-10, [0.07615397312915641, 2.9726801464840578, 15.951165880386787]
2257  : 2023-01-10, [0.07812755962765962, 3.00665306246513, 16.16521937790721]
2258  : 2023-01-10, [0.08119839243485798, 3.0365124124724434, 16.3822891950927]
2259  : 2023-01-10, [0.08323104819640154, 3.0698865590756657, 16.59688239272793]
2260  : 2023-01-10, [0.0863921296354213, 3.09949735978462, 16.814110510579958]
2261  : 2023-01-10, [0.08960273918132422, 3.1291815042799844, 17.031215756538693]
2262  : 2023-01-10, [0.0917284936836475, 3.1620909948759217, 17.246180511440432]
2263  : 2023-01-10, [0.09501567832820976, 3.1910309590376236, 17.463953362634165]
2264  : 2023-01-10, [0.09835668027174825, 3.219815528088247, 17.681827791640007]
