Itinerary: ['earth', 'mars', 'earth', 'jupiter', 'pluto']
case #: launch date, tof of each leg
15120 : 2029-01-01, [0.46280874655062154, 0.5252324368388107, 2.033059457112098, 6.97889935949847]
15121 : 2029-01-01, [0.4904676807142487, 0.5322655463305974, 2.040242781155818, 7.187023991799335]
15122 : 2029-01-01, [0.5201665886949539, 0.5338442559746404, 2.0191737457540455, 7.426815409576361]
15123 : 2029-01-01, [0.5465660128583203, 0.5441654254549615, 2.01396828459267, 7.645300277094048]
15124 : 2029-01-01, [0.5779437871789472, 0.5493126985712872, 1.9802731390283972, 7.892470375221368]
15125 : 2029-01-01, [0.6072123216841596, 0.5622958614194838, 1.939016213704839, 8.141475603191518]
15126 : 2029-01-01, [0.6369604689227409, 0.5764446609389772, 1.8869541927667088, 8.399640677371572]
15127 : 2029-01-01, [0.6716988140134389, 0.5942480679197536, 1.81326985707706, 8.670783260989747]
15128 : 2029-01-01, [0.7102488322526803, 0.6163580249486581, 1.726936572553159, 8.946456570245502]
15129 : 2029-01-01, [0.7493108010769155, 0.6544343140261162, 1.619118456878261, 9.227136428018708]
15130 : 2029-01-01, [0.3645960515524741, 0.8203086585856366, 2.6938335664297557, 8.621261723432134]
15131 : 2029-01-01, [0.3808317944612864, 0.8250369904530541, 2.6791522077135594, 8.8649790073721]
15132 : 2029-01-01, [0.3993413967748435, 0.8248928000067602, 2.650205983286682, 9.125559819931715]
15133 : 2029-01-01, [0.7548448610555536, 0.23519892996820083, 2.435601975452342, 9.824354233523904]
15134 : 2029-01-01, [1.0276124609397825, 0.4328650486414929, 1.9939222874253242, 10.0456002029934]
15135 : 2029-01-01, [0.9055786940232098, 1.4221822524745709, 4.1524469364819305, 7.269792117020289]
15136 : 2029-01-01, [0.9722464636630374, 1.415420394401251, 4.108650102982044, 7.5036830389536675]
15137 : 2029-01-01, [1.272030936799061, 0.18342814465317225, 3.7303204369433534, 9.064220481604414]
15138 : 2029-01-01, [1.4195260284780384, 0.1253022449948056, 3.502952695537004, 9.452219030990152]
15139 : 2029-01-01, [1.4156263364728696, 1.5164774851387086, 2.9345737600292296, 8.88332241835919]
15140 : 2029-01-01, [1.5703901856996465, 1.5126550642811627, 2.6230167642731104, 9.293937985746082]
15141 : 2029-01-01, [0.1619377217186751, 1.6890439246429312, 2.572627944862873, 10.82639040877552]
15142 : 2029-01-01, [0.2667516662208962, 1.6646247570632757, 2.1712667648537445, 11.397356811862084]
15143 : 2029-01-01, [0.7064649504873359, 0.1595150175662411, 0.5013242512595123, 14.382695780686909]
15144 : 2029-01-01, [0.6989810668386717, 0.12693950852164165, 1.9420189619710644, 13.232060462668624]
15145 : 2029-01-01, [0.7670136038542862, 0.09572416749600265, 1.812353554985673, 13.574908673664039]
15146 : 2029-01-01, [0.09233325597872132, 0.06981324564265924, 1.759944759464093, 14.577908738914527]
15147 : 2029-01-01, [0.13184916352868037, 0.8046316423047712, 1.5477385179562373, 14.26578067621031]
15148 : 2029-01-01, [0.17941050426161265, 0.7987577778927147, 1.406536460451541, 14.615295257394132]
15149 : 2029-01-01, [0.2257159055040125, 0.7734274226666626, 1.234479948990242, 15.016376722839082]
15150 : 2029-01-01, [0.2296363024867574, 0.6425262817583308, 0.687316227573563, 15.940521188181348]
15151 : 2029-01-01, [0.8643812772563705, 2.1797529490871006, 2.0780370386454727, 12.627828735011057]
15152 : 2029-01-01, [0.28708554950843, 0.6764995803324289, 0.8109278163893973, 16.225487053769747]
15153 : 2029-01-01, [0.31450880268365256, 0.6443494272283999, 0.6500358594005882, 16.64110591068736]
