Itinerary: ['earth', 'mars', 'earth', 'jupiter', 'pluto']
case #: launch date, tof of each leg
4320  : 2024-01-01, [0.41160674908850975, 0.11869309853967572, 0.9497505018820044, 8.51994965048981]
4321  : 2024-01-01, [0.4286831257032774, 0.1189348140214027, 0.9534363789389867, 8.748945681336334]
4322  : 2024-01-01, [0.44643745850779964, 0.1191282945831083, 0.953394353049467, 8.981039893859625]
4323  : 2024-01-01, [0.4657392123597891, 0.11868580916813563, 0.9518749137215623, 9.213700064750512]
4324  : 2024-01-01, [0.48664033378842486, 0.11754515432146004, 0.9469455222191601, 9.448868989670954]
4325  : 2024-01-01, [0.5072162272475237, 0.11679657391571618, 0.938245280269243, 9.687741918567518]
4326  : 2024-01-01, [0.5297016054769358, 0.11533224071730211, 0.9270949219018649, 9.927871231903897]
4327  : 2024-01-01, [0.5540921591431925, 0.11302446880700008, 0.9090349386631845, 10.173848433386624]
4328  : 2024-01-01, [0.6001303148472125, 0.6413405444332558, 0.6480338572494319, 10.110495283470101]
4329  : 2024-01-01, [0.6287685750143376, 0.6522438340027304, 0.6088138261144332, 10.360173764868499]
4330  : 2024-01-01, [0.658045637113284, 0.6628715981037856, 0.5724719007968117, 10.60661086398612]
4331  : 2024-01-01, [0.6908082057618814, 0.6738762210761501, 0.5315842163803683, 10.8537313567816]
4332  : 2024-01-01, [0.7236742339596813, 0.6817304783140209, 0.47836077091110496, 11.116234516815192]
4333  : 2024-01-01, [0.6572236925886754, 0.6003084923802292, 2.1552148726996907, 9.837252942331403]
4334  : 2024-01-01, [0.7600970287567608, 0.5703573478188155, 2.3020358560620706, 9.867509767362352]
4335  : 2024-01-01, [0.7992144765059211, 0.5751467035108717, 2.2748315274716413, 10.100807292511567]
4336  : 2024-01-01, [0.8422890006850271, 0.5799913171544173, 2.2496777436052144, 10.32804193855534]
4337  : 2024-01-01, [0.8871358134362758, 0.5873782974363368, 2.2103690583599365, 10.565116830767451]
4338  : 2024-01-01, [0.9308118362724526, 0.5922779037829813, 2.17505389737459, 10.801856362569977]
4339  : 2024-01-01, [0.11485129992305006, 0.5905314727718587, 2.0715517305044244, 11.973065496800666]
4340  : 2024-01-01, [0.48278600682528344, 0.7989665811828437, 1.4859862448837229, 12.23226116710815]
4341  : 2024-01-01, [0.6542816745952776, 0.45653904045596533, 2.2585681541400997, 11.880611130808656]
4342  : 2024-01-01, [0.6781722414259951, 0.4568231525999398, 2.242500156227855, 12.12250444974621]
4343  : 2024-01-01, [0.6993618925198236, 0.463362181887797, 2.2275985707529093, 12.359677354839471]
4344  : 2024-01-01, [0.7249209678113679, 0.46663681769663956, 2.2004918471641055, 12.607950367327888]
4345  : 2024-01-01, [0.7502471815105612, 0.46623710183413025, 2.1706562589276106, 12.862859457727698]
4346  : 2024-01-01, [1.0414005456163775, 0.9296824451653225, 0.6841743737067886, 13.84474263551151]
4347  : 2024-01-01, [1.0811168762245718, 0.9425041458859603, 0.6379094151894181, 14.088469562700048]
4348  : 2024-01-01, [0.12130783313597066, 0.5081324394111038, 2.34903827734386, 14.021521450109066]
4349  : 2024-01-01, [0.14548048558448087, 0.4998586551019255, 2.2898928071133495, 14.314768052200243]
4350  : 2024-01-01, [0.1808650312218486, 0.5080508833099969, 2.2117590845149353, 14.59932500095322]
4351  : 2024-01-01, [0.2094501328336778, 0.4960701358115887, 2.135254158227733, 14.909225573127]
4352  : 2024-01-01, [0.23649611826822395, 0.4873316302782563, 2.060170870358721, 15.216001381094797]
4353  : 2024-01-01, [0.26953022313183206, 0.4674115286923221, 1.9598751364810516, 15.553183111694795]
4354  : 2024-01-01, [0.6382311496463217, 0.882771684759614, 1.7194981010588481, 15.259499064535216]
4355  : 2024-01-01, [0.30851088904615054, 0.4876532341345582, 1.9399142574376533, 16.013921619381637]
4356  : 2024-01-01, [0.8005936252731497, 0.5859120927362669, 0.7663541462619182, 16.84714013572867]
4357  : 2024-01-01, [0.6937763901494701, 0.5076412949941264, 3.5548318186152583, 14.493750496241145]
4358  : 2024-01-01, [0.7612163390039655, 0.5455060350250029, 3.452643865770248, 14.740633760200783]
4359  : 2024-01-01, [0.7869534231784235, 0.5633962656836405, 3.4253568964113796, 14.974293414726555]
4360  : 2024-01-01, [1.0146800007949786, 0.21504222145821064, 1.853225742933821, 16.91705203481299]
4361  : 2024-01-01, [1.0346945956862448, 0.2256930440916417, 1.8418976501399327, 17.14771471008218]
4362  : 2024-01-01, [1.461656054965974, 1.1416139421382847, 1.0328968915825132, 16.86383311131323]
4363  : 2024-01-01, [1.5097386319623822, 1.147200892416877, 0.953258501677902, 17.13980197394284]
4364  : 2024-01-01, [1.4002981996013475, 0.7226074859143315, 3.3787502039772805, 15.49834411050704]
4365  : 2024-01-01, [1.469425510204795, 0.6752724069289675, 3.249937090699826, 15.85536499216641]
4366  : 2024-01-01, [1.5431752870475057, 0.6121810047372342, 3.096951809191067, 16.247691899024193]
4367  : 2024-01-01, [1.609825635131836, 0.5468361115937512, 2.921888996970042, 16.671449256304374]
4368  : 2024-01-01, [0.14614620769619366, 0.527429822339452, 2.948662669399657, 18.377761300564696]
4369  : 2024-01-01, [0.1708539155867548, 0.4639948072158297, 2.7725216356934115, 18.842629641504004]
4370  : 2024-01-01, [0.17272814625115404, 0.6669650445865529, 3.2047633046450796, 18.455543504517212]
4371  : 2024-01-01, [0.21120072359251624, 0.605988753681224, 2.9654414246385996, 18.967369098087662]
4372  : 2024-01-01, [0.6789929005155437, 0.49064953057971616, 2.290920453335362, 19.539437115569378]
4373  : 2024-01-01, [0.24487239316473988, 0.5309259099639696, 2.8228928608810766, 19.651308835990214]
4374  : 2024-01-01, [0.7575573637149238, 0.33806375273813016, 1.9471310350696622, 20.457247848477284]
4375  : 2024-01-01, [0.878254127434339, 0.1395620439147565, 4.006519325978377, 18.725664502672526]
4376  : 2024-01-01, [0.8825718150980117, 0.9520806262602957, 1.7217055064543287, 20.443642052187364]
4377  : 2024-01-01, [0.8423445545470967, 0.9150889716534688, 1.5749289802707918, 20.917637493528645]
4378  : 2024-01-01, [0.8665161498428151, 0.939276848722159, 1.5050883640033843, 21.189118637431637]
4379  : 2024-01-01, [1.0941851619615655, 1.1359688518986015, 2.140661195975135, 20.379184790164697]
4380  : 2024-01-10, [0.40596090218729136, 0.11725462763737009, 0.9281693629668205, 8.548615107208517]
4381  : 2024-01-10, [0.42300008267477257, 0.11748144069264475, 0.9315887845499647, 8.777929692082617]
4382  : 2024-01-10, [0.4406438895220965, 0.11762605062189956, 0.9306826853194533, 9.01104737453655]
4383  : 2024-01-10, [0.4598575383175521, 0.11712932296461034, 0.9274604883571377, 9.2455526503607]
4384  : 2024-01-10, [0.4812911671668082, 0.1144242081018469, 0.919934837824814, 9.484349786906531]
4385  : 2024-01-10, [0.5014086298513465, 0.11515445684433549, 0.9130338062228088, 9.72040310708151]
4386  : 2024-01-10, [0.5240601988632247, 0.11188905836728863, 0.8969701895507203, 9.967080553218768]
4387  : 2024-01-10, [0.5479683157946852, 0.1110997760880673, 0.8854757334462573, 10.20545617467099]
4388  : 2024-01-10, [0.5718170721882084, 0.1089438585700027, 0.8651562232692707, 10.454082845972518]
4389  : 2024-01-10, [0.622235230280766, 0.6520450659686666, 0.5815797973019419, 10.394139906448626]
4390  : 2024-01-10, [0.6515121766468296, 0.6627641675852651, 0.5380995538958222, 10.647624101872083]
