Itinerary: ['earth', 'JUPITER_BARYCENTER', 'SATURN_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
10800 : 2027-01-01, [0.38175191478654064, 1.9329044805411126, 7.685343604672348]
10801 : 2027-01-01, [0.39211894709696765, 1.9827362754310502, 7.8751447774719825]
10802 : 2027-01-01, [0.4022533914201649, 2.0331485533033264, 8.064598055276509]
10803 : 2027-01-01, [0.41269515652812544, 2.083186389244799, 8.254118454227074]
10804 : 2027-01-01, [0.42320285456968887, 2.1334524679049656, 8.443344677525346]
10805 : 2027-01-01, [0.43371743877234775, 2.183884935146547, 8.632397626081106]
10806 : 2027-01-01, [0.4442811758852188, 2.2342361163548876, 8.821482707759893]
10807 : 2027-01-01, [0.4546084349220819, 2.285367478510455, 9.010024086567462]
10808 : 2027-01-01, [0.4652477626097611, 2.335944943231769, 9.198807294158469]
10809 : 2027-01-01, [0.4759176263384512, 2.386838460860859, 9.38724391280069]
10810 : 2027-01-01, [0.48666709035334416, 2.4377858305555438, 9.575547079091113]
10811 : 2027-01-01, [0.4974587024999089, 2.4891224444328306, 9.763418853067261]
10812 : 2027-01-01, [0.5082507228994605, 2.540383543489579, 9.951365733610963]
10813 : 2027-01-01, [0.5191363678231564, 2.5917548803113504, 10.139108751865493]
10814 : 2027-01-01, [0.5300420596658643, 2.643428873457958, 10.326529066876178]
10815 : 2027-01-01, [0.5410009746648344, 2.695297008515937, 10.51370201681923]
10816 : 2027-01-01, [0.5520020965171936, 2.747306160479823, 10.700691743002984]
10817 : 2027-01-01, [0.5630453243497405, 2.7994577373355236, 10.887496938314737]
10818 : 2027-01-01, [0.5741190130902664, 2.8516957058258594, 11.074185281083874]
10819 : 2027-01-01, [0.5852344329819364, 2.904398102664215, 11.260367464353847]
10820 : 2027-01-01, [0.5964047178451642, 2.95699774927113, 11.446597532883706]
10821 : 2027-01-01, [0.6076680579978251, 3.009999242381358, 11.632332699620816]
10822 : 2027-01-01, [0.6189250296268854, 3.0629116663670715, 11.818163304006042]
10823 : 2027-01-01, [0.6306392128830679, 3.1160238445591593, 12.003336942557775]
10824 : 2027-01-01, [0.6420419675879996, 3.169521099026952, 12.188436933385047]
10825 : 2027-01-01, [0.6534212165773055, 3.223211401076569, 12.373367382346126]
10826 : 2027-01-01, [0.6648989510414015, 3.277352255711587, 12.557748793247013]
10827 : 2027-01-01, [0.6764368171841454, 3.3313822760883873, 12.742180906727468]
10828 : 2027-01-01, [0.6884083897714329, 3.385371491934265, 12.926220118294303]
10829 : 2027-01-01, [0.700072502350829, 3.4402954884779864, 13.109632009171184]
10830 : 2027-01-01, [0.7117527529421891, 3.495271541694676, 13.292975705363133]
10831 : 2027-01-01, [0.7238991792486172, 3.5499062539155433, 13.47619456683584]
10832 : 2027-01-01, [0.7357100539528524, 3.60544242779067, 13.658847518256477]
10833 : 2027-01-01, [0.7475669459739995, 3.661599950351981, 13.840833103674019]
10834 : 2027-01-01, [0.7599252523073838, 3.717087751754791, 14.022986995937828]
10835 : 2027-01-01, [0.771883608096157, 3.773697151486509, 14.204419240417334]
10836 : 2027-01-01, [0.784305469490496, 3.82937656546647, 14.386317965043034]
10837 : 2027-01-01, [0.7964326095254796, 3.886775227429253, 14.566792163045266]
10838 : 2027-01-01, [0.809015913489991, 3.943585888523976, 14.747398197986033]
10839 : 2027-01-01, [0.8212328227811133, 4.001402630416102, 14.927364546802785]
10840 : 2027-01-01, [0.8339314257489021, 4.058696078468374, 15.107372495782721]
10841 : 2027-01-01, [0.8462701381256111, 4.117094994801431, 15.286634867072959]
10842 : 2027-01-01, [0.8591559454920041, 4.17522917595718, 15.465614878550815]
10843 : 2027-01-01, [0.872066632365106, 4.233929917553558, 15.644003450081335]
10844 : 2027-01-01, [0.8845681685203692, 4.293113801284061, 15.82231803019557]
10845 : 2027-01-01, [0.8976877786426987, 4.35279784384096, 15.999514377516343]
10846 : 2027-01-01, [0.9107934259585787, 4.412390952436844, 16.176815621604575]
10847 : 2027-01-01, [0.9240209110819518, 4.4725537008489455, 16.353425388069105]
10848 : 2027-01-01, [0.93679809429293, 4.5336346206815294, 16.529567285025543]
10849 : 2027-01-01, [0.950162512008616, 4.594456440627283, 16.7053810473641]
10850 : 2027-01-01, [0.9636299947031909, 4.65631308888661, 16.880056916410197]
10851 : 2027-01-01, [0.977119962351145, 4.717725621667042, 17.055154415981814]
10852 : 2027-01-01, [0.9907318036530657, 4.78028558235617, 17.228982613990762]
10853 : 2027-01-01, [1.0043889570577218, 4.8430756385527545, 17.402535404389525]
10854 : 2027-01-01, [1.018127998205547, 4.906274370832995, 17.575597630961457]
10855 : 2027-01-01, [1.031930008081809, 4.969792435912574, 17.748277556005615]
10856 : 2027-01-01, [1.0458584841232446, 5.034540153184012, 17.919601362692745]
10857 : 2027-01-01, [1.059761534992718, 5.099203640596816, 18.091034824410468]
10858 : 2027-01-01, [1.073845325664371, 5.164156825372997, 18.261997848962633]
10859 : 2027-01-01, [1.088557420780775, 5.229348839709564, 18.43209373950966]
10860 : 2027-01-10, [0.3551944926241663, 1.9387529921059328, 7.7060525152699]
10861 : 2027-01-10, [0.36490202996693627, 1.988690977617311, 7.896406992415752]
10862 : 2027-01-10, [0.3743637529937579, 2.0391300543344366, 8.086506192671806]
10863 : 2027-01-10, [0.3841541250847215, 2.0893135183322866, 8.276532356582992]
10864 : 2027-01-10, [0.3936927306893414, 2.14005856143862, 8.46624870787204]
10865 : 2027-01-10, [0.4035586203692633, 2.1904539765001134, 8.655987403130622]
10866 : 2027-01-10, [0.4131685025156287, 2.2414805295788978, 8.845350967905473]
10867 : 2027-01-10, [0.42313594701815804, 2.2922354048526903, 9.034628648129152]
10868 : 2027-01-10, [0.43280992905329685, 2.3435103208435977, 9.223679750103106]
10869 : 2027-01-10, [0.4428280209834779, 2.394354799871318, 9.412817179145204]
10870 : 2027-01-10, [0.4528775823063482, 2.445522372705173, 9.601600044988478]
10871 : 2027-01-10, [0.4626781025993705, 2.497328995234367, 9.789992902166262]
10872 : 2027-01-10, [0.47280358524156085, 2.5487509143625484, 9.978445500395893]
10873 : 2027-01-10, [0.4830094385553542, 2.600512398814799, 10.166478162629847]
10874 : 2027-01-10, [0.49291186006240567, 2.652737794877977, 10.354350345059617]
10875 : 2027-01-10, [0.5031655845597695, 2.704613283637154, 10.542221131803075]
10876 : 2027-01-10, [0.5134813370293256, 2.7567348807606957, 10.72978378220998]
10877 : 2027-01-10, [0.5238504532135126, 2.809057680779277, 10.917091866007212]
10878 : 2027-01-10, [0.53389200118398, 2.8618710055625285, 11.10423699325349]
10879 : 2027-01-10, [0.5443404975153437, 2.9144915648608922, 11.291167937623765]
10880 : 2027-01-10, [0.5548199444119625, 2.9675256027645, 11.477654452823536]
10881 : 2027-01-10, [0.5653544464355698, 3.0204559359730885, 11.664189617591342]
10882 : 2027-01-10, [0.575967931103369, 3.073732641312061, 11.850299427584568]
10883 : 2027-01-10, [0.5861883342649148, 3.1276886836004882, 12.036122982134598]
10884 : 2027-01-10, [0.5968841390801065, 3.1816561586347145, 12.221459702285179]
10885 : 2027-01-10, [0.6075875805929131, 3.235247939235826, 12.40716448017126]
10886 : 2027-01-10, [0.6183598122256952, 3.2895061628371005, 12.592134024937204]
10887 : 2027-01-10, [0.6291900276533442, 3.344021201214284, 12.776788771132372]
10888 : 2027-01-10, [0.6400658839316928, 3.3987292405501055, 12.9612048755182]
10889 : 2027-01-10, [0.6509740089843659, 3.453561264152874, 13.145464726862762]
10890 : 2027-01-10, [0.6619409204371337, 3.5086598934664432, 13.329399186096424]
10891 : 2027-01-10, [0.6729541924574158, 3.563961021427719, 13.513084786114863]
10892 : 2027-01-10, [0.6839980872252552, 3.6197928944840387, 13.696209018290707]
10893 : 2027-01-10, [0.6951618003001009, 3.675817871305467, 13.87902032839443]
10894 : 2027-01-10, [0.7063439795201029, 3.732327920262901, 14.061328100216995]
10895 : 2027-01-10, [0.7175442253281263, 3.7884827025679946, 14.243973072103879]
10896 : 2027-01-10, [0.7292985038803932, 3.8450292094042835, 14.425672286715322]
10897 : 2027-01-10, [0.7406439232024986, 3.902307544759065, 14.607048532038435]
10898 : 2027-01-10, [0.7520379087160121, 3.959829028455314, 14.788133062828674]
10899 : 2027-01-10, [0.7635301461731094, 4.017856991625412, 14.968612862201477]
10900 : 2027-01-10, [0.7750217624399698, 4.075872910195934, 15.149105327364097]
10901 : 2027-01-10, [0.7871046398050399, 4.133888252362179, 15.329007107832782]
10902 : 2027-01-10, [0.7986964700780396, 4.192870658458847, 15.508432871463114]
10903 : 2027-01-10, [0.810393011673011, 4.251924062613153, 15.687682925713837]
10904 : 2027-01-10, [0.8226438110286356, 4.311187332307769, 15.866168856663599]
10905 : 2027-01-10, [0.8344971159249167, 4.37154872158832, 16.043954162486763]
10906 : 2027-01-10, [0.8463618040550474, 4.431991078052067, 16.221647117892886]
10907 : 2027-01-10, [0.8588411948029655, 4.492379814030413, 16.39877899116662]
10908 : 2027-01-10, [0.870795275092532, 4.5533056983611235, 16.57589902654634]
10909 : 2027-01-10, [0.8833884579799199, 4.6147839778576945, 16.751827564162387]
10910 : 2027-01-10, [0.895523108425658, 4.676686653682692, 16.92779023789165]
10911 : 2027-01-10, [0.9082940826506828, 4.739081058860256, 17.102624858489058]
10912 : 2027-01-10, [0.9205145665901602, 4.802042078888479, 17.27744335452136]
10913 : 2027-01-10, [0.9334230992071916, 4.865160821786982, 17.451416079005828]
10914 : 2027-01-10, [0.9463768628831518, 4.928505800622314, 17.625117336494533]
10915 : 2027-01-10, [0.9588181209883563, 4.993315760939896, 17.79786611807175]
10916 : 2027-01-10, [0.9719105074350577, 5.057412004653118, 17.970677487911825]
10917 : 2027-01-10, [0.985106457362694, 5.122655521738321, 18.142238020898983]
10918 : 2027-01-10, [0.9983181332657572, 5.187998085362279, 18.313683781371964]
10919 : 2027-01-10, [1.0116602454352988, 5.254038782652453, 18.484300971912248]
10920 : 2027-01-20, [0.3255335489129179, 1.9450203715693097, 7.729446079517773]
10921 : 2027-01-20, [0.33451419176820935, 1.99533223126681, 7.9201535769649825]
10922 : 2027-01-20, [0.34325146457749844, 2.045718051998256, 8.111030483424246]
10923 : 2027-01-20, [0.3520304724577732, 2.096512450957538, 8.301457076584688]
10924 : 2027-01-20, [0.3608536245882338, 2.147289190264093, 8.491857185147673]
10925 : 2027-01-20, [0.3696985997178182, 2.1983702037008093, 8.681931196581372]
10926 : 2027-01-20, [0.3788601648727009, 2.2489993829478614, 8.872140452179439]
10927 : 2027-01-20, [0.38776932381904866, 2.3003205459549174, 9.061910130226034]
10928 : 2027-01-20, [0.39670777122386264, 2.351771093434546, 9.251521135341592]
10929 : 2027-01-20, [0.40598101538460407, 2.402999190867131, 9.441019793748264]
10930 : 2027-01-20, [0.4149836394764617, 2.454439648806808, 9.63057671171673]
10931 : 2027-01-20, [0.4240157590428695, 2.506274235672325, 9.819710005284804]
10932 : 2027-01-20, [0.43340064258101424, 2.557874124694762, 10.008725232724224]
10933 : 2027-01-20, [0.44252450168319113, 2.6101357300165327, 10.197339768300276]
10934 : 2027-01-20, [0.45166074315838917, 2.6624361630256694, 10.38590309381594]
10935 : 2027-01-20, [0.46118670254395083, 2.714602844856627, 10.574210452599422]
10936 : 2027-01-20, [0.47036920339712024, 2.767374715441234, 10.762256081161645]
10937 : 2027-01-20, [0.479983606604875, 2.8198880672174607, 10.950128326177666]
10938 : 2027-01-20, [0.4892723570018213, 2.872893035864247, 11.137834607133932]
10939 : 2027-01-20, [0.4985717512632479, 2.9259352977748754, 11.325492950961879]
10940 : 2027-01-20, [0.508281757428722, 2.9791019781284165, 11.51261626444286]
10941 : 2027-01-20, [0.517680249455726, 3.0326464556513537, 11.699673294892921]
10942 : 2027-01-20, [0.5274810328207157, 3.0862035732042523, 11.886315393975032]
10943 : 2027-01-20, [0.5369711729747934, 3.1405602583141676, 12.07246856871104]
10944 : 2027-01-20, [0.5468654082474862, 3.1941828731992303, 12.258951718553282]
10945 : 2027-01-20, [0.556791203337509, 3.2482579396146942, 12.444950857047797]
10946 : 2027-01-20, [0.566391624335708, 3.3031693483384688, 12.630439027325822]
10947 : 2027-01-20, [0.5764115063719567, 3.3576796130044984, 12.815908880623544]
10948 : 2027-01-20, [0.5860842415902054, 3.4129804219511026, 13.000935336458694]
10949 : 2027-01-20, [0.596225672471185, 3.468092743471668, 13.185681584057148]
10950 : 2027-01-20, [0.606387068211525, 3.523647710329988, 13.369965221458488]
10951 : 2027-01-20, [0.6161861764581782, 3.5796373451666734, 13.554176478375147]
10952 : 2027-01-20, [0.6264599086322444, 3.635362800565449, 13.738177290802307]
10953 : 2027-01-20, [0.6367657076873819, 3.6916289477775597, 13.92160534453506]
10954 : 2027-01-20, [0.6471590094507436, 3.7483567923110845, 14.104484198238172]
10955 : 2027-01-20, [0.6571289718698644, 3.805297193295599, 14.287573834834536]
10956 : 2027-01-20, [0.6676120789846673, 3.8624912841986507, 14.469896636816683]
10957 : 2027-01-20, [0.678156393575341, 3.9200006571187203, 14.651842949305939]
10958 : 2027-01-20, [0.6887351937706565, 3.977672643459652, 14.833592162769692]
10959 : 2027-01-20, [0.699359757475059, 4.036036241932612, 15.014604000592328]
10960 : 2027-01-20, [0.7095636219477668, 4.094803487596104, 15.195632890456128]
10961 : 2027-01-20, [0.7202954011463141, 4.153305939427821, 15.376398659425865]
10962 : 2027-01-20, [0.7311060009502687, 4.212719358943797, 15.556174640105933]
10963 : 2027-01-20, [0.7419806603152654, 4.272491442779646, 15.73552789690509]
10964 : 2027-01-20, [0.7529048760988822, 4.332541073957152, 15.914554049943963]
10965 : 2027-01-20, [0.7638635522681907, 4.392783754290957, 16.09335269344085]
10966 : 2027-01-20, [0.7748864928358572, 4.453393194455644, 16.2717203127085]
10967 : 2027-01-20, [0.7859587795167298, 4.514285757987194, 16.449755462496075]
10968 : 2027-01-20, [0.7971287545358232, 4.576274518083283, 16.626596727380893]
10969 : 2027-01-20, [0.8088361690895327, 4.637190306013346, 16.80397352489712]
10970 : 2027-01-20, [0.8201119247909797, 4.699783906888653, 16.98010416832037]
10971 : 2027-01-20, [0.8314380401609572, 4.762691631402672, 17.15587032843637]
10972 : 2027-01-20, [0.8428699475192651, 4.82623325855365, 17.330896793927085]
10973 : 2027-01-20, [0.8542966957800501, 4.889775859265118, 17.505927444954832]
10974 : 2027-01-20, [0.8663744820171805, 4.9538526139266255, 17.679772904056197]
10975 : 2027-01-20, [0.8779818647610274, 5.018468700428692, 17.85354943481028]
10976 : 2027-01-20, [0.8895427587684518, 5.083458629612349, 18.0269986116192]
10977 : 2027-01-20, [0.9012904583994019, 5.149572815591031, 18.199136726009566]
10978 : 2027-01-20, [0.9136332199149259, 5.215196355542006, 18.371170424543067]
10979 : 2027-01-20, [0.9254903947187019, 5.28201943486479, 18.542490170416507]
10980 : 2027-02-01, [0.2898376359662111, 1.952746402079952, 7.757415961953837]
10981 : 2027-02-01, [0.2976615054409779, 2.0033960423503, 7.948942452208721]
10982 : 2027-02-01, [0.30553874878993115, 2.0541052698096696, 8.140355981400399]
10983 : 2027-02-01, [0.3134202771620665, 2.1049772507766127, 8.331602472061322]
10984 : 2027-02-01, [0.32136338333455206, 2.1559550267895684, 8.52268158987588]
10985 : 2027-02-01, [0.32930273345480054, 2.2070565213434366, 8.713640745201761]
10986 : 2027-02-01, [0.33729107660475005, 2.25841260330729, 8.90429632008796]
10987 : 2027-02-01, [0.3450234294185142, 2.310284441966028, 9.094692128615458]
10988 : 2027-02-01, [0.353050908136034, 2.361551715285706, 9.285397376578262]
10989 : 2027-02-01, [0.3611294900026098, 2.4133395318497284, 9.475530978147662]
10990 : 2027-02-01, [0.3692378699865723, 2.4652588056097713, 9.665503324403657]
10991 : 2027-02-01, [0.3773681433635521, 2.517258294269383, 9.855373562367065]
10992 : 2027-02-01, [0.38553644391865166, 2.5694471833771777, 10.045016372704172]
10993 : 2027-02-01, [0.3937347340444929, 2.62177347144847, 10.234491794507036]
10994 : 2027-02-01, [0.4019543544895405, 2.6744716018430266, 10.423574043667434]
10995 : 2027-02-01, [0.41023799617072937, 2.7272527793771353, 10.612509224452136]
10996 : 2027-02-01, [0.4185271952501515, 2.7800139018857917, 10.801458902864058]
10997 : 2027-02-01, [0.4268372554557572, 2.8331678433796226, 10.989994901164621]
10998 : 2027-02-01, [0.4352137710122179, 2.8864066996752733, 11.178379529312508]
10999 : 2027-02-01, [0.4436036740599444, 2.9396826447116045, 11.366713681228452]
11000 : 2027-02-01, [0.4520335273104618, 2.993501765937465, 11.554464706752073]
11001 : 2027-02-01, [0.46087950697531643, 3.0471326076639285, 11.741987885360755]
11002 : 2027-02-01, [0.46938853461935204, 3.1010211078589798, 11.929590357521668]
11003 : 2027-02-01, [0.47792914937437947, 3.1554218860722285, 12.116648964553393]
11004 : 2027-02-01, [0.4865017969115996, 3.210004573303468, 12.303493629784933]
11005 : 2027-02-01, [0.49510656526329955, 3.264771633244615, 12.490121801492084]
11006 : 2027-02-01, [0.5037439277080197, 3.3197280138980894, 12.676528058393892]
11007 : 2027-02-01, [0.5128240873375387, 3.374420366242177, 12.862755546420285]
11008 : 2027-02-01, [0.5215656408951602, 3.429973718248404, 13.048460640856435]
11009 : 2027-02-01, [0.5302955874292388, 3.485819943548481, 13.23388446902228]
11010 : 2027-02-01, [0.539115807667949, 3.5418592044944983, 13.419024987837554]
11011 : 2027-02-01, [0.5483805311037112, 3.5978830564578823, 13.603736412438405]
11012 : 2027-02-01, [0.557275757874142, 3.654347705786296, 13.78837653633956]
11013 : 2027-02-01, [0.5661932867782492, 3.7113638398149464, 13.972442873406804]
11014 : 2027-02-01, [0.5751340023129456, 3.7685361898639007, 14.156329807823154]
11015 : 2027-02-01, [0.5845770558488084, 3.825520891086225, 14.339902053064966]
11016 : 2027-02-01, [0.5936550508555779, 3.8835643635815833, 14.52278058556284]
11017 : 2027-02-01, [0.6027186324690028, 3.9415241596559407, 14.705757207875056]
11018 : 2027-02-01, [0.6123305812073707, 3.999475635071124, 14.888193783721507]
11019 : 2027-02-01, [0.6215090222235055, 4.0586326782091255, 15.069858299567368]
11020 : 2027-02-01, [0.6312239171560177, 4.117167675524141, 15.251608407319845]
11021 : 2027-02-01, [0.6404812733172969, 4.176854707580469, 15.432664019102234]
11022 : 2027-02-01, [0.6502584844102945, 4.236201337055003, 15.613540178534704]
11023 : 2027-02-01, [0.6596067547978837, 4.296512322129384, 15.79388092307273]
11024 : 2027-02-01, [0.6695310295809819, 4.356769629088239, 15.973699341330779]
11025 : 2027-02-01, [0.6790033443915945, 4.417929152966929, 16.153067502641473]
11026 : 2027-02-01, [0.6890196604310431, 4.478747321476831, 16.332233018092122]
11027 : 2027-02-01, [0.6985564965779149, 4.540901846015657, 16.510541657406428]
11028 : 2027-02-01, [0.7086783997569027, 4.602385765032847, 16.688935835210252]
11029 : 2027-02-01, [0.7188315354202608, 4.664582666372857, 16.866585798206884]
11030 : 2027-02-01, [0.7285531552822764, 4.728048261617565, 17.04339858310016]
11031 : 2027-02-01, [0.7388477539809496, 4.791180700400842, 17.219971545618208]
11032 : 2027-02-01, [0.7492056277284748, 4.854715339561303, 17.396079032710222]
11033 : 2027-02-01, [0.7595944913894798, 4.919021468381939, 17.571384040228583]
11034 : 2027-02-01, [0.7694675719301441, 4.984240825023444, 17.746291603046412]
11035 : 2027-02-01, [0.7800208249030761, 5.049090053358702, 17.920889121738224]
11036 : 2027-02-01, [0.7906199555618887, 5.1148393180818505, 18.09454072635626]
11037 : 2027-02-01, [0.8012699213662927, 5.180938039744444, 18.267792038889265]
11038 : 2027-02-01, [0.8119352232268413, 5.247779198534224, 18.440285578238935]
11039 : 2027-02-01, [0.8227564686196857, 5.315041942343916, 18.612201589036403]
11040 : 2027-02-10, [0.26292511333770197, 1.9585097165478913, 7.778565170114407]
11041 : 2027-02-10, [0.2700892967373061, 2.0093072963624032, 7.970603406900291]
11042 : 2027-02-10, [0.27730507357958506, 2.0601633420693175, 8.162531584351099]
11043 : 2027-02-10, [0.2842607267205193, 2.111500280835317, 8.354238992444163]
11044 : 2027-02-10, [0.2915070632183547, 2.162641511784331, 8.545851424997315]
11045 : 2027-02-10, [0.29852107923322996, 2.2143615108597525, 8.737117409907018]
11046 : 2027-02-10, [0.3058330600375761, 2.2655981578468163, 8.928568782115608]
11047 : 2027-02-10, [0.31318067317744014, 2.317238097761473, 9.119581229061087]
11048 : 2027-02-10, [0.32024139506805616, 2.3692085846749795, 9.310550020256965]
11049 : 2027-02-10, [0.32764972059919184, 2.4211582294358607, 9.501192049964947]
11050 : 2027-02-10, [0.3350607159380679, 2.473035271533259, 9.691904012528674]
11051 : 2027-02-10, [0.34220696240932996, 2.525561133298131, 9.882231904292539]
11052 : 2027-02-10, [0.34970006904315776, 2.5779143308248123, 10.072385600132032]
11053 : 2027-02-10, [0.3572159604688424, 2.630632929205331, 10.262151110325826]
11054 : 2027-02-10, [0.36477004441663013, 2.6832689574467907, 10.45196099813658]
11055 : 2027-02-10, [0.3720080309807336, 2.736379830286909, 10.641612138732356]
11056 : 2027-02-10, [0.37960915724121497, 2.789549638473566, 10.83084120428522]
11057 : 2027-02-10, [0.3872490753524789, 2.8426276933126875, 11.020123231334834]
11058 : 2027-02-10, [0.3949360701778956, 2.896289532665148, 11.208774397156958]
11059 : 2027-02-10, [0.402275676527992, 2.9500889648575637, 11.397635358614444]
11060 : 2027-02-10, [0.4100281983232531, 3.004148275144597, 11.585823526532149]
11061 : 2027-02-10, [0.41777797339683354, 3.0581275467055478, 11.77409447989762]
11062 : 2027-02-10, [0.4255947747475945, 3.1121973622380406, 11.962207863014363]
11063 : 2027-02-10, [0.4334159844340165, 3.166578876718896, 12.150005138847089]
11064 : 2027-02-10, [0.4408956089545989, 3.2217130012874553, 12.337391389757947]
11065 : 2027-02-10, [0.448802783630927, 3.2766641262845937, 12.52453309008448]
11066 : 2027-02-10, [0.4567323940799188, 3.3320975399476076, 12.711170065972475]
11067 : 2027-02-10, [0.46473431856879943, 3.3876478831508283, 12.897617798280372]
11068 : 2027-02-10, [0.4727404554259119, 3.4431821863215166, 13.084077358252571]
11069 : 2027-02-10, [0.48076882419307854, 3.499223400029881, 13.270007775777039]
11070 : 2027-02-10, [0.48887219912962204, 3.555385079581808, 13.45574272128857]
11071 : 2027-02-10, [0.49696720026607394, 3.6118484885506326, 13.641184311183293]
11072 : 2027-02-10, [0.505138123036398, 3.668838823625896, 13.826023053337705]
11073 : 2027-02-10, [0.5133449561856547, 3.725649250348641, 14.011005793465706]
11074 : 2027-02-10, [0.5215852911544655, 3.783093003345418, 14.195321705500117]
11075 : 2027-02-10, [0.52986074025858, 3.8407730999708245, 14.379366159770596]
11076 : 2027-02-10, [0.5381587763073072, 3.899040721463581, 14.562800502229111]
11077 : 2027-02-10, [0.546503866255373, 3.9572028216211215, 14.746293312123504]
11078 : 2027-02-10, [0.5549205448392172, 4.015871103784626, 14.929208351376158]
11079 : 2027-02-10, [0.5633348050475453, 4.074973848266799, 15.111691346685657]
11080 : 2027-02-10, [0.571823818313394, 4.134153909625475, 15.29402227206113]
11081 : 2027-02-10, [0.5803469050046296, 4.194051192216967, 15.475601902778402]
11082 : 2027-02-10, [0.5889063957944414, 4.254222081662629, 15.656871522542927]
11083 : 2027-02-10, [0.5980040279609459, 4.314135008369121, 15.837860963669932]
11084 : 2027-02-10, [0.6066817353243481, 4.375141047277297, 16.018177217398357]
11085 : 2027-02-10, [0.6153414639163526, 4.4365444205022735, 16.198114115581372]
11086 : 2027-02-10, [0.6241053148663721, 4.498217028776927, 16.377677656356703]
11087 : 2027-02-10, [0.6334038443788071, 4.559957270307787, 16.556638885313408]
11088 : 2027-02-10, [0.6422324105303139, 4.62263808096511, 16.735129508504574]
11089 : 2027-02-10, [0.651098013045699, 4.685628033026409, 16.91327395392789]
11090 : 2027-02-10, [0.6600443984487002, 4.74924390512002, 17.090711696431278]
11091 : 2027-02-10, [0.6695444573849039, 4.812380784742452, 17.268074757872643]
11092 : 2027-02-10, [0.6785720675967897, 4.876631198012695, 17.444796734390515]
11093 : 2027-02-10, [0.6876337454887178, 4.941754031171883, 17.6206122233394]
11094 : 2027-02-10, [0.6972976606668078, 5.0066348752611995, 17.796067464071996]
11095 : 2027-02-10, [0.7064872173564868, 5.072775561691332, 17.97073722095218]
11096 : 2027-02-10, [0.7162443511123467, 5.1383388268773285, 18.145416822010326]
11097 : 2027-02-10, [0.7255303583562492, 5.205279114373078, 18.31919052727067]
11098 : 2027-02-10, [0.735424558494146, 5.272467046488921, 18.492108395016935]
11099 : 2027-02-10, [0.744774983741719, 5.340623129072096, 18.664601887186183]
11100 : 2027-02-20, [0.32687596474839364, 1.894167701533755, 7.778956333717851]
11101 : 2027-02-20, [0.33782117315704624, 1.9421001568761884, 7.970078669966765]
11102 : 2027-02-20, [0.3486343087568933, 1.9901303990097878, 8.16123529223332]
11103 : 2027-02-20, [0.3598396210571406, 2.0381991502255308, 8.351961228717329]
11104 : 2027-02-20, [0.37118577161318833, 2.086385935203754, 8.542428293183058]
11105 : 2027-02-20, [0.3826322087819548, 2.134467048113837, 8.732900743104208]
11106 : 2027-02-20, [0.3939614680468268, 2.183137956168594, 8.92290057578458]
