Itinerary: ['earth', 'JUPITER_BARYCENTER', 'SATURN_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
2265  : 2023-01-10, [2.1076516156280922, 4.283397468253042, 14.858950916118866]
2266  : 2023-01-10, [2.139405586503346, 4.334790100704342, 15.025804312792314]
2267  : 2023-01-10, [2.171857837047223, 4.385166771149433, 15.192975391803344]
2268  : 2023-01-10, [2.2044713580192545, 4.435954081229611, 15.359574560751133]
2269  : 2023-01-10, [2.2374795940404866, 4.486889398146868, 15.525631007812645]
2270  : 2023-01-10, [2.2706132784788475, 4.538181891380941, 15.691204830140212]
2271  : 2023-01-10, [2.303990837928577, 4.589701731995434, 15.856307430075988]
2272  : 2023-01-10, [2.338240403589787, 4.6404108263447235, 16.02134877006549]
2273  : 2023-01-10, [2.372033274925469, 4.692226130006394, 16.185740595068136]
2274  : 2023-01-10, [2.4066719184537617, 4.7435499217335035, 16.349778159812736]
2275  : 2023-01-10, [2.4416650656638095, 4.795299441158388, 16.513035493177803]
2276  : 2023-01-10, [2.4762673393321055, 4.847958521850955, 16.675774138816937]
2277  : 2023-01-10, [2.5117417892136302, 4.900138600679896, 16.838119610106475]
2278  : 2023-01-10, [2.5474401042044548, 4.952498806172097, 17.000061089623447]
2279  : 2023-01-10, [2.5834600523330145, 5.005681324656927, 17.160858623010057]
2280  : 2023-01-20, [0.8544337024761102, 2.047813491315524, 7.097752806208367]
2281  : 2023-01-20, [0.8778544588949198, 2.0977656024818327, 7.274379938623248]
2282  : 2023-01-20, [0.9011246717555433, 2.148204514585963, 7.450670813658494]
2283  : 2023-01-20, [0.9247396920762091, 2.1980532815275313, 7.627207026396259]
2284  : 2023-01-20, [0.9484914409956351, 2.247931797780441, 7.803576761223924]
2285  : 2023-01-20, [0.9720885526293718, 2.2982131676678503, 7.979698279702778]
2286  : 2023-01-20, [0.9960680559149073, 2.348231191443695, 8.155700752641398]
2287  : 2023-01-20, [1.0201585091526284, 2.3980610375166242, 8.331780453330747]
2288  : 2023-01-20, [1.04438574082153, 2.44792335485503, 8.50769090432344]
2289  : 2023-01-20, [1.0684147376805795, 2.4981838118749757, 8.683401450444444]
2290  : 2023-01-20, [1.0929061408674439, 2.5482927593741826, 8.858801099758374]
2291  : 2023-01-20, [1.1174826162004312, 2.5981406595745287, 9.03437672422504]
2292  : 2023-01-20, [1.142178513922081, 2.6479834038161165, 9.209838082261802]
2293  : 2023-01-20, [1.1669941111690447, 2.69782269824297, 9.385183190587984]
2294  : 2023-01-20, [1.1922810183145378, 2.7472157848546344, 9.560503196830828]
2295  : 2023-01-20, [1.2173856127998153, 2.7973423570787133, 9.735272030121472]
2296  : 2023-01-20, [1.2425717045197389, 2.8471867443708607, 9.9102415511094]
2297  : 2023-01-20, [1.2679640322716639, 2.897231210512491, 10.084804757215844]
2298  : 2023-01-20, [1.293775355565892, 2.9466231511813303, 10.259601493252777]
2299  : 2023-01-20, [1.3194004269978856, 2.99663677983752, 10.433962793164595]
2300  : 2023-01-20, [1.3451567791951053, 3.046903039446114, 10.60794018135878]
2301  : 2023-01-20, [1.3713683143387803, 3.096320137272359, 10.782311548388861]
2302  : 2023-01-20, [1.3977864263736672, 3.145897365003728, 10.956316208622603]
2303  : 2023-01-20, [1.4239570438590312, 3.196052961632937, 11.12998999450803]
2304  : 2023-01-20, [1.4506790896590867, 3.245730430469368, 11.303590479871545]
2305  : 2023-01-20, [1.4775177479963029, 3.2953704251546716, 11.477111826849026]
2306  : 2023-01-20, [1.5040671901917124, 3.345815969010304, 11.650116840797985]
2307  : 2023-01-20, [1.5312135682654917, 3.395579830785668, 11.82320660094884]
2308  : 2023-01-20, [1.558505837254063, 3.4453769562194716, 11.996117206526465]
2309  : 2023-01-20, [1.5859439378636444, 3.4952091843250517, 12.168846877811305]
2310  : 2023-01-20, [1.6135844355709659, 3.5454712137171813, 12.340944350711855]
2311  : 2023-01-20, [1.6417904141668282, 3.594840313965954, 12.513369271867218]
2312  : 2023-01-20, [1.669678409306474, 3.6448028820363, 12.685518708657225]
2313  : 2023-01-20, [1.6978319167806726, 3.6950709902871517, 12.857097092932177]
2314  : 2023-01-20, [1.726601780709642, 3.7447636351370104, 13.028634584153348]
2315  : 2023-01-20, [1.7549522185107242, 3.795193853181462, 13.199853928307814]
2316  : 2023-01-20, [1.7840502277674057, 3.8450072382535163, 13.370942533979077]
2317  : 2023-01-20, [1.8128326561997623, 3.8955346611777695, 13.541632682622469]
2318  : 2023-01-20, [1.8422663269647603, 3.9457990482993517, 13.711934624735887]
2319  : 2023-01-20, [1.8718669136278852, 3.995820956322889, 13.882312130049227]
2320  : 2023-01-20, [1.901237209078221, 4.047129648978067, 14.051633141943714]
2321  : 2023-01-20, [1.9312098878490047, 4.097392350525281, 14.221397761625715]
2322  : 2023-01-20, [1.9614283617709116, 4.148226965708297, 14.390344672520792]
2323  : 2023-01-20, [1.9917508132419812, 4.198674671917444, 14.559574514840577]
2324  : 2023-01-20, [2.0229596135880183, 4.24890252175509, 14.728137864656894]
2325  : 2023-01-20, [2.05371801653631, 4.30005336725613, 14.89622861620756]
2326  : 2023-01-20, [2.0846926817403144, 4.351402551044598, 15.06390476721509]
2327  : 2023-01-20, [2.116472767324745, 4.401959682684166, 15.23156754999109]
2328  : 2023-01-20, [2.147816834415331, 4.453557980441613, 15.398625185143056]
