Itinerary: ['earth', 'venus', 'mars', 'jupiter', 'pluto']
case #: launch date, tof of each leg
0     : 2022-01-01, [0.23401306941573236, 0.1374836474229188, 0.410961776753949, 9.2175415064074]
1     : 2022-01-01, [0.23797738592976447, 0.14018250947491032, 0.4193682129835977, 9.452471891611728]
2     : 2022-01-01, [0.24190153029234626, 0.1428840821547906, 0.4258034551752025, 9.68941093237766]
3     : 2022-01-01, [0.24583987813547684, 0.14562126216474774, 0.43223473364396897, 9.926304126055808]
4     : 2022-01-01, [0.25083365749999, 0.14782782482629386, 0.4427221720444165, 10.1586163456293]
5     : 2022-01-01, [0.25610806891298554, 0.15170354186855245, 0.44818828285464674, 10.394000106363816]
6     : 2022-01-01, [0.2597353989088785, 0.15351438703933953, 0.4557595940208341, 10.630990620030948]
7     : 2022-01-01, [0.2632606093575387, 0.15606015159140593, 0.46356976136135186, 10.867109477689702]
8     : 2022-01-01, [0.26837044723075804, 0.15991267669591946, 0.47070988608473996, 11.101006989988582]
9     : 2022-01-01, [0.27171621117929673, 0.1624099645863734, 0.4752101282261402, 11.340663696008189]
10    : 2022-01-01, [0.2768287803881326, 0.16546584476572904, 0.48221752080635183, 11.575487854039785]
11    : 2022-01-01, [0.28165258926931624, 0.16834912738682925, 0.4906202784830162, 11.80937800486084]
12    : 2022-01-01, [0.2849259699274906, 0.1708515830413814, 0.49525015618808815, 12.04897229084304]
13    : 2022-01-01, [0.29133228298771363, 0.17504155332307075, 0.5074816680412333, 12.27614449564798]
14    : 2022-01-01, [0.29446393509324137, 0.17749826283949074, 0.5109885764182721, 12.517049225648996]
15    : 2022-01-01, [0.30116423128893877, 0.1818883595895746, 0.5191147032718471, 12.74783270584964]
16    : 2022-01-01, [0.30582192346373177, 0.18470137621349605, 0.5297167250044558, 12.979759975318316]
17    : 2022-01-01, [0.31237899624809706, 0.18999211430570823, 0.5365939884790156, 13.21103490096718]
18    : 2022-01-01, [0.3172090471031791, 0.1929298008505241, 0.5417928257876895, 13.448068326258607]
19    : 2022-01-01, [0.32570135560993213, 0.19882966773477817, 0.5530041021022255, 13.672464874553064]
20    : 2022-01-01, [0.36082170450009976, 0.22198072465836766, 0.6098054386692116, 13.80739213217232]
21    : 2022-01-01, [0.36971593477233206, 0.2283530185333841, 0.6245611957593329, 14.027369850934953]
22    : 2022-01-01, [0.3786269470247341, 0.23477613785182933, 0.6356955732668639, 14.250901341856572]
23    : 2022-01-01, [0.38979949649910933, 0.24311844681137046, 0.6508823550531395, 14.466199701636379]
24    : 2022-01-01, [0.47120149038978265, 0.29298984010809875, 1.186222526961499, 14.049586142540619]
25    : 2022-01-01, [0.48294241994372256, 0.300564834014339, 1.219886242282795, 14.246606503759143]
