Itinerary: ['earth', 'venus', 'mars', 'jupiter', 'pluto']
case #: launch date, tof of each leg
13033 : 2028-01-10, [0.8288512391127376, 0.1473897994679017, 1.6048509709240726, 10.668907990495288]
13034 : 2028-01-10, [0.059749578729859795, 0.20251898533876125, 1.7207612449498535, 11.516970190981526]
13035 : 2028-01-10, [0.09090131790207112, 0.24845722238106902, 1.7173709278109515, 11.69327053190591]
13036 : 2028-01-10, [0.21181399481579838, 0.5789455262903235, 2.109164450321693, 11.100076028572186]
13037 : 2028-01-10, [0.8584421222437998, 0.5633265959146215, 4.200537796451373, 8.627693485390205]
13038 : 2028-01-10, [0.4884209922897735, 0.724391430984733, 2.9893541074319563, 10.297833469293538]
13039 : 2028-01-10, [0.4453986237397064, 0.7332619749739954, 2.9938585430232316, 10.577480858263065]
13040 : 2028-01-10, [0.4109716560625065, 0.7424113351541464, 3.027836046328378, 10.818780962454968]
13041 : 2028-01-10, [0.5272425858109006, 0.6342175588770425, 1.8557656065548205, 12.232774248757236]
13042 : 2028-01-10, [0.524421523263899, 0.6463234175539768, 1.8699348600968912, 12.459320199085232]
13043 : 2028-01-10, [0.5206333832904866, 0.6551929893119156, 1.8897068165296396, 12.68446681086796]
13044 : 2028-01-10, [0.5135277114586582, 0.6619574517784148, 1.90627749291405, 12.918237343848876]
13045 : 2028-01-10, [0.5241528083850089, 0.6693981878479008, 1.943729608845618, 13.112719394921474]
13046 : 2028-01-10, [0.36252707944971985, 0.7995541772796528, 3.5390284534562664, 11.798890289814361]
13047 : 2028-01-10, [0.3856064783985285, 0.8218315228889982, 3.625047868826233, 11.917514129886243]
13048 : 2028-01-10, [0.5049639207452211, 0.8704554624622258, 3.791595327118394, 11.832985289674157]
13049 : 2028-01-10, [0.6185636475626091, 0.9250483963366274, 3.893634350256698, 11.812753605844067]
13050 : 2028-01-10, [0.9926086361734191, 0.28192844952734075, 1.483019130734897, 14.742443783564342]
13051 : 2028-01-10, [0.1836430053013647, 0.8828107412965955, 1.4988327410203168, 15.184713512381723]
13052 : 2028-01-10, [0.9344381710667448, 0.9318775580587165, 3.93714491308989, 12.19653935778465]
13053 : 2028-01-10, [1.0309032050632305, 1.0349205171083864, 3.878908452750949, 12.305267825077435]
13054 : 2028-01-10, [0.7827157211310357, 1.3749805883593473, 1.6139779166460924, 14.728325773863524]
13055 : 2028-01-10, [0.9764832064284901, 1.4178606889377399, 1.8384630170051937, 14.517193087628575]
