Itinerary: ['earth', 'venus', 'mars', 'jupiter', 'pluto']
case #: launch date, tof of each leg
10800 : 2027-01-01, [0.2790529783253758, 0.6392877209478814, 0.5043900523192659, 8.577269248407477]
10801 : 2027-01-01, [0.27741351422838717, 0.650790436217124, 0.5106364044989145, 8.811159645055573]
10802 : 2027-01-01, [0.2730046643870905, 0.6618271473543867, 0.5089256029074855, 9.056242585351036]
10803 : 2027-01-01, [0.2630198704477648, 0.6683230098196473, 0.5038436804374662, 9.314813439295122]
10804 : 2027-01-01, [0.24923627107619215, 0.6733579739777458, 0.491856878611272, 9.58554887633479]
10805 : 2027-01-01, [0.18674000785284106, 0.5400486923904052, 2.656927364172612, 7.866283935584141]
10806 : 2027-01-01, [0.4807251832718775, 0.17531691770943245, 2.8991638090813185, 7.944794089937371]
10807 : 2027-01-01, [0.6192773503191421, 0.5510139384048779, 2.2871439429697102, 8.29256476830627]
10808 : 2027-01-01, [0.6270032309938777, 0.5720757033471721, 2.3108914734865973, 8.490029592172354]
10809 : 2027-01-01, [0.6357073189598166, 0.59875267459193, 2.3252059003998053, 8.690334106048448]
10810 : 2027-01-01, [0.6404843781907639, 0.6242911936991241, 2.3304434224227655, 8.904781005687346]
10811 : 2027-01-01, [0.6504625322906438, 0.6584980249955527, 2.3247942373927675, 9.116245205321038]
10812 : 2027-01-01, [0.6544073700150371, 0.6927675799090567, 2.3161711828884015, 9.336653867187506]
10813 : 2027-01-01, [0.6608641975343039, 0.7325384342735863, 2.300013824735607, 9.556583543456503]
10814 : 2027-01-01, [0.6645382395312135, 0.7792105653636515, 2.2627441158817585, 9.793507079223376]
10815 : 2027-01-01, [0.6620863616192653, 0.8309573991437571, 2.2132866129738034, 10.043669626263174]
10816 : 2027-01-01, [0.6663235485342175, 0.8846260060127171, 2.1618043629837342, 10.28724608246933]
10817 : 2027-01-01, [0.6646943780686646, 0.940254304763341, 2.1072656502117093, 10.537785666956283]
10818 : 2027-01-01, [0.6624845722180557, 0.9931816835489241, 2.0462924943210536, 10.798041249911968]
10819 : 2027-01-01, [0.6502650119624438, 1.044988446929665, 1.977170757904101, 11.07757578320379]
10820 : 2027-01-01, [0.6336953013678236, 1.089385008918416, 1.8999918600750008, 11.37692782963876]
10821 : 2027-01-01, [0.6249088581275171, 1.1339619183683922, 1.8317803017059324, 11.65934892179816]
10822 : 2027-01-01, [0.6123912073964575, 1.174022339915679, 1.7524884097138538, 11.961098042974008]
10823 : 2027-01-01, [0.5805281259716025, 1.1954736237705041, 1.6721467184120054, 12.30185153184589]
10824 : 2027-01-01, [0.5451243830608555, 1.2092344051108053, 1.5889556443404675, 12.656685567487873]
10825 : 2027-01-01, [0.5107577364092075, 1.2193023212020913, 1.49949400536868, 13.020445937020021]
10826 : 2027-01-01, [0.24719390062407637, 1.163963795773695, 2.879206926052284, 12.209635377549944]
10827 : 2027-01-01, [0.7086659622224848, 1.3763845513844453, 0.8594878052540765, 13.805461681138993]
