Itinerary: ['earth', 'venus', 'mars', 'jupiter', 'pluto']
case #: launch date, tof of each leg
15120 : 2029-01-01, [0.2577734285009446, 0.6769492464491814, 0.7072060053094267, 8.358071319740446]
15121 : 2029-01-01, [0.2640953862129666, 0.6960910929316197, 0.7214507126861616, 8.568362808169253]
15122 : 2029-01-01, [0.2757101525781414, 0.718961665018603, 0.7340361866774002, 8.771291995725855]
15123 : 2029-01-01, [0.18587842235738522, 0.7373333568092838, 2.2997306630573617, 7.527057557775969]
15124 : 2029-01-01, [0.35783844683873356, 0.10067533449653103, 3.336448725697364, 7.205037492967372]
15125 : 2029-01-01, [0.3712001509782243, 0.12184486126193915, 3.391156109888728, 7.365798877871108]
15126 : 2029-01-01, [0.38864412378076907, 0.15166278215635046, 3.4354250203783048, 7.524268073684575]
15127 : 2029-01-01, [0.40940821751067263, 0.18564061787261824, 3.474727557761344, 7.680223606855366]
15128 : 2029-01-01, [0.4339652729018959, 0.22385861941819266, 3.5130094319426663, 7.829166675737246]
15129 : 2029-01-01, [0.4526402996930364, 0.2627960027553276, 3.5353637761816734, 7.9991999213699625]
15130 : 2029-01-01, [0.47197659117834134, 0.29989380663423953, 3.5654736870457104, 8.162655915141709]
15131 : 2029-01-01, [0.48784177373618703, 0.340407176461752, 3.5887574574732994, 8.332993592328762]
15132 : 2029-01-01, [0.15421594149863455, 1.1681312561224861, 2.9613245304442906, 8.716328271934588]
15133 : 2029-01-01, [0.4918001999181796, 1.0017806484022442, 1.1932799794134807, 10.563139172266094]
15134 : 2029-01-01, [0.5052597997675701, 1.0305462405041448, 1.2084593567281001, 10.755734603000185]
15135 : 2029-01-01, [0.5099576807756688, 1.056076618287176, 1.2109132799041795, 10.973052421032977]
15136 : 2029-01-01, [0.519989577492691, 1.0841845197438984, 1.2213518948009932, 11.174474007962417]
15137 : 2029-01-01, [0.5249001964346227, 1.1119945852279036, 1.214908747335655, 11.39819647100182]
15138 : 2029-01-01, [0.5317815430047461, 1.1378759731121377, 1.2167389944465303, 11.613603489436585]
15139 : 2029-01-01, [0.8047201222837539, 1.3762565894040473, 2.0085837437693863, 10.560439544542811]
15140 : 2029-01-01, [0.8040160713355035, 1.4114819270117094, 1.9961836433351274, 10.78831835831766]
15141 : 2029-01-01, [0.4092377906116845, 0.5653434367090623, 1.4526941484005744, 12.822724624278678]
15142 : 2029-01-01, [0.40870695588028727, 0.5819957981708438, 1.4643404314789972, 13.04495681446987]
15143 : 2029-01-01, [0.4078389552271275, 0.6005037817337221, 1.4753214331876887, 13.266335829851462]
15144 : 2029-01-01, [0.4050056153878938, 0.6173816625349758, 1.482564305003842, 13.495048417073289]
15145 : 2029-01-01, [0.3997587640222329, 0.63070884408612, 1.4927732328837653, 13.726759159007882]
15146 : 2029-01-01, [0.39067375901073514, 0.6445280704071206, 1.4933758167350053, 13.971422353847139]
15147 : 2029-01-01, [0.3652903533060025, 0.1792592437832066, 0.7024858560570318, 15.50296454685376]
15148 : 2029-01-01, [0.3500941712022634, 0.17284925135796653, 0.6644980127659332, 15.812558564673838]
15149 : 2029-01-01, [0.07395062195692179, 0.23660983911445177, 1.4924079094553648, 15.447031629473264]
15150 : 2029-01-01, [0.05741115926799842, 0.23428380414664568, 1.4886372030584483, 15.719667833526907]
15151 : 2029-01-01, [0.031140331495588848, 0.22277148993035045, 1.4800135208227732, 16.01607465775129]
15152 : 2029-01-01, [0.48148196183586395, 0.36966405562073457, 0.647399041195677, 16.501454941347724]
15153 : 2029-01-01, [0.47215646732418004, 0.38187809208460805, 0.5880696252563633, 16.80789581533485]
15154 : 2029-01-01, [0.45148780692772117, 0.3881015376853802, 0.5099632804690504, 17.150447374917846]
15155 : 2029-01-01, [0.4268727559246977, 0.3950430037600039, 0.426367959399474, 17.501716280915822]
15156 : 2029-01-01, [0.23678331235694813, 0.3873848315692361, 1.6272016611126707, 16.748630194961144]
15157 : 2029-01-01, [0.8070952326372864, 1.9627782490448968, 2.6265133725899803, 13.853613145727836]
15158 : 2029-01-01, [0.6190975375705469, 1.92312723720824, 2.3039854044499606, 14.653789820771255]
15159 : 2029-01-01, [0.39631718941613997, 1.9026561116263219, 1.865827650057554, 15.585199048899986]
15160 : 2029-01-01, [0.6724966953905583, 1.4954335481866112, 2.00480333826628, 15.827266418156553]
15161 : 2029-01-01, [0.5060259563845438, 0.8148586910703686, 1.8707642692231425, 17.058351083321945]
15162 : 2029-01-01, [0.21931681764276953, 0.819840592162295, 0.6452937932834025, 18.815548796911536]
15163 : 2029-01-01, [0.1783522766928401, 0.849703749438055, 0.533444319162451, 19.188499654706654]
15164 : 2029-01-01, [0.11545895707166023, 0.7928091463890634, 2.559560584699674, 17.5321713118396]
15165 : 2029-01-01, [1.1834560651145718, 2.3702792926977096, 3.3851560554506395, 14.311108586737078]
15166 : 2029-01-01, [0.9176868895804065, 2.3067186726608244, 3.233963545742191, 15.04163089201658]
15167 : 2029-01-01, [0.24457269818434066, 0.13607199513545154, 0.771777757939923, 20.597577548740283]
15168 : 2029-01-01, [0.5847973116386508, 0.3748473286316717, 1.3447650822898047, 19.695590277439873]
15169 : 2029-01-01, [0.3136987533184929, 0.2663273286709031, 4.138927769383259, 17.531046148627343]
15170 : 2029-01-01, [0.7210024873924556, 0.40202661072490514, 2.6921657779732286, 18.68480512390941]
15171 : 2029-01-01, [0.576131337573157, 1.688376381409723, 1.1373739001428398, 19.34811838087428]
15172 : 2029-01-01, [1.129873813849129, 1.5170677781251594, 4.725803263603802, 15.627255144421909]
15173 : 2029-01-01, [1.366829718395538, 1.0050462224010508, 6.068894270112593, 14.809229789090818]
15174 : 2029-01-01, [0.2759809483304686, 0.7908264833452309, 0.9718704553323815, 21.46132211299192]
15175 : 2029-01-01, [0.6692874867376073, 0.5483574300608756, 1.4004704094879752, 21.131884673713547]
15176 : 2029-01-01, [0.46207723724259475, 0.4549266762845534, 1.0323493903718275, 22.050646696101026]
15177 : 2029-01-01, [1.371008358378755, 2.13398176269222, 3.5328020924574477, 17.212207786471577]
15178 : 2029-01-01, [0.16475216555705935, 0.4498399166325726, 2.243196079128759, 21.64221183868161]
15179 : 2029-01-01, [1.194979330941744, 0.8900885829690804, 5.026737358266603, 17.63819472782257]
15180 : 2029-01-10, [0.25025304486903505, 0.6482282002480056, 0.7105745594180499, 8.39094419546491]
15181 : 2029-01-10, [0.25910334989726624, 0.6683284721905781, 0.7269846902132985, 8.595583487698859]
