Itinerary: ['earth', 'venus', 'mars', 'pluto']
case #: launch date, tof of each leg
12960 : 2028-01-01, [0.056098309675001595, 0.37136458615237433, 9.572537104172623]
12961 : 2028-01-01, [0.05758986056053678, 0.38282623217543893, 9.809583907264024]
12962 : 2028-01-01, [0.057533713169615176, 0.3941928157395546, 10.048273471090829]
12963 : 2028-01-01, [0.05748386277340444, 0.40542384388854874, 10.287092293338047]
12964 : 2028-01-01, [0.05579283351055345, 0.41714047585730946, 10.527066690632138]
12965 : 2028-01-01, [0.05547003915389822, 0.42898761496789434, 10.765542345878208]
12966 : 2028-01-01, [0.05514481194929256, 0.4415924219955431, 11.003262766055164]
12967 : 2028-01-01, [0.053112986221560465, 0.4554903348486101, 11.24139667892983]
12968 : 2028-01-01, [0.10362817652914028, 0.11292468540389873, 11.783447138066961]
12969 : 2028-01-01, [0.10622428229463367, 0.12020656487929339, 12.023569152826074]
12970 : 2028-01-01, [0.10645664507270548, 0.12574762340465953, 12.267795731522634]
12971 : 2028-01-01, [0.10902328332813564, 0.13457918090238855, 12.506397535769477]
12972 : 2028-01-01, [0.111603293074934, 0.14368493934845117, 12.744711767576614]
12973 : 2028-01-01, [0.11420260458848665, 0.15307197247133206, 12.982725422940181]
12974 : 2028-01-01, [0.11681827763019587, 0.16273619024690866, 13.220445532122895]
12975 : 2028-01-01, [0.1194471563351329, 0.1726724862746357, 13.457880357390232]
12976 : 2028-01-01, [0.1197067958742962, 0.17973377332317114, 13.700559430802533]
12977 : 2028-01-01, [0.12247211909309831, 0.19169445889875691, 13.935833422008145]
12978 : 2028-01-01, [0.12257793838123507, 0.20172665610985185, 14.175695405508915]
12979 : 2028-01-01, [0.12275451978233005, 0.21091744967206016, 14.416328030545609]
12980 : 2028-01-01, [0.12530211723364, 0.2234725377789501, 14.65122534498741]
12981 : 2028-01-01, [0.12549777694701852, 0.2347744075261347, 14.889727815526848]
12982 : 2028-01-01, [0.581113846684953, 0.7194239882360964, 14.199462165078948]
12983 : 2028-01-01, [0.5921949117447867, 0.7346375720913568, 14.423167516163854]
12984 : 2028-01-01, [0.032251885367838955, 0.7818268471317128, 15.185921267500449]
12985 : 2028-01-01, [0.04227619237645028, 0.7933031607090159, 15.414420646914532]
12986 : 2028-01-01, [0.05337289201237141, 0.8067394912706656, 15.639887616716964]
12987 : 2028-01-01, [0.05933676677466143, 0.819810015815729, 15.870853217409609]
12988 : 2028-01-01, [0.07846052009298042, 0.828849365536545, 16.092690114370473]
12989 : 2028-01-01, [0.09205782772878994, 0.8300002784055225, 16.327941893865688]
12990 : 2028-01-01, [0.836573223703148, 0.24243833671606774, 16.420988439580785]
12991 : 2028-01-01, [0.8422827707488038, 0.23668341677387159, 16.671033812477326]
12992 : 2028-01-01, [0.8542420768933259, 0.23546512261287106, 16.910292800493803]
12993 : 2028-01-01, [0.8641001228703469, 0.23047290938136136, 17.155426967748294]
12994 : 2028-01-01, [0.8210858930944925, 0.1803355709419949, 17.498578535963514]
12995 : 2028-01-01, [0.8423502263489715, 0.1968225079843187, 17.710827265666712]
12996 : 2028-01-01, [0.8490827455157793, 0.19221547713209514, 17.958701777352125]
12997 : 2028-01-01, [0.8543478445910507, 0.18582987446360796, 18.209822280945342]
12998 : 2028-01-01, [0.2986491602808712, 0.9570586605734508, 18.244292179145678]
12999 : 2028-01-01, [0.7978193457921712, 1.470347701820775, 17.481832952387055]
13000 : 2028-01-01, [0.7895370822136101, 1.4989697847500336, 17.71149313303636]
13001 : 2028-01-01, [0.051959317678973674, 0.8976471558896565, 19.30039352643137]
13002 : 2028-01-01, [0.07622289571750587, 0.9922529499182741, 19.431524154364222]
13003 : 2028-01-01, [0.11040614349454407, 0.12112817006764878, 20.51846568643781]
13004 : 2028-01-01, [0.1593510414755519, 0.23705158467392604, 20.603597373850523]
13005 : 2028-01-01, [0.5505860797885906, 0.5326599699158608, 20.166753950295547]
13006 : 2028-01-01, [0.29934410869205746, 0.9058477429046491, 20.29480814840329]
13007 : 2028-01-01, [0.298491701165067, 0.943320440829475, 20.50818785800546]
13008 : 2028-01-01, [0.2938228885129305, 0.9853851140121522, 20.72079199747492]
13009 : 2028-01-01, [0.2887292806640904, 1.0871227261698255, 20.874147993166083]
13010 : 2028-01-01, [0.28606661067858324, 1.166341793884051, 21.047591595437368]
13011 : 2028-01-01, [0.7560970450526049, 0.9410641835512211, 21.052838771396175]
13012 : 2028-01-01, [0.785592768483217, 0.9945380956896878, 21.219869135827096]
13013 : 2028-01-01, [0.8147164692508028, 1.0459290327947561, 21.38935449795444]
13014 : 2028-01-01, [0.05084364570968471, 1.1585471061364343, 22.29060924815388]
13015 : 2028-01-01, [0.06723991387533365, 1.245023031379824, 22.437737054744844]
13016 : 2028-01-01, [0.6505956872995732, 0.6535300664752922, 22.695874246225138]
13017 : 2028-01-01, [0.6792553872258809, 0.7268795961287075, 22.843865016645413]
13018 : 2028-01-01, [0.7124905912778421, 0.8162263464352477, 22.97128306228691]
13019 : 2028-01-01, [0.7216220241964587, 1.942914175510166, 22.085463800293372]
13020 : 2028-01-10, [0.07393240458000218, 0.10518306670746103, 9.820884528712536]
13021 : 2028-01-10, [0.054397793850556, 0.3727719265810584, 9.822830279568386]
13022 : 2028-01-10, [0.05425691735798854, 0.3823042320581322, 10.06343885058388]
13023 : 2028-01-10, [0.054035008469307186, 0.3927004534305116, 10.30326453810018]
13024 : 2028-01-10, [0.05373407685592502, 0.4040685028689966, 10.542197420275079]
13025 : 2028-01-10, [0.05349931871461966, 0.4167058574963742, 10.779794823789006]
13026 : 2028-01-10, [0.053049904807288106, 0.4275003393236462, 11.019449755869067]
13027 : 2028-01-10, [0.05094744707478353, 0.44098830694707775, 11.258064245978138]
13028 : 2028-01-10, [0.04860024754384159, 0.4541881640813119, 11.497211588374848]
13029 : 2028-01-10, [0.04795400657141868, 0.46776250757865107, 11.73428348584993]
13030 : 2028-01-10, [0.047155379963313496, 0.4820108789285225, 11.970833741108166]
13031 : 2028-01-10, [0.04263543399532047, 0.4998371224705049, 12.207527443534174]
13032 : 2028-01-10, [0.0416918629236111, 0.516192293232653, 12.442115843843736]
13033 : 2028-01-10, [0.03666815559517044, 0.5363363351182914, 12.67699550928654]
13034 : 2028-01-10, [0.031500185182752855, 0.5586729819422155, 12.90982683287503]
13035 : 2028-01-10, [0.5517681706137719, 1.196758909149056, 12.001472920237171]
13036 : 2028-01-10, [0.5816777994978177, 1.2844598463546988, 12.133862354147485]
13037 : 2028-01-10, [0.6206099624040035, 1.3909703295622762, 12.23841970803372]
13038 : 2028-01-10, [0.7461565222994776, 0.1790492229101359, 13.574794254790387]
13039 : 2028-01-10, [0.8935640874136941, 0.34495380587059704, 13.51148210671571]
13040 : 2028-01-10, [0.07540237892157836, 0.6352216789522983, 14.289375942126123]
13041 : 2028-01-10, [0.7837498908641111, 0.248295730048237, 14.217954379087653]
13042 : 2028-01-10, [0.5732560133821005, 0.6680948749112305, 14.258649111706669]
13043 : 2028-01-10, [0.5822327651600864, 0.6843879992001903, 14.48337923563972]
13044 : 2028-01-10, [0.033467414268427614, 0.7255819667603107, 15.240950618971262]
13045 : 2028-01-10, [0.04338011192770822, 0.7339408447954434, 15.472679043276848]
13046 : 2028-01-10, [0.05418688235764302, 0.7441000225111578, 15.7017130951312]
13047 : 2028-01-10, [0.06994162367081964, 0.7479106309710596, 15.93214774535812]
13048 : 2028-01-10, [0.08335518316614086, 0.7530217942756772, 16.16362302255818]
13049 : 2028-01-10, [0.8365517815310407, 0.2231163029139471, 16.19033191555501]
13050 : 2028-01-10, [0.8423923272421653, 0.21726913721092048, 16.440338535546914]
13051 : 2028-01-10, [0.8542006612172239, 0.21738643982877032, 16.678412898954008]
13052 : 2028-01-10, [0.6346734795638549, 0.7355899579214593, 16.629736562514683]
13053 : 2028-01-10, [0.03352754586004584, 0.6147941114247079, 17.601678342715246]
13054 : 2028-01-10, [0.18413118167827267, 0.2769239960214486, 18.03894482230028]
13055 : 2028-01-10, [0.30083514411968276, 0.8341986655969255, 17.614966190283393]
13056 : 2028-01-10, [0.16457780586170992, 0.30982945401198364, 18.525592740126307]
13057 : 2028-01-10, [0.19674735605068638, 0.37055113525819344, 18.682701508691117]
13058 : 2028-01-10, [0.2573636295702513, 0.9552265050946749, 18.28740986533507]
13059 : 2028-01-10, [0.26418097814619435, 1.0212287573312397, 18.464590264522567]
13060 : 2028-01-10, [0.6682692946952178, 0.7030035734386157, 18.628727131866164]
13061 : 2028-01-10, [0.6903578314476178, 0.7432111835796198, 18.81643098497276]
13062 : 2028-01-10, [0.047361743108015025, 0.8151563657849394, 19.637481891107043]
13063 : 2028-01-10, [0.07348266860280901, 0.8840908209833154, 19.792426510413875]
13064 : 2028-01-10, [0.40125718308401304, 1.057862956032733, 19.540879860883255]
13065 : 2028-01-10, [0.2739145897152367, 1.0931690666294258, 19.882916343655335]
13066 : 2028-01-10, [1.6565740547978585, 1.135488005411179, 18.707937939790963]
13067 : 2028-01-10, [1.871946039463071, 1.3868699453180369, 18.491184015218895]
13068 : 2028-01-10, [0.3112702686356724, 0.8480795530719772, 20.84065017829235]
13069 : 2028-01-10, [0.32594998025200767, 0.8831972873489875, 21.040852732399006]
13070 : 2028-01-10, [0.32428518108863663, 0.9147757192012914, 21.26093909971007]
13071 : 2028-01-10, [0.33019043822105754, 0.9920516299278664, 21.427757931851076]
13072 : 2028-01-10, [0.3486710117226187, 1.0456618191595544, 21.60566716911783]
13073 : 2028-01-10, [0.7837831515488871, 0.885997221840439, 21.580219626610674]
13074 : 2028-01-10, [0.0920001831570923, 0.5008723378061846, 22.907127479036724]
13075 : 2028-01-10, [0.15590078520597367, 0.6065875427200889, 22.98751167207394]
13076 : 2028-01-10, [0.24569997785466258, 0.7285944842860707, 23.025705537859267]
13077 : 2028-01-10, [0.5155606690142036, 2.397502466597474, 21.336936864388324]
13078 : 2028-01-10, [0.045628696046558635, 0.7976019573883092, 23.656769346565135]
13079 : 2028-01-10, [0.747187078409537, 0.87169104717939, 23.131121874411072]
13080 : 2028-01-20, [0.07256321425024834, 0.5437486338980969, 9.383688151851652]
13081 : 2028-01-20, [0.07475975922767929, 0.566086537899681, 9.60915370287264]
13082 : 2028-01-20, [0.07505535303791852, 0.5870905956769239, 9.837854051285158]
13083 : 2028-01-20, [0.0721157854945515, 0.11388076525876771, 10.564003449246682]
13084 : 2028-01-20, [0.07212748987703713, 0.12256161751991247, 10.80531089260305]
13085 : 2028-01-20, [0.07202726622217065, 0.131508043881123, 11.046464689896707]
13086 : 2028-01-20, [0.04860000471303101, 0.41105178924089875, 11.04034820604607]
13087 : 2028-01-20, [0.04808536472066208, 0.42366227385186034, 11.278252361427478]
13088 : 2028-01-20, [0.04566187625252188, 0.4353665779966039, 11.518971545750874]
13089 : 2028-01-20, [0.044876510720298836, 0.4478075210703574, 11.757315968209344]
13090 : 2028-01-20, [0.042151659578311955, 0.46099891330194936, 11.99684942711974]
13091 : 2028-01-20, [0.03936287778087299, 0.47574378542618506, 12.234893336792942]
13092 : 2028-01-20, [0.03834737673894429, 0.49258187737161424, 12.469070745889443]
13093 : 2028-01-20, [0.03332989266727544, 0.510668485871632, 12.706001621461093]
13094 : 2028-01-20, [0.030161689973322886, 0.5271447741538009, 12.942693535872875]
13095 : 2028-01-20, [0.5335733443440697, 1.1065991995873425, 12.109827456068588]
13096 : 2028-01-20, [0.5598671952136018, 1.176321091242191, 12.263811713544207]
13097 : 2028-01-20, [0.5896634877968363, 1.2561692329128864, 12.404167279290277]
13098 : 2028-01-20, [0.632121283578747, 1.363038363453401, 12.504840352967852]
13099 : 2028-01-20, [0.42845733805493064, 0.7603501403467532, 13.561192521598317]
13100 : 2028-01-20, [0.0548980044797498, 0.7293668737783309, 14.21573512174192]
13101 : 2028-01-20, [0.08610634316123311, 0.18178524492005854, 14.98210841191871]
13102 : 2028-01-20, [0.11064401526114748, 0.6625754345781563, 14.726780550160695]
13103 : 2028-01-20, [0.05393445856706897, 0.565654783214544, 15.130410758218387]
13104 : 2028-01-20, [0.06203082524663895, 0.5882952542298051, 15.349673920523557]
13105 : 2028-01-20, [0.07501745759137675, 0.6141307074143878, 15.560851834994235]
13106 : 2028-01-20, [0.09611246254433524, 0.6554494960185954, 15.748438041437069]
13107 : 2028-01-20, [0.32659533455529377, 0.7457072522581862, 15.677697413186518]
13108 : 2028-01-20, [1.0988319895260197, 0.5521630761292534, 15.349004934344727]
13109 : 2028-01-20, [0.08013477049813082, 0.5282717876348637, 16.641593441867006]
13110 : 2028-01-20, [0.11243650374839857, 0.6930119335300029, 16.6945515627216]
13111 : 2028-01-20, [0.07301429641444779, 0.32206062184657536, 17.354925081738976]
13112 : 2028-01-20, [0.47525066597330934, 0.6365647876877247, 16.888184546338966]
13113 : 2028-01-20, [0.4711341424188217, 0.6955756545167762, 17.0832902030644]
13114 : 2028-01-20, [0.4579744625111664, 0.7718458476314904, 17.270179689857343]
13115 : 2028-01-20, [0.44970796491925696, 0.8810602762206927, 17.41923175886005]
13116 : 2028-01-20, [0.05984510250354169, 0.7289466388211281, 18.21120825867533]
13117 : 2028-01-20, [0.04445238803897062, 0.7628971096885268, 18.442650502272503]
13118 : 2028-01-20, [0.6891512174610449, 0.7846154143817148, 18.02623336815724]
13119 : 2028-01-20, [0.6911650573099343, 0.8346527907100859, 18.224182151979978]
13120 : 2028-01-20, [0.9249055034673164, 0.18646252620796822, 18.888631970324717]
13121 : 2028-01-20, [0.28656911136037183, 0.9792909436687719, 18.984139944970856]
13122 : 2028-01-20, [0.3013485811347544, 1.036995362576902, 19.161656056288344]
13123 : 2028-01-20, [0.053245233073330386, 0.7269508600171674, 19.9698039069095]
13124 : 2028-01-20, [0.14530627850397007, 0.6575307562296643, 20.19716296526637]
13125 : 2028-01-20, [0.5249004996647753, 0.8963072222237849, 19.828792278111443]
13126 : 2028-01-20, [0.4680758892852352, 0.8907927791996659, 20.141131331515098]
13127 : 2028-01-20, [0.4079054242487061, 0.9327838079567956, 20.409310767794498]
13128 : 2028-01-20, [0.306044810794131, 0.9271285279468633, 20.766826661259003]
13129 : 2028-01-20, [0.17556292327831063, 0.939537167373584, 21.134899909348107]
13130 : 2028-01-20, [0.8732365730789071, 1.4055634617234465, 20.221199965197645]
13131 : 2028-01-20, [0.9072591857700845, 1.4439780539836917, 20.398762760246225]
13132 : 2028-01-20, [0.999041436238469, 0.18339224364961307, 21.81756632011192]
13133 : 2028-01-20, [1.0314233305973577, 0.22310161929453257, 21.995475050108112]
13134 : 2028-01-20, [0.10618337131136418, 0.3272085021555795, 23.066608126533055]
13135 : 2028-01-20, [0.7326112683711072, 0.6974448399239382, 22.319943891704952]
13136 : 2028-01-20, [0.6568929573087988, 0.8608560707291191, 22.482250971962085]
13137 : 2028-01-20, [0.661023236062127, 0.8705984745513253, 22.718378289386546]
13138 : 2028-01-20, [0.6483362250698381, 0.9001253893504744, 22.95153838557969]
13139 : 2028-01-20, [0.6443696233903649, 0.8903879677015007, 23.215242408908132]
13140 : 2028-02-01, [0.046903124159728894, 0.38543011388341436, 9.567666761956856]
13141 : 2028-02-01, [0.07101025258315097, 0.5505924343225049, 9.628397313094343]
13142 : 2028-02-01, [0.07128576244406351, 0.570716144157399, 9.857998093398537]
