Itinerary: ['earth', 'venus', 'mars', 'pluto']
case #: launch date, tof of each leg
4349  : 2024-01-01, [0.9999002259659289, 0.38611241327425333, 15.863987360759817]
4350  : 2024-01-01, [1.0046890863015845, 0.3889427626642792, 16.10636815103414]
4351  : 2024-01-01, [1.005313942527874, 0.38681130898019794, 16.357874748491927]
4352  : 2024-01-01, [0.30502501909057084, 0.2329378345450464, 17.462037146364384]
4353  : 2024-01-01, [0.07105513726802754, 0.6262219864390576, 17.552722876292915]
4354  : 2024-01-01, [1.112188954181352, 0.5622200717568724, 16.825590974061775]
4355  : 2024-01-01, [1.1119262915173835, 0.5402178208993188, 17.0978558875833]
4356  : 2024-01-01, [0.9851935312829462, 0.3627213267040486, 17.652085142013007]
4357  : 2024-01-01, [0.9907164022329219, 0.3577363828082393, 17.90154721495884]
4358  : 2024-01-01, [0.2792513324998461, 0.2177762177538989, 19.002972449746256]
4359  : 2024-01-01, [0.3439337026219676, 0.23714027468284873, 19.168926022695185]
4360  : 2024-01-01, [0.33835881686003116, 0.24057180609174714, 19.42106937704822]
4361  : 2024-01-01, [0.32884033514842664, 0.24176897643189268, 19.67939068841968]
4362  : 2024-01-01, [0.32883422583426636, 0.22896907455437857, 19.942196699611355]
4363  : 2024-01-01, [0.3325674141049562, 0.23156851401755635, 20.18586407187749]
4364  : 2024-01-01, [1.1824481557158908, 0.5604898510868866, 19.257061993197222]
4365  : 2024-01-01, [1.1742933069875519, 0.5104860265160107, 19.56522066649644]
4366  : 2024-01-01, [1.1984727567297335, 0.5224999060562319, 19.779027337214035]
4367  : 2024-01-01, [0.21375725671972237, 0.9565856864326221, 20.579657056847655]
4368  : 2024-01-01, [0.5744601893720044, 1.0501622714721335, 20.37537753915586]
4369  : 2024-01-01, [0.5467363218709175, 1.0552362246057656, 20.64802745352332]
4370  : 2024-01-01, [1.2588871804004924, 0.5720655905508428, 20.669047229048665]
4371  : 2024-01-01, [0.3076311475739561, 0.14871885761482484, 22.29364999481122]
4372  : 2024-01-01, [0.25832106805965005, 0.13681651576217915, 22.60486241617817]
4373  : 2024-01-01, [0.4344179478080254, 0.5191088941221531, 22.296473158069823]
4374  : 2024-01-01, [0.2705839015457926, 0.10914405852523015, 23.12027203992898]
4375  : 2024-01-01, [1.2236196654771514, 0.4871852906938191, 22.03919504382903]
4376  : 2024-01-01, [1.223751312933203, 0.47841939988592724, 22.297829287180868]
4377  : 2024-01-01, [1.224036584482048, 0.46808147368937264, 22.55788194182858]
4378  : 2024-01-01, [1.226472590002418, 0.4606120994748573, 22.812915310522722]
4379  : 2024-01-01, [1.2239826709875374, 0.4483198927259356, 23.07769743628653]
4380  : 2024-01-10, [0.12625247578224424, 0.13816297050294576, 9.73558455371481]
4381  : 2024-01-10, [0.12589400875160703, 0.1419549937641495, 9.982150997484244]
4382  : 2024-01-10, [0.32133403444118497, 0.4529519954352872, 9.725713970123527]
4383  : 2024-01-10, [0.3211757157615958, 0.46027984157193613, 9.968544442666467]
4384  : 2024-01-10, [0.32294504613984265, 0.4668393875061348, 10.210215566354021]
4385  : 2024-01-10, [0.3197495724664359, 0.4729341466844985, 10.457316280849065]
4386  : 2024-01-10, [0.31807689614874957, 0.48022904282553397, 10.701694061025716]
