Itinerary: ['earth', 'jupiter', 'pluto']
4420  : 2024-01-10, [0.9396512408730663, 19.06034875912693]
4421  : 2024-01-10, [0.9497918921885076, 19.300208107811493]
4422  : 2024-01-10, [0.9598834445709689, 19.54011655542903]
4423  : 2024-01-10, [0.9699679467905719, 19.78003205320943]
4424  : 2024-01-10, [0.9799597613547384, 20.020040238645258]
4425  : 2024-01-10, [0.9899896242512418, 20.260010375748756]
4426  : 2024-01-10, [0.9999261049520204, 20.50007389504798]
4427  : 2024-01-10, [1.009882266347306, 20.740117733652692]
4428  : 2024-01-10, [1.019834495426701, 20.980165504573296]
4429  : 2024-01-10, [1.0296917472294627, 21.22030825277054]
4430  : 2024-01-10, [1.0395718950361927, 21.460428104963807]
4431  : 2024-01-10, [1.0494491540339896, 21.70055084596601]
4432  : 2024-01-10, [1.0592297941439879, 21.940770205856012]
4433  : 2024-01-10, [1.069036281607388, 22.180963718392608]
4434  : 2024-01-10, [1.078787673636095, 22.421212326363907]
4435  : 2024-01-10, [1.088544830797416, 22.661455169202583]
4436  : 2024-01-10, [1.0982241647158357, 22.901775835284162]
4437  : 2024-01-10, [1.1079539363120443, 23.142046063687953]
4438  : 2024-01-10, [1.1175821471497822, 23.382417852850217]
4439  : 2024-01-10, [1.1272402372504529, 23.62275976274955]
4440  : 2024-01-20, [0.505425699252165, 9.494574300747836]
4441  : 2024-01-20, [0.5170772905381256, 9.732922709461874]
4442  : 2024-01-20, [0.5286864259852171, 9.971313574014784]
4443  : 2024-01-20, [0.5402720927901679, 10.209727907209832]
4444  : 2024-01-20, [0.551798127514058, 10.448201872485942]
4445  : 2024-01-20, [0.5632823427104738, 10.686717657289526]
4446  : 2024-01-20, [0.5747252007952134, 10.925274799204788]
4447  : 2024-01-20, [0.5861267874914895, 11.163873212508513]
4448  : 2024-01-20, [0.5975088270780822, 11.402491172921918]
4449  : 2024-01-20, [0.6088148886244287, 11.641185111375572]
4450  : 2024-01-20, [0.6200935877405218, 11.879906412259478]
4451  : 2024-01-20, [0.6313316980135112, 12.118668301986489]
4452  : 2024-01-20, [0.6425290334172717, 12.35747096658273]
4453  : 2024-01-20, [0.653685722567399, 12.596314277432601]
4454  : 2024-01-20, [0.6648019247062853, 12.835198075293714]
4455  : 2024-01-20, [0.6758624871004095, 13.07413751289959]
4456  : 2024-01-20, [0.6868982452911556, 13.313101754708844]
4457  : 2024-01-20, [0.6978938034343801, 13.552106196565619]
4458  : 2024-01-20, [0.7088496483679231, 13.791150351632078]
4459  : 2024-01-20, [0.719749842175456, 14.030250157824545]
4460  : 2024-01-20, [0.7306268488613904, 14.26937315113861]
4461  : 2024-01-20, [0.7414649422341313, 14.508535057765869]
4462  : 2024-01-20, [0.7522642003753992, 14.7477357996246]
4463  : 2024-01-20, [0.7630082492783171, 14.986991750721682]
4464  : 2024-01-20, [0.7737313681747754, 15.226268631825222]
4465  : 2024-01-20, [0.7844167448223309, 15.46558325517767]
4466  : 2024-01-20, [0.79504724339538, 15.704952756604623]
4467  : 2024-01-20, [0.8056585758809948, 15.944341424119006]
4468  : 2024-01-20, [0.8161814892060199, 16.18381851079398]
4469  : 2024-01-20, [0.8267199383368762, 16.42328006166312]
4470  : 2024-01-20, [0.8372229632067785, 16.662777036793223]
4471  : 2024-01-20, [0.8476726910158622, 16.902327308984137]
4472  : 2024-01-20, [0.8581066566941166, 17.141893343305885]
4473  : 2024-01-20, [0.8684502506685239, 17.381549749331477]
4474  : 2024-01-20, [0.8788163170927211, 17.62118368290728]
4475  : 2024-01-20, [0.8891304625247101, 17.86086953747529]
4476  : 2024-01-20, [0.8994321634573693, 18.10056783654263]
4477  : 2024-01-20, [0.9096824223804368, 18.34031757761956]
4478  : 2024-01-20, [0.9198806273760165, 18.580119372623983]
4479  : 2024-01-20, [0.930068983991935, 18.819931016008066]
4480  : 2024-01-20, [0.9402479068863965, 19.059752093113605]
4481  : 2024-01-20, [0.9503343964892602, 19.299665603510736]
4482  : 2024-01-20, [0.9604550037977184, 19.53954499620228]
4483  : 2024-01-20, [0.9705276835326208, 19.77947231646738]
4484  : 2024-01-20, [0.9805276642696932, 20.019472335730306]
4485  : 2024-01-20, [0.9905662235317488, 20.25943377646825]
4486  : 2024-01-20, [1.0005577523070894, 20.49944224769291]
4487  : 2024-01-20, [1.0104969213166326, 20.73950307868337]
4488  : 2024-01-20, [1.0204368658489056, 20.9795631341511]
4489  : 2024-01-20, [1.0303514116220456, 21.219648588377954]
4490  : 2024-01-20, [1.0402126810427075, 21.45978731895729]
4491  : 2024-01-20, [1.0500773335429852, 21.699922666457013]
4492  : 2024-01-20, [1.0598662786255706, 21.94013372137443]
4493  : 2024-01-20, [1.0697031500855327, 22.180296849914466]
4494  : 2024-01-20, [1.07949383405128, 22.42050616594872]
