Itinerary: ['earth', 'jupiter', 'pluto']
case #: launch date, tof of each leg
8640  : 2026-01-01, [0.5220443156348905, 9.47795568436511]
8641  : 2026-01-01, [0.5341295269396812, 9.715870473060319]
8642  : 2026-01-01, [0.5461946188509843, 9.953805381149015]
8643  : 2026-01-01, [0.5581931587103912, 10.19180684128961]
8644  : 2026-01-01, [0.570185736093308, 10.42981426390669]
8645  : 2026-01-01, [0.5820980866863845, 10.667901913313615]
8646  : 2026-01-01, [0.5939671604307095, 10.906032839569292]
8647  : 2026-01-01, [0.6058189068228779, 11.144181093177123]
8648  : 2026-01-01, [0.6176023772647974, 11.382397622735205]
8649  : 2026-01-01, [0.6293427733858658, 11.620657226614135]
8650  : 2026-01-01, [0.6410403492009087, 11.858959650799092]
8651  : 2026-01-01, [0.6527230361690823, 12.097276963830918]
8652  : 2026-01-01, [0.6643362277745077, 12.335663772225491]
8653  : 2026-01-01, [0.6759073515700807, 12.574092648429918]
8654  : 2026-01-01, [0.6874364155603571, 12.812563584439644]
8655  : 2026-01-01, [0.698953100129112, 13.051046899870887]
8656  : 2026-01-01, [0.7103999488152295, 13.289600051184772]
8657  : 2026-01-01, [0.7218056147384566, 13.528194385261544]
8658  : 2026-01-01, [0.7331706899732384, 13.766829310026761]
8659  : 2026-01-01, [0.7444789495035018, 14.005521050496498]
8660  : 2026-01-01, [0.7557637943169543, 14.244236205683046]
8661  : 2026-01-01, [0.7670091149458844, 14.482990885054114]
8662  : 2026-01-01, [0.7782468248904532, 14.721753175109546]
8663  : 2026-01-01, [0.7894149181954414, 14.960585081804558]
8664  : 2026-01-01, [0.8005448596333491, 15.199455140366652]
8665  : 2026-01-01, [0.8116194202550715, 15.438380579744932]
8666  : 2026-01-01, [0.8226742851790747, 15.677325714820926]
8667  : 2026-01-01, [0.8336925531464228, 15.916307446853574]
8668  : 2026-01-01, [0.844675055760976, 16.155324944239027]
8669  : 2026-01-01, [0.8556218105410469, 16.39437818945895]
8670  : 2026-01-01, [0.8665149905382766, 16.633485009461726]
8671  : 2026-01-01, [0.8773923583842399, 16.87260764161576]
8672  : 2026-01-01, [0.8882360085829274, 17.11176399141707]
8673  : 2026-01-01, [0.8990273973416629, 17.350972602658338]
8674  : 2026-01-01, [0.9098047998218095, 17.59019520017819]
8675  : 2026-01-01, [0.9205503704208889, 17.82944962957911]
8676  : 2026-01-01, [0.9312086293583939, 18.068791370641605]
8677  : 2026-01-01, [0.9418911533319, 18.3081088466681]
8678  : 2026-01-01, [0.9525431394410019, 18.547456860559]
8679  : 2026-01-01, [0.9631449782333082, 18.78685502176669]
8680  : 2026-01-01, [0.9737372057667628, 19.02626279423324]
8681  : 2026-01-01, [0.9842998354295166, 19.265700164570482]
8682  : 2026-01-01, [0.9948128447285737, 19.505187155271425]
8683  : 2026-01-01, [1.0052788543016726, 19.74472114569833]
8684  : 2026-01-01, [1.015733715054973, 19.98426628494503]
8685  : 2026-01-01, [1.0261804129213943, 20.22381958707861]
8686  : 2026-01-01, [1.0365774160619354, 20.463422583938065]
8687  : 2026-01-01, [1.0469665211068746, 20.70303347889313]
8688  : 2026-01-01, [1.0572663985442725, 20.94273360145573]
8689  : 2026-01-01, [1.067597700517283, 21.182402299482717]
8690  : 2026-01-01, [1.077878957597176, 21.42212104240282]
8691  : 2026-01-01, [1.0881523865330789, 21.66184761346692]
8692  : 2026-01-01, [1.098334834347342, 21.901665165652656]
8693  : 2026-01-01, [1.1085501410267935, 22.141449858973207]
8694  : 2026-01-01, [1.1187142131352206, 22.381285786864776]
8695  : 2026-01-01, [1.1288710974747793, 22.62112890252522]
8696  : 2026-01-01, [1.1389353101010675, 22.86106468989893]
8697  : 2026-01-01, [1.1490336428865553, 23.100966357113446]
8698  : 2026-01-01, [1.1590804939573454, 23.340919506042653]
8699  : 2026-01-01, [1.1690560544325264, 23.580943945567473]
8700  : 2026-01-10, [0.5222599543968491, 9.47774004560315]
8701  : 2026-01-10, [0.5343727106148232, 9.715627289385178]
8702  : 2026-01-10, [0.5464190808579479, 9.953580919142054]
8703  : 2026-01-10, [0.5584347077584207, 10.19156529224158]
8704  : 2026-01-10, [0.5704187652371676, 10.429581234762832]
8705  : 2026-01-10, [0.5823353976940956, 10.667664602305905]
8706  : 2026-01-10, [0.594208678814969, 10.905791321185031]
8707  : 2026-01-10, [0.606064375836287, 11.143935624163714]
8708  : 2026-01-10, [0.6178519417058785, 11.38214805829412]
8709  : 2026-01-10, [0.629596340809454, 11.620403659190547]
8710  : 2026-01-10, [0.6413247829171059, 11.858675217082894]
8711  : 2026-01-10, [0.6529842702910608, 12.09701572970894]
8712  : 2026-01-10, [0.6646013320217853, 12.335398667978215]
8713  : 2026-01-10, [0.6761762626805744, 12.573823737319424]
8714  : 2026-01-10, [0.6877375001427003, 12.8122624998573]
8715  : 2026-01-10, [0.6992292422027756, 13.050770757797226]
8716  : 2026-01-10, [0.7106797441734292, 13.28932025582657]
8717  : 2026-01-10, [0.7220890308436404, 13.527910969156359]
8718  : 2026-01-10, [0.7334576950728641, 13.766542304927135]
8719  : 2026-01-10, [0.7447860096939816, 14.005213990306016]
8720  : 2026-01-10, [0.7560578775354199, 14.24394212246458]
8721  : 2026-01-10, [0.7673375902017985, 14.4826624097982]
8722  : 2026-01-10, [0.7785474675075671, 14.721452532492433]
8723  : 2026-01-10, [0.7897189751255954, 14.960281024874407]
8724  : 2026-01-10, [0.8008522738644238, 15.199147726135577]
8725  : 2026-01-10, [0.8119479179051348, 15.438052082094865]
8726  : 2026-01-10, [0.8229883244962454, 15.677011675503756]
8727  : 2026-01-10, [0.834009904980315, 15.915990095019685]
8728  : 2026-01-10, [0.8449956577601855, 16.155004342239817]
8729  : 2026-01-10, [0.85594561291142, 16.39405438708858]
8730  : 2026-01-10, [0.8668420124523238, 16.633157987547676]
8731  : 2026-01-10, [0.8777225494584721, 16.87227745054153]
8732  : 2026-01-10, [0.8885693706799817, 17.11143062932002]
8733  : 2026-01-10, [0.8993829735020168, 17.350617026497982]
8734  : 2026-01-10, [0.9101443533624205, 17.589855646637577]
8735  : 2026-01-10, [0.9208930303228988, 17.829106969677103]
8736  : 2026-01-10, [0.9316101777067777, 18.06838982229322]
8737  : 2026-01-10, [0.9422403041748861, 18.307759695825116]
8738  : 2026-01-10, [0.9528952516067005, 18.547104748393302]
8739  : 2026-01-10, [0.9635000435297351, 18.786499956470266]
8740  : 2026-01-10, [0.9740951742291999, 19.0259048257708]
8741  : 2026-01-10, [0.9846605902334603, 19.26533940976654]
8742  : 2026-01-10, [0.9951763965586355, 19.504823603441363]
8743  : 2026-01-10, [1.0056835795290753, 19.744316420470923]
8744  : 2026-01-10, [1.0161031457025966, 19.983896854297402]
8745  : 2026-01-10, [1.0265524069461185, 20.22344759305388]
8746  : 2026-01-10, [1.0369518756566631, 20.463048124343338]
8747  : 2026-01-10, [1.04734343311933, 20.70265656688067]
8748  : 2026-01-10, [1.0577064246797339, 20.942293575320267]
8749  : 2026-01-10, [1.0679797029822686, 21.182020297017733]
8750  : 2026-01-10, [1.0782843771462156, 21.421715622853785]
8751  : 2026-01-10, [1.0885386086104871, 21.661461391389516]
8752  : 2026-01-10, [1.0987852962444227, 21.901214703755574]
8753  : 2026-01-10, [1.1089408197530948, 22.14105918024691]
8754  : 2026-01-10, [1.1191067117138827, 22.380893288286114]
8755  : 2026-01-10, [1.129265353416242, 22.62073464658376]
8756  : 2026-01-10, [1.1393318398804941, 22.860668160119506]
8757  : 2026-01-10, [1.1494317695291332, 23.100568230470866]
