Itinerary: ['earth', 'jupiter', 'pluto']
case #: launch date, tof of each leg
10800 : 2027-01-01, [0.7711606038504357, 9.228839396149564]
10801 : 2027-01-01, [0.7934802915664249, 9.456519708433575]
10802 : 2027-01-01, [0.8159427020896004, 9.6840572979104]
10803 : 2027-01-01, [0.8391953011743631, 9.910804698825636]
10804 : 2027-01-01, [0.8619564237277394, 10.13804357627226]
10805 : 2027-01-01, [0.8848588867137044, 10.365141113286295]
10806 : 2027-01-01, [0.9086213505698836, 10.591378649430117]
10807 : 2027-01-01, [0.932528536315786, 10.817471463684214]
10808 : 2027-01-01, [0.9558824968478619, 11.044117503152139]
10809 : 2027-01-01, [0.9801428269861883, 11.269857173013811]
10810 : 2027-01-01, [1.0045732571224544, 11.495426742877548]
10811 : 2027-01-01, [1.0291448199795006, 11.7208551800205]
10812 : 2027-01-01, [1.0539158616552664, 11.946084138344734]
10813 : 2027-01-01, [1.078856245711175, 12.171143754288824]
10814 : 2027-01-01, [1.1039661497668238, 12.396033850233175]
10815 : 2027-01-01, [1.1300763152463884, 12.619923684753612]
10816 : 2027-01-01, [1.1555409660904346, 12.844459033909565]
10817 : 2027-01-01, [1.1820692337584067, 13.067930766241593]
10818 : 2027-01-01, [1.2078880099899652, 13.292111990010035]
10819 : 2027-01-01, [1.2347689963787516, 13.515231003621247]
10820 : 2027-01-01, [1.2618854165149105, 13.738114583485089]
10821 : 2027-01-01, [1.2892036755922418, 13.960796324407758]
10822 : 2027-01-01, [1.316724460771322, 14.183275539228678]
10823 : 2027-01-01, [1.3444097189661208, 14.405590281033879]
10824 : 2027-01-01, [1.3723345426519857, 14.627665457348014]
10825 : 2027-01-01, [1.4014498312941361, 14.848550168705863]
10826 : 2027-01-01, [1.4298372767516967, 15.070162723248302]
10827 : 2027-01-01, [1.4594082810759235, 15.290591718924077]
10828 : 2027-01-01, [1.4892576111200386, 15.510742388879962]
10829 : 2027-01-01, [1.5193044740546129, 15.730695525945388]
10830 : 2027-01-01, [1.5496313703903133, 15.950368629609686]
10831 : 2027-01-01, [1.5801984683006907, 16.169801531699306]
10832 : 2027-01-01, [1.6110073610509323, 16.38899263894907]
10833 : 2027-01-01, [1.6432226022624656, 16.606777397737535]
10834 : 2027-01-01, [1.6745329033445269, 16.825467096655473]
10835 : 2027-01-01, [1.7072389812745004, 17.0427610187255]
10836 : 2027-01-01, [1.74027246105645, 17.25972753894355]
10837 : 2027-01-01, [1.773586234622325, 17.476413765377675]
10838 : 2027-01-01, [1.8083860924549089, 17.69161390754509]
10839 : 2027-01-01, [1.842281448244044, 17.907718551755956]
10840 : 2027-01-01, [1.8777527205581013, 18.1222472794419]
10841 : 2027-01-01, [1.913492626682106, 18.336507373317897]
10842 : 2027-01-01, [1.9496064404827727, 18.550393559517225]
10843 : 2027-01-01, [1.9860443467610147, 18.763955653238988]
10844 : 2027-01-01, [2.022806475701643, 18.977193524298357]
10845 : 2027-01-01, [2.0612827717232998, 19.1887172282767]
10846 : 2027-01-01, [2.1000697190157496, 19.39993028098425]
10847 : 2027-01-01, [2.1392796354118486, 19.61072036458815]
10848 : 2027-01-01, [2.1803096568803406, 19.81969034311966]
10849 : 2027-01-01, [2.22027889071692, 20.02972110928308]
10850 : 2027-01-01, [2.262114788255442, 20.23788521174456]
10851 : 2027-01-01, [2.3058222525989143, 20.444177747401085]
10852 : 2027-01-01, [2.3485130332428255, 20.651486966757176]
10853 : 2027-01-01, [2.3931872350337597, 20.85681276496624]
10854 : 2027-01-01, [2.4382656278946424, 21.06173437210536]
10855 : 2027-01-01, [2.4839448477641026, 21.266055152235896]
10856 : 2027-01-01, [2.5315991444048596, 21.46840085559514]
10857 : 2027-01-01, [2.5814375492634127, 21.668562450736587]
10858 : 2027-01-01, [2.6302404705329216, 21.86975952946708]
10859 : 2027-01-01, [2.6812884439628246, 22.068711556037176]
10860 : 2027-01-10, [0.717222803017322, 9.282777196982678]
10861 : 2027-01-10, [0.738240063575233, 9.511759936424768]
10862 : 2027-01-10, [0.7587578687011363, 9.741242131298863]
10863 : 2027-01-10, [0.7800263595017045, 9.969973640498296]
10864 : 2027-01-10, [0.801460728353342, 10.198539271646657]
10865 : 2027-01-10, [0.8230379181351541, 10.426962081864847]
10866 : 2027-01-10, [0.8447337034441347, 10.655266296555867]
10867 : 2027-01-10, [0.8665959609131937, 10.883404039086805]
10868 : 2027-01-10, [0.8885999247259375, 11.111400075274062]
10869 : 2027-01-10, [0.9107454417615335, 11.339254558238466]
10870 : 2027-01-10, [0.9330323575763209, 11.56696764242368]
10871 : 2027-01-10, [0.9554332941519053, 11.794566705848094]
10872 : 2027-01-10, [0.9780012737297191, 12.021998726270281]
10873 : 2027-01-10, [1.0015208458254898, 12.248479154174511]
10874 : 2027-01-10, [1.0243850629327813, 12.475614937067217]
10875 : 2027-01-10, [1.048201196350458, 12.701798803649542]
10876 : 2027-01-10, [1.0722172019421343, 12.927782798057864]
10877 : 2027-01-10, [1.0955309280828194, 13.154469071917179]
10878 : 2027-01-10, [1.119872645055762, 13.380127354944237]
10879 : 2027-01-10, [1.1443522148826566, 13.605647785117345]
10880 : 2027-01-10, [1.1690343156401188, 13.830965684359882]
10881 : 2027-01-10, [1.1938873199001645, 14.056112680099835]
10882 : 2027-01-10, [1.2189105040204353, 14.281089495979565]
10883 : 2027-01-10, [1.2450365496994087, 14.504963450300592]
10884 : 2027-01-10, [1.2704172148636272, 14.729582785136374]
10885 : 2027-01-10, [1.2969317148190072, 14.953068285180994]
10886 : 2027-01-10, [1.3227063465185167, 15.177293653481485]
10887 : 2027-01-10, [1.3496105635916995, 15.400389436408302]
10888 : 2027-01-10, [1.3767564529885081, 15.623243547011493]
10889 : 2027-01-10, [1.4040674563910664, 15.845932543608933]
10890 : 2027-01-10, [1.431621797831683, 16.06837820216832]
10891 : 2027-01-10, [1.459382648192539, 16.290617351807462]
10892 : 2027-01-10, [1.4873495749399033, 16.512650425060095]
10893 : 2027-01-10, [1.5155225831798562, 16.73447741682014]
10894 : 2027-01-10, [1.545050151085087, 16.954949848914914]
10895 : 2027-01-10, [1.574776882417056, 17.175223117582945]
10896 : 2027-01-10, [1.6047875630347337, 17.395212436965267]
10897 : 2027-01-10, [1.6338421701052384, 17.61615782989476]
10898 : 2027-01-10, [1.6654926964219132, 17.83450730357809]
10899 : 2027-01-10, [1.6962326350587664, 18.053767364941233]
10900 : 2027-01-10, [1.7272163056334104, 18.272783694366588]
10901 : 2027-01-10, [1.759713952702813, 18.490286047297186]
10902 : 2027-01-10, [1.791205773438954, 18.708794226561047]
10903 : 2027-01-10, [1.8242469256953462, 18.925753074304655]
10904 : 2027-01-10, [1.8588427984232097, 19.14115720157679]
10905 : 2027-01-10, [1.892465638110307, 19.357534361889694]
10906 : 2027-01-10, [1.9263709865621836, 19.573629013437817]
10907 : 2027-01-10, [1.9618850230693798, 19.78811497693062]
10908 : 2027-01-10, [1.997773235463904, 20.002226764536097]
10909 : 2027-01-10, [2.0339841718007055, 20.216015828199293]
10910 : 2027-01-10, [2.0705169042517024, 20.429483095748296]
10911 : 2027-01-10, [2.1087752584249726, 20.641224741575027]
10912 : 2027-01-10, [2.145976996650058, 20.854023003349944]
10913 : 2027-01-10, [2.1850024462886926, 21.064997553711308]
