Itinerary: ['earth', 'jupiter', 'pluto']
case #: launch date, tof of each leg
15120 : 2029-01-01, [0.5257138592166517, 9.474286140783347]
15121 : 2029-01-01, [0.5377173833371844, 9.712282616662817]
15122 : 2029-01-01, [0.5496778834294797, 9.95032211657052]
15123 : 2029-01-01, [0.5615866894330866, 10.188413310566913]
15124 : 2029-01-01, [0.5734204740125157, 10.426579525987485]
15125 : 2029-01-01, [0.5852258852399692, 10.66477411476003]
15126 : 2029-01-01, [0.5969804950364327, 10.903019504963568]
15127 : 2029-01-01, [0.6086588567637898, 11.14134114323621]
15128 : 2029-01-01, [0.6203123265569755, 11.379687673443025]
15129 : 2029-01-01, [0.6319160565213706, 11.618083943478627]
15130 : 2029-01-01, [0.6434703523949096, 11.856529647605091]
15131 : 2029-01-01, [0.6549474642570997, 12.0950525357429]
15132 : 2029-01-01, [0.6664040573185047, 12.333595942681495]
15133 : 2029-01-01, [0.6778127652898445, 12.572187234710157]
15134 : 2029-01-01, [0.6891739852632718, 12.81082601473673]
15135 : 2029-01-01, [0.7004731719235382, 13.049526828076463]
15136 : 2029-01-01, [0.7117412318266345, 13.288258768173366]
15137 : 2029-01-01, [0.7229632960334209, 13.52703670396658]
15138 : 2029-01-01, [0.7341401380738535, 13.765859861926147]
15139 : 2029-01-01, [0.7452380838852909, 14.00476191611471]
15140 : 2029-01-01, [0.7563255743509609, 14.24367442564904]
15141 : 2029-01-01, [0.7673533347992686, 14.48264666520073]
15142 : 2029-01-01, [0.778353968222364, 14.721646031777636]
15143 : 2029-01-01, [0.789312426479964, 14.960687573520035]
15144 : 2029-01-01, [0.8002291189118006, 15.199770881088199]
15145 : 2029-01-01, [0.8110874955649883, 15.438912504435013]
15146 : 2029-01-01, [0.8219217881105604, 15.67807821188944]
15147 : 2029-01-01, [0.832755686836834, 15.917244313163167]
15148 : 2029-01-01, [0.8434932572767142, 16.156506742723284]
15149 : 2029-01-01, [0.8542082475218166, 16.395791752478186]
15150 : 2029-01-01, [0.8648838109846673, 16.63511618901533]
15151 : 2029-01-01, [0.8755028258961757, 16.874497174103823]
15152 : 2029-01-01, [0.8861006079923395, 17.11389939200766]
15153 : 2029-01-01, [0.8966598385379422, 17.35334016146206]
15154 : 2029-01-01, [0.9071621623073233, 17.592837837692674]
15155 : 2029-01-01, [0.9176900554372976, 17.832309944562702]
15156 : 2029-01-01, [0.9281161868159663, 18.071883813184034]
15157 : 2029-01-01, [0.938521924568415, 18.311478075431584]
15158 : 2029-01-01, [0.9488706255947604, 18.551129374405242]
15159 : 2029-01-01, [0.9591993961898102, 18.79080060381019]
15160 : 2029-01-01, [0.9695208041111602, 19.03047919588884]
15161 : 2029-01-01, [0.9797736182037695, 19.27022638179623]
15162 : 2029-01-01, [0.9899685063929424, 19.51003149360706]
15163 : 2029-01-01, [1.0001443898557976, 19.749855610144206]
15164 : 2029-01-01, [1.0103154000982963, 19.9896845999017]
15165 : 2029-01-01, [1.0204154302297126, 20.229584569770285]
15166 : 2029-01-01, [1.0304574460364924, 20.46954255396351]
15167 : 2029-01-01, [1.0405364241015196, 20.70946357589848]
15168 : 2029-01-01, [1.050503422378668, 20.949496577621332]
15169 : 2029-01-01, [1.0604322920419935, 21.18956770795801]
15170 : 2029-01-01, [1.0704015539043024, 21.4295984460957]
15171 : 2029-01-01, [1.080256394254168, 21.669743605745833]
15172 : 2029-01-01, [1.0901335594993862, 21.909866440500615]
15173 : 2029-01-01, [1.0999362711738851, 22.15006372882611]
15174 : 2029-01-01, [1.1096815882570545, 22.390318411742946]
15175 : 2029-01-01, [1.119452903576596, 22.630547096423406]
15176 : 2029-01-01, [1.1291488420839633, 22.870851157916036]
15177 : 2029-01-01, [1.1388518615327083, 23.111148138467293]
15178 : 2029-01-01, [1.1484575372333221, 23.351542462766677]
15179 : 2029-01-01, [1.1580938049747298, 23.591906195025274]
15180 : 2029-01-10, [0.525540394222262, 9.474459605777737]
15181 : 2029-01-10, [0.5375259474181789, 9.712474052581822]
15182 : 2029-01-10, [0.5494927855308159, 9.950507214469186]
15183 : 2029-01-10, [0.5613959498176406, 10.18860405018236]
15184 : 2029-01-10, [0.5732235660543243, 10.426776433945674]
15185 : 2029-01-10, [0.5850232142624143, 10.664976785737585]
15186 : 2029-01-10, [0.5967720307796264, 10.903227969220373]
15187 : 2029-01-10, [0.6084440957664652, 11.141555904233535]
15188 : 2029-01-10, [0.6200917118681522, 11.379908288131848]
15189 : 2029-01-10, [0.6316895136766327, 11.618310486323368]
15190 : 2029-01-10, [0.6432378930800666, 11.856762106919934]
15191 : 2029-01-10, [0.654737633585505, 12.095262366414495]
15192 : 2029-01-10, [0.6661591643774779, 12.333840835622523]
15193 : 2029-01-10, [0.6775618688250296, 12.57243813117497]
15194 : 2029-01-10, [0.6889020897742785, 12.811097910225723]
15195 : 2029-01-10, [0.7002102281676308, 13.04978977183237]
15196 : 2029-01-10, [0.7114722287422548, 13.288527771257746]
15197 : 2029-01-10, [0.7226882014568805, 13.52731179854312]
15198 : 2029-01-10, [0.7338589748733654, 13.766141025126634]
15199 : 2029-01-10, [0.7449851129085631, 14.005014887091438]
15200 : 2029-01-10, [0.7560511487422182, 14.243948851257782]
15201 : 2029-01-10, [0.7670895678983044, 14.482910432101693]
15202 : 2029-01-10, [0.7780477547815033, 14.721952245218494]
15203 : 2029-01-10, [0.7890378335439169, 14.960962166456083]
15204 : 2029-01-10, [0.7999323419826289, 15.200067658017371]
15205 : 2029-01-10, [0.810801998078932, 15.439198001921067]
15206 : 2029-01-10, [0.8216308009808186, 15.678369199019182]
15207 : 2029-01-10, [0.8324191566267829, 15.917580843373218]
15208 : 2029-01-10, [0.8431505011876644, 16.15684949881234]
15209 : 2029-01-10, [0.8538591646976874, 16.39614083530231]
15210 : 2029-01-10, [0.8645284216119389, 16.635471578388064]
15211 : 2029-01-10, [0.8751410866001315, 16.874858913399866]
15212 : 2029-01-10, [0.8857324627269025, 17.114267537273097]
15213 : 2029-01-10, [0.8962672464112982, 17.3537327535887]
15214 : 2029-01-10, [0.90682686788372, 17.593173132116277]
15215 : 2029-01-10, [0.917303049107993, 17.832696950892007]
15216 : 2029-01-10, [0.9277225554056261, 18.072277444594377]
15217 : 2029-01-10, [0.9381215976806164, 18.31187840231938]
15218 : 2029-01-10, [0.9484635743795806, 18.551536425620423]
15219 : 2029-01-10, [0.9588352263780933, 18.791164773621908]
15220 : 2029-01-10, [0.9691008371430712, 19.03089916285693]
15221 : 2029-01-10, [0.979346702881654, 19.270653297118347]
15222 : 2029-01-10, [0.9895346484290434, 19.510465351570957]
15223 : 2029-01-10, [0.999756380346265, 19.750243619653734]
15224 : 2029-01-10, [1.0098682118398548, 19.990131788160145]
15225 : 2029-01-10, [1.0199611447399455, 20.230038855260055]
15226 : 2029-01-10, [1.0300512484380648, 20.469948751561937]
15227 : 2029-01-10, [1.0400486687963422, 20.70995133120366]
15228 : 2029-01-10, [1.0500283854996153, 20.949971614500384]
15229 : 2029-01-10, [1.060007674131891, 21.189992325868108]
15230 : 2029-01-10, [1.0699127679686842, 21.43008723203132]
15231 : 2029-01-10, [1.0797603284588178, 21.670239671541182]
15232 : 2029-01-10, [1.0896309985150452, 21.910369001484955]
15233 : 2029-01-10, [1.099426365990642, 22.15057363400936]
15234 : 2029-01-10, [1.1092261011862687, 22.390773898813727]
15235 : 2029-01-10, [1.1189291665242669, 22.631070833475736]
15236 : 2029-01-10, [1.1286600477033415, 22.87133995229666]
15237 : 2029-01-10, [1.1383142172358862, 23.111685782764116]
15238 : 2029-01-10, [1.1479125407142832, 23.352087459285716]
15239 : 2029-01-10, [1.1575422935216448, 23.592457706478353]
15240 : 2029-01-20, [0.5253931224094112, 9.474606877590588]
15241 : 2029-01-20, [0.5373730653412885, 9.712626934658713]
15242 : 2029-01-20, [0.5493346944047047, 9.950665305595296]
15243 : 2029-01-20, [0.5612326357621846, 10.188767364237815]
15244 : 2029-01-20, [0.5730544391293528, 10.426945560870648]
15245 : 2029-01-20, [0.5848487284113341, 10.665151271588666]
15246 : 2029-01-20, [0.596592142687981, 10.90340785731202]
15247 : 2029-01-20, [0.6082582506320301, 11.141741749367972]
15248 : 2029-01-20, [0.6199003893842325, 11.380099610615769]
15249 : 2029-01-20, [0.6314926316820172, 11.618507368317982]
15250 : 2029-01-20, [0.6430354677435699, 11.85696453225643]
15251 : 2029-01-20, [0.6545296242769366, 12.095470375723062]
15252 : 2029-01-20, [0.6659449634184365, 12.334055036581562]
15253 : 2029-01-20, [0.677327270163373, 12.572672729836627]
15254 : 2029-01-20, [0.6886765417444511, 12.811323458255547]
15255 : 2029-01-20, [0.6999790112458323, 13.050020988754168]
15256 : 2029-01-20, [0.7112352776604064, 13.288764722339593]
15257 : 2029-01-20, [0.7224454897694154, 13.527554510230585]
15258 : 2029-01-20, [0.7336105172518937, 13.766389482748107]
15259 : 2029-01-20, [0.7447308708144731, 14.005269129185526]
15260 : 2029-01-20, [0.7557911410024477, 14.244208858997553]
15261 : 2029-01-20, [0.7668237156576684, 14.483176284342331]
15262 : 2029-01-20, [0.7778130982764617, 14.722186901723537]
15263 : 2029-01-20, [0.7887603342359978, 14.961239665764003]
15264 : 2029-01-20, [0.7996489669648651, 15.200351033035135]
15265 : 2029-01-20, [0.8105127377083259, 15.439487262291674]
15266 : 2029-01-20, [0.8213356072423866, 15.678664392757613]
15267 : 2029-01-20, [0.8321008907304566, 15.917899109269545]
15268 : 2029-01-20, [0.842843423960178, 16.15715657603982]
15269 : 2029-01-20, [0.853546026343265, 16.396453973656737]
15270 : 2029-01-20, [0.864191681462968, 16.63580831853703]
15271 : 2029-01-20, [0.8748158057242397, 16.87518419427576]
15272 : 2029-01-20, [0.8854010235741977, 17.1145989764258]
15273 : 2029-01-20, [0.8959295795648365, 17.354070420435164]
15274 : 2029-01-20, [0.9064836237429499, 17.59351637625705]
15275 : 2029-01-20, [0.9169352726486093, 17.833064727351392]
15276 : 2029-01-20, [0.9273665835171341, 18.072633416482866]
15277 : 2029-01-20, [0.9377591349702677, 18.31224086502973]
15278 : 2029-01-20, [0.9480945738775356, 18.551905426122463]
15279 : 2029-01-20, [0.9584603780272704, 18.79153962197273]
15280 : 2029-01-20, [0.9687193492212326, 19.03128065077877]
15281 : 2029-01-20, [0.9789584190773492, 19.27104158092265]
15282 : 2029-01-20, [0.9891395836455287, 19.510860416354472]
15283 : 2029-01-20, [0.9993552600415294, 19.75064473995847]
15284 : 2029-01-20, [1.009460174043121, 19.99053982595688]
15285 : 2029-01-20, [1.0195265214416573, 20.23047347855834]
15286 : 2029-01-20, [1.0296300254641642, 20.470369974535835]
15287 : 2029-01-20, [1.0396204498560833, 20.71037955014392]
15288 : 2029-01-20, [1.0495930676595657, 20.95040693234043]
15289 : 2029-01-20, [1.0595660435742387, 21.19043395642576]
15290 : 2029-01-20, [1.0694437004699546, 21.430556299530043]
15291 : 2029-01-20, [1.079364517946824, 21.67063548205318]
15292 : 2029-01-20, [1.0891687409948312, 21.91083125900517]
15293 : 2029-01-20, [1.0989361599006704, 22.15106384009933]
15294 : 2029-01-20, [1.1087502132228968, 22.391249786777102]
15295 : 2029-01-20, [1.1184460888127974, 22.631553911187204]
15296 : 2029-01-20, [1.1281705745571968, 22.8718294254428]
15297 : 2029-01-20, [1.1378174851775071, 23.11218251482249]
15298 : 2029-01-20, [1.1474744071000897, 23.35252559289991]
15299 : 2029-01-20, [1.157031950631044, 23.592968049368956]
15300 : 2029-02-01, [0.525279410658755, 9.474720589341246]
15301 : 2029-02-01, [0.5372540788100889, 9.71274592118991]
15302 : 2029-02-01, [0.5491987102464339, 9.950801289753565]
15303 : 2029-02-01, [0.5611040450807366, 10.188895954919262]
