Itinerary: ['earth', 'jupiter', 'pluto']
case #: launch date, tof of each leg
6480  : 2025-01-01, [0.5129512945913349, 9.487048705408666]
6481  : 2025-01-01, [0.5248227362651481, 9.725177263734851]
6482  : 2025-01-01, [0.5366523521166469, 9.963347647883353]
6483  : 2025-01-01, [0.548467038271337, 10.201532961728663]
6484  : 2025-01-01, [0.5602140744861442, 10.439785925513856]
6485  : 2025-01-01, [0.5719196131215204, 10.67808038687848]
6486  : 2025-01-01, [0.583612196155013, 10.916387803844987]
6487  : 2025-01-01, [0.5952356156396561, 11.154764384360345]
6488  : 2025-01-01, [0.6068178072688233, 11.393182192731176]
6489  : 2025-01-01, [0.6183587609453746, 11.631641239054625]
6490  : 2025-01-01, [0.6298586761875846, 11.870141323812415]
6491  : 2025-01-01, [0.6413494200910463, 12.108650579908952]
6492  : 2025-01-01, [0.6527684453180858, 12.347231554681915]
6493  : 2025-01-01, [0.6641466703494303, 12.58585332965057]
6494  : 2025-01-01, [0.6754843722816138, 12.824515627718387]
6495  : 2025-01-01, [0.6867665144321838, 13.063233485567816]
6496  : 2025-01-01, [0.6980238595260366, 13.301976140473963]
6497  : 2025-01-01, [0.7092415064297487, 13.540758493570252]
6498  : 2025-01-01, [0.7204194708691019, 13.779580529130898]
6499  : 2025-01-01, [0.7315950356589067, 14.018404964341093]
6500  : 2025-01-01, [0.742695856545063, 14.257304143454936]
6501  : 2025-01-01, [0.7537411008753594, 14.49625889912464]
6502  : 2025-01-01, [0.7647648599524589, 14.735235140047541]
6503  : 2025-01-01, [0.7757508129610453, 14.974249187038955]
6504  : 2025-01-01, [0.786699599863583, 15.213300400136417]
6505  : 2025-01-01, [0.7975937236293449, 15.452406276370656]
6506  : 2025-01-01, [0.8084686468811169, 15.691531353118883]
6507  : 2025-01-01, [0.8193078450248005, 15.930692154975201]
6508  : 2025-01-01, [0.8300512142239093, 16.169948785776093]
6509  : 2025-01-01, [0.8408191099983301, 16.409180890001668]
6510  : 2025-01-01, [0.8515524293088972, 16.6484475706911]
6511  : 2025-01-01, [0.8622330240081527, 16.88776697599185]
6512  : 2025-01-01, [0.8728992240971188, 17.12710077590288]
6513  : 2025-01-01, [0.883532407601034, 17.366467592398966]
6514  : 2025-01-01, [0.8941141077681669, 17.605885892231836]
6515  : 2025-01-01, [0.9046834589137875, 17.845316541086213]
6516  : 2025-01-01, [0.9152218957651027, 18.084778104234896]
6517  : 2025-01-01, [0.9256628088681907, 18.32433719113181]
6518  : 2025-01-01, [0.9361400521953598, 18.56385994780464]
